Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,132.637377,[225  19] ; [33 67],[183.  61.] ; [75. 25.],1
p11,1,0.0,49.09525,[200  45] ; [46 58],[172.69340974  72.30659026] ; [73.30659026 30.69340974],1
p2,1,0.0,34.375049,[212  32] ; [61 43],[191.4137931  52.5862069] ; [81.5862069 22.4137931],1
p8,1,1e-06,25.058198,[134 110] ; [26 76],[112.83236994 131.16763006] ; [47.16763006 54.83236994],1
s6,1,1e-06,24.471086,[156  83] ; [37 65],[135.26979472 103.73020528] ; [57.73020528 44.26979472],1
v4,1,2e-06,22.943363,[229  15] ; [79 25],[215.95402299  28.04597701] ; [92.04597701 11.95402299],1
n6,1,2e-06,22.186107,[204  40] ; [62 41],[187.04322767  56.95677233] ; [78.95677233 24.04322767],1
s8,1,3e-06,22.158401,[100 145] ; [15 87],[ 81.19596542 163.80403458] ; [33.80403458 68.19596542],1
r3,1,7e-06,20.070651,[222  21] ; [76 28],[208.68587896  34.31412104] ; [89.31412104 14.68587896],1
s2,1,1.7e-05,18.472757,[120 124] ; [25 78],[101.95965418 142.04034582] ; [43.04034582 59.95965418],1
p4,1,2.8e-05,17.574538,[142 102] ; [35 69],[124.10344828 119.89655172] ; [52.89655172 51.10344828],1
r4,1,6.5e-05,15.950075,[207  38] ; [68 36],[193.05157593  51.94842407] ; [81.94842407 22.05157593],1
s5,1,9e-05,15.340134,[ 84 155] ; [14 86],[ 69.09144543 169.90855457] ; [28.90855457 71.09144543],1
r2,1,0.000316,12.97043,[224  19] ; [80 22],[214.12173913  28.87826087] ; [89.87826087 12.12173913],1
s7,1,0.000511,12.074284,[104 132] ; [23 74],[ 90.00600601 145.99399399] ; [36.99399399 60.00600601],1
p7,1,0.00106,10.71928,[144  94] ; [43 61],[130.13450292 107.86549708] ; [56.86549708 47.13450292],0
a5,1,0.002327,9.27164,[167  78] ; [53 51],[154.44126074  90.55873926] ; [65.55873926 38.44126074],0
