Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,91.283846,[146   7] ; [20 37],[120.94285714  32.05714286] ; [45.05714286 11.94285714],1
v4,1,0.0,65.628594,[145   7] ; [27 30],[125.09090909  26.90909091] ; [46.90909091 10.09090909],1
r1,1,0.0,44.141127,[115  37] ; [15 43],[94.0952381 57.9047619] ; [35.9047619 22.0952381],1
r2,1,0.0,42.895587,[146   6] ; [35 22],[131.63636364  20.36363636] ; [49.36363636  7.63636364],1
p11,1,0.0,29.425955,[110  43] ; [18 40],[92.81516588 60.18483412] ; [35.18483412 22.81516588],1
s6,1,0.0,25.792711,[84 65] ; [10 48],[67.66183575 81.33816425] ; [26.33816425 31.66183575],1
n6,1,1.2e-05,19.132866,[118  35] ; [26 31],[104.91428571  48.08571429] ; [39.08571429 17.91428571],1
p2,1,4.1e-05,16.832104,[110  43] ; [23 33],[97.36363636 55.63636364] ; [35.63636364 20.36363636],1
a1,1,0.000147,14.409867,[  3 150] ; [ 9 49],[  8.7014218 144.2985782] ; [ 3.2985782 54.7014218],1
d5,1,0.000229,13.576752,[111  40] ; [27 31],[99.70334928 51.29665072] ; [38.29665072 19.70334928],1
p9,1,0.000537,11.981743,[107  41] ; [26 30],[96.49019608 51.50980392] ; [36.50980392 19.49019608],1
u3,1,0.000772,11.307435,[32 22] ; [ 6 23],[24.72289157 29.27710843] ; [13.27710843 15.72289157],1
p7,1,0.001058,10.723771,[65 84] ; [10 44],[55.04926108 93.95073892] ; [19.95073892 34.04926108],0
s8,1,0.002244,9.33842,[ 43 108] ; [ 5 53],[ 34.67942584 116.32057416] ; [13.32057416 44.67942584],0
n2,1,0.002337,9.26379,[42 11] ; [14 16],[35.75903614 17.24096386] ; [20.24096386  9.75903614],0
s2,1,0.004861,7.930486,[57 95] ; [10 48],[ 48.4952381 103.5047619] ; [18.5047619 39.4952381],0
d4,1,0.007216,7.21838,[113  39] ; [32 26],[104.95238095  47.04761905] ; [40.04761905 17.95238095],0
b5,1,0.007446,7.162026,[102  51] ; [27 31],[93.54028436 59.45971564] ; [35.45971564 22.54028436],0
n3,1,0.010836,6.49199,[36 14] ; [13 17],[30.625 19.375] ; [18.375 11.625],0
p10,1,0.011849,6.333333,[96 56] ; [25 32],[88. 64.] ; [33. 24.],0
d1,1,0.013627,6.08578,[68 85] ; [15 43],[60.18483412 92.81516588] ; [22.81516588 35.18483412],0
b1,1,0.016377,5.761886,[54 99] ; [31 27],[61.63507109 91.36492891] ; [23.36492891 34.63507109],0
d3,1,0.018104,5.586013,[86 65] ; [22 35],[78.40384615 72.59615385] ; [29.59615385 27.40384615],0
a5,1,0.018628,5.536145,[96 57] ; [26 32],[88.46445498 64.53554502] ; [33.53554502 24.46445498],0
s3,1,0.020248,5.390416,[72 79] ; [17 40],[64.61057692 86.38942308] ; [24.38942308 32.61057692],0
