Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000219,13.663968,[ 5 33] ; [10  6],[10.55555556 27.44444444] ; [ 4.44444444 11.55555556],1
s5,1,0.000642,11.649591,[ 2 35] ; [7 9],[ 6.28301887 30.71698113] ; [ 2.71698113 13.28301887],1
p2,1,0.000804,11.232192,[ 8 30] ; [11  5],[13.37037037 24.62962963] ; [ 5.62962963 10.37037037],1
s2,1,0.001953,9.592913,[ 3 35] ; [7 9],[ 7.03703704 30.96296296] ; [ 2.96296296 13.03703704],0
p7,1,0.002392,9.221038,[ 4 33] ; [7 7],[ 7.98039216 29.01960784] ; [ 3.01960784 10.98039216],0
p9,1,0.003491,8.531483,[ 9 26] ; [11  5],[13.7254902 21.2745098] ; [6.2745098 9.7254902],0
p8,1,0.004594,8.03264,[ 5 32] ; [8 8],[ 9.0754717 27.9245283] ; [ 3.9245283 12.0754717],0
p6,1,0.00889,6.844748,[ 3 34] ; [ 6 10],[ 6.28301887 30.71698113] ; [ 2.71698113 13.28301887],0
p10,1,0.014452,5.982033,[10 27] ; [10  6],[13.96226415 23.03773585] ; [6.03773585 9.96226415],0
b5,1,0.019681,5.439967,[13 25] ; [11  5],[16.88888889 21.11111111] ; [7.11111111 8.88888889],0
p5,1,0.04232,4.122354,[ 1 36] ; [ 3 13],[ 2.79245283 34.20754717] ; [ 1.20754717 14.79245283],0
s7,1,0.047155,3.939865,[ 7 29] ; [7 8],[ 9.88235294 26.11764706] ; [ 4.11764706 10.88235294],0
s3,1,0.047155,3.939865,[ 7 29] ; [7 8],[ 9.88235294 26.11764706] ; [ 4.11764706 10.88235294],0
v4,1,0.048858,3.880212,[20 18] ; [13  3],[23.22222222 14.77777778] ; [9.77777778 6.22222222],0
v1,1,0.05245,3.761349,[ 7 31] ; [7 9],[ 9.85185185 28.14814815] ; [ 4.14814815 11.85185185],0
u2,1,0.05773,3.601441,[ 5 12] ; [5 2],[7.08333333 9.91666667] ; [2.91666667 4.08333333],0
r4,1,0.087496,2.919853,[ 3 35] ; [ 4 12],[ 4.92592593 33.07407407] ; [ 2.07407407 13.92592593],0
p4,1,0.089193,2.888884,[ 6 31] ; [ 6 10],[ 8.37735849 28.62264151] ; [ 3.62264151 12.37735849],0
b4,1,0.089799,2.87798,[19 19] ; [12  4],[21.81481481 16.18518519] ; [9.18518519 6.81481481],0
n2,1,0.108425,2.577027,[13 12] ; [6 1],[14.84375 10.15625] ; [4.15625 2.84375],0
b1,1,0.1323,2.265307,[25 13] ; [7 9],[22.51851852 15.48148148] ; [9.48148148 6.51851852],0
b2,1,0.146807,2.105114,[13 13] ; [3 9],[10.94736842 15.05263158] ; [5.05263158 6.94736842],0
b3,1,0.146807,2.105114,[13 13] ; [3 9],[10.94736842 15.05263158] ; [5.05263158 6.94736842],0
a1,1,0.182602,1.776316,[ 8 30] ; [ 1 15],[ 6.33333333 31.66666667] ; [ 2.66666667 13.33333333],0
u3,1,0.202134,1.626891,[ 5 12] ; [4 3],[ 6.375 10.625] ; [2.625 4.375],0
a5,1,0.23323,1.421053,[17 21] ; [10  6],[19. 19.] ; [8. 8.],0
s8,1,0.286321,1.136842,[ 5 33] ; [ 4 12],[ 6.33333333 31.66666667] ; [ 2.66666667 13.33333333],0
r2,1,0.298291,1.081818,[21 14] ; [12  4],[22.64705882 12.35294118] ; [10.35294118  5.64705882],0
v2,1,0.306572,1.045386,[ 5 32] ; [ 4 12],[ 6.28301887 30.71698113] ; [ 2.71698113 13.28301887],0
r1,1,0.309158,1.03427,[15 23] ; [ 4 12],[13.37037037 24.62962963] ; [ 5.62962963 10.37037037],0
d2,1,0.309762,1.031692,[13 24] ; [8 8],[14.66037736 22.33962264] ; [6.33962264 9.66037736],0
n6,1,0.341166,0.906044,[16 22] ; [9 7],[17.59259259 20.40740741] ; [7.40740741 8.59259259],0
n5,1,0.423515,0.64054,[30  8] ; [11  5],[28.85185185  9.14814815] ; [12.14814815  3.85185185],0
n3,1,0.469094,0.52411,[10 14] ; [4 3],[10.83870968 13.16129032] ; [3.16129032 3.83870968],0
n1,1,0.537957,0.379339,[11 14] ; [4 3],[11.71875 13.28125] ; [3.28125 3.71875],0
s4,1,0.58361,0.300434,[ 7 31] ; [ 4 12],[ 7.74074074 30.25925926] ; [ 3.25925926 12.74074074],0
a7,1,0.623369,0.24116,[17 21] ; [ 6 10],[16.18518519 21.81481481] ; [6.81481481 9.18518519],0
d3,1,0.634448,0.226077,[14 24] ; [7 9],[14.77777778 23.22222222] ; [6.22222222 9.77777778],0
n4,1,0.634448,0.226077,[24 14] ; [9 7],[23.22222222 14.77777778] ; [9.77777778 6.22222222],0
d1,1,0.767445,0.087449,[11 27] ; [ 4 12],[10.55555556 27.44444444] ; [ 4.44444444 11.55555556],0
a6,1,0.807618,0.059292,[18 20] ; [7 9],[17.59259259 20.40740741] ; [7.40740741 8.59259259],0
p1,1,0.833097,0.044408,[ 4 34] ; [ 2 14],[ 4.22222222 33.77777778] ; [ 1.77777778 14.22222222],0
s1,1,0.833097,0.044408,[ 4 34] ; [ 2 14],[ 4.22222222 33.77777778] ; [ 1.77777778 14.22222222],0
v3,1,0.847866,0.036803,[ 8 30] ; [ 3 13],[ 7.74074074 30.25925926] ; [ 3.25925926 12.74074074],0
d4,1,0.859724,0.031232,[18 20] ; [8 8],[18.2962963 19.7037037] ; [7.7037037 8.2962963],0
d5,1,0.859724,0.031232,[20 18] ; [8 8],[19.7037037 18.2962963] ; [8.2962963 7.7037037],0
a3,1,0.888387,0.019697,[21 15] ; [9 7],[20.76923077 15.23076923] ; [9.23076923 6.76923077],0
a4,1,0.924303,0.009028,[14 22] ; [ 6 10],[13.84615385 22.15384615] ; [6.15384615 9.84615385],0
a2,1,0.9476,0.004319,[ 5 33] ; [ 2 14],[ 4.92592593 33.07407407] ; [ 2.07407407 13.92592593],0
