Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,24.533238,[74  3] ; [13 10],[66.99 10.01] ; [20.01  2.99],1
p2,1,0.000769,11.314286,[74  3] ; [16  6],[70.  7.] ; [20.  2.],1
p6,1,0.004461,8.085868,[53 23] ; [ 8 14],[47.30612245 28.69387755] ; [13.69387755  8.30612245],0
p7,1,0.02328,5.147475,[65 12] ; [13  8],[61.28571429 15.71428571] ; [16.71428571  4.28571429],0
a3,1,0.023815,5.108067,[64 13] ; [14  9],[60.06 16.94] ; [17.94  5.06],0
r3,1,0.029144,4.759064,[72  3] ; [19  4],[69.64285714  5.35714286] ; [21.35714286  1.64285714],0
u1,1,0.032467,4.573687,[19 58] ; [ 1 22],[15.4 61.6] ; [ 4.6 18.4],0
p8,1,0.043404,4.079616,[65 12] ; [15  8],[61.6 15.4] ; [18.4  4.6],0
v4,1,0.047868,3.914624,[73  2] ; [20  3],[71.17346939  3.82653061] ; [21.82653061  1.17346939],0
n6,1,0.0585,3.579407,[73  4] ; [19  4],[70.84  6.16] ; [21.16  1.84],0
v2,1,0.059008,3.56504,[47 27] ; [ 9 13],[43.16666667 30.83333333] ; [12.83333333  9.16666667],0
a6,1,0.065535,3.391446,[53 24] ; [11 12],[49.28 27.72] ; [14.72  8.28],0
s7,1,0.090173,2.871278,[53 19] ; [12 10],[49.78723404 22.21276596] ; [15.21276596  6.78723404],0
r4,1,0.101427,2.682956,[70  7] ; [18  5],[67.76  9.24] ; [20.24  2.76],0
b5,1,0.10298,2.658778,[32 45] ; [14  9],[35.42 41.58] ; [10.58 12.42],0
p12,1,0.103434,2.651786,[24 53] ; [ 3 19],[21. 56.] ; [ 6. 16.],0
s5,1,0.103463,2.651337,[47 21] ; [11 11],[43.82222222 24.17777778] ; [14.17777778  7.82222222],0
u2,1,0.119467,2.424298,[10  3] ; [4 5],[8.27272727 4.72727273] ; [5.72727273 3.27272727],0
u3,1,0.119467,2.424298,[10  3] ; [4 5],[8.27272727 4.72727273] ; [5.72727273 3.27272727],0
d5,1,0.153942,2.03275,[64 13] ; [16  7],[61.6 15.4] ; [18.4  4.6],0
p1,1,0.162049,1.955004,[25 52] ; [ 4 19],[22.33 54.67] ; [ 6.67 16.33],0
r1,1,0.163016,1.946025,[63 13] ; [16  7],[60.64646465 15.35353535] ; [18.35353535  4.64646465],0
s8,1,0.189223,1.723659,[48 28] ; [11 12],[45.29292929 30.70707071] ; [13.70707071  9.29292929],0
s6,1,0.211639,1.560181,[60 11] ; [16  6],[58.02150538 12.97849462] ; [17.97849462  4.02150538],0
s3,1,0.28666,1.13524,[47 28] ; [11 11],[44.84536082 30.15463918] ; [13.15463918  8.84536082],0
v3,1,0.294703,1.098012,[43 31] ; [10 12],[40.85416667 33.14583333] ; [12.14583333  9.85416667],0
b1,1,0.31118,1.025659,[31 46] ; [12 11],[33.11 43.89] ; [ 9.89 13.11],0
b2,1,0.313313,1.016657,[29 27] ; [ 6 10],[27.22222222 28.77777778] ; [7.77777778 8.22222222],0
b3,1,0.313313,1.016657,[29 27] ; [ 6 10],[27.22222222 28.77777778] ; [7.77777778 8.22222222],0
p11,1,0.364547,0.822169,[69  8] ; [19  4],[67.76  9.24] ; [20.24  2.76],0
n4,1,0.364547,0.822169,[69  8] ; [19  4],[67.76  9.24] ; [20.24  2.76],0
n5,1,0.364547,0.822169,[69  8] ; [19  4],[67.76  9.24] ; [20.24  2.76],0
d3,1,0.403481,0.697927,[54 23] ; [14  9],[52.36 24.64] ; [15.64  7.36],0
v1,1,0.405268,0.692641,[50 25] ; [16  5],[51.5625 23.4375] ; [14.4375  6.5625],0
s2,1,0.422591,0.6431,[43 32] ; [11 12],[41.32653061 33.67346939] ; [12.67346939 10.32653061],0
s4,1,0.448122,0.575398,[11 63] ; [ 2 21],[ 9.91752577 64.08247423] ; [ 3.08247423 19.91752577],0
d1,1,0.463351,0.537789,[50 27] ; [13 10],[48.51 28.49] ; [14.49  8.51],0
r2,1,0.463746,0.536838,[69  6] ; [20  3],[68.1122449  6.8877551] ; [20.8877551  2.1122449],0
b4,1,0.489635,0.477329,[44 33] ; [15  8],[45.43 31.57] ; [13.57  9.43],0
n2,1,0.516937,0.42,[12  3] ; [4 2],[11.42857143  3.57142857] ; [4.57142857 1.42857143],0
d2,1,0.571009,0.320997,[42 35] ; [11 12],[40.81 36.19] ; [12.19 10.81],0
n3,1,0.576999,0.311111,[8 7] ; [4 2],[8.57142857 6.42857143] ; [3.42857143 2.57142857],0
a5,1,0.58974,0.29075,[61 16] ; [17  6],[60.06 16.94] ; [17.94  5.06],0
d4,1,0.59323,0.285328,[67 10] ; [19  4],[66.22 10.78] ; [19.78  3.22],0
a8,1,0.619016,0.247253,[10 60] ; [ 2 18],[ 9.33333333 60.66666667] ; [ 2.66666667 17.33333333],0
a2,1,0.628227,0.234472,[17 60] ; [ 4 19],[16.17 60.83] ; [ 4.83 18.17],0
s1,1,0.716444,0.131926,[ 5 72] ; [ 2 21],[ 5.39 71.61] ; [ 1.61 21.39],0
a7,1,0.862798,0.029864,[55 22] ; [16  7],[54.67 22.33] ; [16.33  6.67],0
n1,1,0.890106,0.019091,[8 7] ; [3 3],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
p10,1,0.931897,0.007303,[73  3] ; [22  1],[72.92929293  3.07070707] ; [22.07070707  0.92929293],0
a4,1,0.954191,0.0033,[34 43] ; [10 13],[33.88 43.12] ; [10.12 12.88],0
