Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,133.964525,[206  61] ; [ 26 119],[150.34951456 116.65048544] ; [81.65048544 63.34951456],1
d5,1,0.0,117.440728,[261   5] ; [82 63],[221.99026764  44.00973236] ; [121.00973236  23.99026764],1
d4,1,0.0,105.071348,[261   5] ; [87 58],[225.22627737  40.77372263] ; [122.77372263  22.22627737],1
d3,1,0.0,93.255923,[235  32] ; [63 82],[193.12135922  73.87864078] ; [104.87864078  40.12135922],1
a4,1,0.0,53.214585,[171  97] ; [ 38 107],[135.62227603 132.37772397] ; [73.37772397 71.62227603],1
a2,1,0.0,46.497916,[108 161] ; [ 12 133],[ 77.97101449 191.02898551] ; [ 42.02898551 102.97101449],1
u1,1,0.0,40.827203,[ 93 176] ; [  9 136],[ 66.27536232 202.72463768] ; [ 35.72463768 109.27536232],1
a5,1,0.0,30.872542,[235  34] ; [93 52],[213.12077295  55.87922705] ; [114.87922705  30.12077295],1
a3,1,5e-06,20.764749,[236  31] ; [102  43],[219.04368932  47.95631068] ; [118.95631068  26.04368932],1
n4,1,0.001769,9.775056,[235  33] ; [109  35],[223.76699029  44.23300971] ; [120.23300971  23.76699029],0
r1,1,0.004166,8.209943,[237  31] ; [112  32],[227.01941748  40.98058252] ; [121.98058252  22.01941748],0
p4,1,0.005122,7.835944,[191  76] ; [84 61],[178.21601942  88.78398058] ; [96.78398058 48.21601942],0
a6,1,0.009058,6.811335,[188  78] ; [84 61],[176.03892944  89.96107056] ; [95.96107056 49.03892944],0
a7,1,0.010868,6.486745,[201  68] ; [91 54],[189.7294686  79.2705314] ; [102.2705314  42.7294686],0
a1,1,0.017162,5.679687,[ 21 248] ; [  3 142],[ 15.5942029 253.4057971] ; [  8.4057971 136.5942029],0
s2,1,0.018019,5.594292,[208  60] ; [97 48],[197.91767554  70.08232446] ; [107.08232446  37.91767554],0
p12,1,0.038693,4.274292,[ 32 236] ; [  8 135],[ 26.08272506 241.91727494] ; [ 13.91727494 129.08272506],0
s8,1,0.03997,4.21914,[193  73] ; [91 54],[183.8053528  82.1946472] ; [100.1946472  44.8053528],0
p3,1,0.0431,4.091472,[162 105] ; [73 72],[152.29368932 114.70631068] ; [82.70631068 62.29368932],0
s3,1,0.049011,3.874961,[209  56] ; [101  43],[200.85574572  64.14425428] ; [109.14425428  34.85574572],0
p9,1,0.05051,3.824447,[243  24] ; [121  22],[237.04390244  29.95609756] ; [126.95609756  16.04390244],0
u4,1,0.054076,3.710348,[ 14 255] ; [  2 143],[ 10.39613527 258.60386473] ; [  5.60386473 139.39613527],0
v2,1,0.064742,3.411548,[167  95] ; [76 64],[158.37313433 103.62686567] ; [84.62686567 55.37313433],0
r3,1,0.075168,3.166402,[263   6] ; [136   8],[259.88135593   9.11864407] ; [139.11864407   4.88135593],0
s6,1,0.080713,3.050493,[228  36] ; [114  29],[221.83783784  42.16216216] ; [120.16216216  22.83783784],0
n6,1,0.081198,3.040764,[240  25] ; [123  22],[234.62195122  30.37804878] ; [128.37804878  16.62195122],0
v3,1,0.136235,2.219975,[125 130] ; [59 84],[117.88944724 137.11055276] ; [66.11055276 76.88944724],0
s5,1,0.185724,1.751218,[123 133] ; [58 83],[116.71536524 139.28463476] ; [64.28463476 76.71536524],0
b4,1,0.18967,1.720176,[159 110] ; [76 69],[152.69323671 116.30676329] ; [82.30676329 62.69323671],0
n2,1,0.198657,1.652218,[40 13] ; [32  5],[42.4 10.6] ; [29.6  7.4],0
n3,1,0.252093,1.311669,[35 17] ; [29  8],[37.39325843 14.60674157] ; [26.60674157 10.39325843],0
p6,1,0.285376,1.14131,[129 137] ; [61 81],[123.87254902 142.12745098] ; [66.12745098 75.87254902],0
p10,1,0.305154,1.051536,[233  35] ; [119  24],[229.52798054  38.47201946] ; [122.47201946  20.52798054],0
n5,1,0.333013,0.937147,[220  47] ; [113  31],[216.32846715  50.67153285] ; [116.67153285  27.32846715],0
p2,1,0.344229,0.894616,[224  45] ; [125  19],[227.31476998  41.68523002] ; [121.68523002  22.31476998],0
b5,1,0.357148,0.847896,[161 108] ; [80 65],[156.59178744 112.40821256] ; [84.40821256 60.59178744],0
u2,1,0.362243,0.830102,[23 10] ; [25 17],[21.12 11.88] ; [26.88 15.12],0
p11,1,0.372182,0.796367,[216  53] ; [111  34],[212.47101449  56.52898551] ; [114.52898551  30.47101449],0
v1,1,0.502313,0.450046,[155 106] ; [80 63],[151.81930693 109.18069307] ; [83.18069307 59.81930693],0
p5,1,0.528961,0.396387,[ 45 220] ; [ 21 123],[ 42.76283619 222.23716381] ; [ 23.23716381 120.76283619],0
p8,1,0.536567,0.381939,[150 113] ; [77 66],[147.04679803 115.95320197] ; [79.95320197 63.04679803],0
r4,1,0.59056,0.289471,[254  15] ; [135  10],[252.75603865  16.24396135] ; [136.24396135   8.75603865],0
p1,1,0.644648,0.212714,[ 30 238] ; [ 14 130],[ 28.62135922 239.37864078] ; [ 15.37864078 128.62135922],0
n1,1,0.668815,0.182991,[27 26] ; [20 16],[27.98876404 25.01123596] ; [19.01123596 16.98876404],0
