Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.008484,6.928332,[202  74] ; [1 4],[199.38790036  76.61209964] ; [3.61209964 1.38790036],0
r2,1,0.010901,6.481386,[272   6] ; [4 1],[271.12367491   6.87632509] ; [4.87632509 0.12367491],0
n6,1,0.014201,6.012924,[251  23] ; [3 2],[249.44802867  24.55197133] ; [4.55197133 0.44802867],0
p10,1,0.043359,4.081341,[244  30] ; [3 2],[242.5734767  31.4265233] ; [4.4265233 0.5734767],0
b1,1,0.054448,3.698896,[105 173] ; [4 1],[107.07420495 170.92579505] ; [1.92579505 3.07420495],0
a8,1,0.081309,3.038541,[ 33 220] ; [2 3],[ 34.32170543 218.67829457] ; [0.67829457 4.32170543],0
d3,1,0.124475,2.360089,[198  79] ; [2 3],[196.45390071  80.54609929] ; [3.54609929 1.45390071],0
a4,1,0.173314,1.854044,[141 137] ; [1 4],[139.49116608 138.50883392] ; [2.50883392 2.49116608],0
p4,1,0.175875,1.832144,[187  86] ; [2 3],[185.60071942  87.39928058] ; [3.39928058 1.60071942],0
n2,1,0.179528,1.801531,[52  9] ; [1 1],[51.31746032  9.68253968] ; [1.68253968 0.31746032],0
d2,1,0.222664,1.487118,[145 131] ; [4 1],[146.34875445 129.65124555] ; [2.65124555 2.34875445],0
n5,1,0.280483,1.164749,[220  56] ; [3 2],[219.03202847  56.96797153] ; [3.96797153 1.03202847],0
p11,1,0.299446,1.076661,[220  58] ; [3 2],[219.06007067  58.93992933] ; [3.93992933 1.06007067],0
v1,1,0.317175,1.000559,[171 105] ; [2 3],[169.92170819 106.07829181] ; [3.07829181 1.92170819],0
v2,1,0.377862,0.777646,[162 110] ; [2 3],[161.03971119 110.96028881] ; [2.96028881 2.03971119],0
b4,1,0.382484,0.762703,[169 109] ; [4 1],[169.9434629 108.0565371] ; [3.0565371 1.9434629],0
p9,1,0.389618,0.740133,[247  24] ; [4 1],[246.45289855  24.54710145] ; [4.54710145 0.45289855],0
s8,1,0.394965,0.723603,[162 113] ; [2 3],[161.07142857 113.92857143] ; [2.92857143 2.07142857],0
s6,1,0.432346,0.616513,[241  33] ; [3 1],[240.48920863  33.51079137] ; [3.51079137 0.48920863],0
s4,1,0.467659,0.527503,[ 70 203] ; [2 3],[ 70.70503597 202.29496403] ; [1.29496403 3.70503597],0
b3,1,0.502518,0.449616,[74 91] ; [3 2],[74.73529412 90.26470588] ; [2.26470588 2.73529412],0
b2,1,0.502518,0.449616,[74 91] ; [3 2],[74.73529412 90.26470588] ; [2.26470588 2.73529412],0
b5,1,0.535034,0.384822,[150 128] ; [2 3],[149.31448763 128.68551237] ; [2.68551237 2.31448763],0
p6,1,0.588272,0.293051,[130 142] ; [3 2],[130.59927798 141.40072202] ; [2.40072202 2.59927798],0
p1,1,0.627471,0.235506,[ 35 241] ; [1 4],[ 35.3594306 240.6405694] ; [0.6405694 4.3594306],0
s3,1,0.644388,0.213049,[190  83] ; [3 2],[189.52877698  83.47122302] ; [3.47122302 1.52877698],0
r1,1,0.648447,0.207863,[240  36] ; [4 1],[239.65836299  36.34163701] ; [4.34163701 0.65836299],0
a7,1,0.650796,0.204899,[193  85] ; [3 2],[192.53710247  85.46289753] ; [3.46289753 1.53710247],0
p2,1,0.749137,0.102258,[235  41] ; [4 1],[234.74733096  41.25266904] ; [4.25266904 0.74733096],0
p7,1,0.770626,0.085005,[199  69] ; [4 1],[199.28205128  68.71794872] ; [3.71794872 1.28205128],0
s7,1,0.7826,0.076139,[174  90] ; [3 2],[173.71003717  90.28996283] ; [3.28996283 1.71003717],0
d5,1,0.806293,0.060128,[232  44] ; [4 1],[231.80071174  44.19928826] ; [4.19928826 0.80071174],0
d1,1,0.82576,0.048463,[180  98] ; [3 2],[179.76678445  98.23321555] ; [3.23321555 1.76678445],0
a6,1,0.848712,0.03639,[177  99] ; [3 2],[176.79715302  99.20284698] ; [3.20284698 1.79715302],0
a3,1,0.913852,0.011703,[216  61] ; [4 1],[216.09929078  60.90070922] ; [3.90070922 1.09929078],0
p5,1,0.925517,0.00874,[ 60 216] ; [1 4],[ 59.91459075 216.08540925] ; [1.08540925 3.91459075],0
a5,1,0.957932,0.002782,[225  53] ; [4 1],[224.9540636  53.0459364] ; [4.0459364 0.9540636],0
n1,1,0.962993,0.002153,[31 29] ; [1 1],[30.96774194 29.03225806] ; [1.03225806 0.96774194],0
n4,1,0.971514,0.001275,[219  57] ; [4 1],[219.03202847  56.96797153] ; [3.96797153 1.03202847],0
p3,1,0.973831,0.001076,[163 112] ; [3 2],[163.03571429 111.96428571] ; [2.96428571 2.03571429],0
p8,1,0.976055,0.000901,[165 107] ; [3 2],[164.96750903 107.03249097] ; [3.03249097 1.96750903],0
