Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,33.065806,[139  40] ; [12 27],[123.98623853  55.01376147] ; [27.01376147 11.98623853],1
d5,1,1e-06,24.005929,[154  25] ; [20 19],[142.87155963  36.12844037] ; [31.12844037  7.87155963],1
d2,1,1e-05,19.517261,[102  77] ; [ 7 32],[89.5 89.5] ; [19.5 19.5],1
r3,1,0.001193,10.501052,[172   7] ; [32  7],[167.50458716  11.49541284] ; [36.49541284  2.50458716],0
v2,1,0.002442,9.1836,[138  37] ; [21 17],[130.63380282  44.36619718] ; [28.36619718  9.63380282],0
a4,1,0.002758,8.961048,[83 95] ; [ 8 31],[ 74.64516129 103.35483871] ; [16.35483871 22.64516129],0
p1,1,0.005051,7.86105,[  9 170] ; [ 7 32],[ 13.13761468 165.86238532] ; [ 2.86238532 36.13761468],0
a2,1,0.012461,6.244096,[ 47 132] ; [ 3 36],[ 41.05504587 137.94495413] ; [ 8.94495413 30.05504587],0
s8,1,0.026692,4.910644,[80 98] ; [10 29],[ 73.82488479 104.17511521] ; [16.17511521 22.82488479],0
p2,1,0.042525,4.114197,[144  33] ; [26 13],[139.30555556  37.69444444] ; [30.69444444  8.30555556],0
n1,1,0.048602,3.889056,[10 28] ; [4 2],[12.09090909 25.90909091] ; [1.90909091 4.09090909],0
s7,1,0.074247,3.186544,[83 84] ; [12 24],[78.15270936 88.84729064] ; [16.84729064 19.15270936],0
a3,1,0.080645,3.051847,[134  44] ; [24 15],[129.60368664  48.39631336] ; [28.39631336 10.60368664],0
a8,1,0.081899,3.026805,[ 27 132] ; [ 2 34],[ 23.64615385 135.35384615] ; [ 5.35384615 30.64615385],0
u2,1,0.10964,2.559401,[28 16] ; [6 9],[25.3559322 18.6440678] ; [8.6440678 6.3559322],0
n6,1,0.111505,2.532757,[152  27] ; [29 10],[148.61926606  30.38073394] ; [32.38073394  6.61926606],0
s2,1,0.131672,2.272679,[ 75 103] ; [11 27],[ 70.87037037 107.12962963] ; [15.12962963 22.87037037],0
p10,1,0.135779,2.225151,[144  31] ; [28 11],[140.65420561  34.34579439] ; [31.34579439  7.65420561],0
a5,1,0.145984,2.113721,[131  48] ; [24 15],[127.2706422  51.7293578] ; [27.7293578 11.2706422],0
p7,1,0.184666,1.759665,[111  62] ; [20 18],[107.40758294  65.59241706] ; [23.59241706 14.40758294],0
p11,1,0.230159,1.439881,[144  35] ; [28 11],[141.2293578  37.7706422] ; [30.7706422  8.2293578],0
p9,1,0.248272,1.333003,[145  31] ; [29 10],[142.4372093  33.5627907] ; [31.5627907  7.4372093],0
p8,1,0.253053,1.30637,[89 85] ; [16 23],[85.77464789 88.22535211] ; [19.22535211 19.77464789],0
a6,1,0.270902,1.212171,[122  57] ; [23 16],[119.05963303  59.94036697] ; [25.94036697 13.05963303],0
s3,1,0.285286,1.141737,[80 95] ; [21 17],[82.98122066 92.01877934] ; [18.01877934 19.98122066],0
