Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,8.7e-05,15.404589,[25 22] ; [ 8 43],[15.82653061 31.17346939] ; [17.17346939 33.82653061],1
p6,1,0.000175,14.081673,[19 28] ; [ 4 46],[11.1443299 35.8556701] ; [11.8556701 38.1443299],1
p3,1,0.000338,12.848645,[22 25] ; [ 7 44],[13.90816327 33.09183673] ; [15.09183673 35.90816327],1
p8,1,0.003861,8.347826,[22 24] ; [10 40],[15.33333333 30.66666667] ; [16.66666667 33.33333333],0
p2,1,0.004904,7.914608,[36 11] ; [25 26],[29.25510204 17.74489796] ; [31.74489796 19.25510204],0
n5,1,0.004927,7.906046,[22 25] ; [38 13],[28.7755102 18.2244898] ; [31.2244898 19.7755102],0
v2,1,0.008896,6.843681,[22 23] ; [11 37],[15.96774194 29.03225806] ; [17.03225806 30.96774194],0
b3,1,0.009781,6.674321,[ 9 25] ; [17 12],[14.03174603 19.96825397] ; [11.96825397 17.03174603],0
b2,1,0.009781,6.674321,[ 9 25] ; [17 12],[14.03174603 19.96825397] ; [11.96825397 17.03174603],0
n3,1,0.022688,5.192258,[12  1] ; [11  9],[9.06060606 3.93939394] ; [13.93939394  6.06060606],0
r4,1,0.03015,4.700706,[34 13] ; [26 25],[28.7755102 18.2244898] ; [31.2244898 19.7755102],0
s3,1,0.036926,4.353836,[20 26] ; [12 39],[15.17525773 30.82474227] ; [16.82474227 34.17525773],0
n4,1,0.047544,3.926034,[23 24] ; [35 16],[27.81632653 19.18367347] ; [30.18367347 20.81632653],0
r3,1,0.047738,3.919191,[40  7] ; [34 16],[35.8556701 11.1443299] ; [38.1443299 11.8556701],0
s7,1,0.067033,3.354212,[12 32] ; [ 6 43],[ 8.51612903 35.48387097] ; [ 9.48387097 39.51612903],0
r2,1,0.08528,2.961285,[40  7] ; [36 15],[36.44897959 10.55102041] ; [39.55102041 11.44897959],0
s2,1,0.08729,2.923657,[13 34] ; [ 7 44],[ 9.59183673 37.40816327] ; [10.40816327 40.59183673],0
r1,1,0.090508,2.865318,[31 16] ; [25 26],[26.85714286 20.14285714] ; [29.14285714 21.85714286],0
v4,1,0.095523,2.778742,[39  7] ; [36 15],[35.56701031 10.43298969] ; [39.43298969 11.56701031],0
