Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-06,21.233333,[12  1] ; [ 8 31],[5. 8.] ; [15. 24.],1
p6,1,0.001501,10.077519,[6 7] ; [ 3 36],[ 2.25 10.75] ; [ 6.75 32.25],0
p9,1,0.001583,9.97921,[10  3] ; [10 27],[5.2 7.8] ; [14.8 22.2],0
r4,1,0.001964,9.583301,[5 8] ; [ 2 38],[ 1.71698113 11.28301887] ; [ 5.28301887 34.71698113],0
p11,1,0.004594,8.03264,[8 5] ; [ 8 32],[3.9245283 9.0754717] ; [12.0754717 27.9245283],0
p4,1,0.005275,7.782705,[6 6] ; [ 5 35],[2.53846154 9.46153846] ; [ 8.46153846 31.53846154],0
p7,1,0.00801,7.03125,[5 5] ; [ 5 35],[2. 8.] ; [ 8. 32.],0
v1,1,0.009815,6.668121,[7 6] ; [ 7 33],[3.43396226 9.56603774] ; [10.56603774 29.43396226],0
v4,1,0.0101,6.617124,[12  1] ; [21 19],[8.09433962 4.90566038] ; [24.90566038 15.09433962],0
p5,1,0.014687,5.95366,[ 3 10] ; [ 1 39],[ 0.98113208 12.01886792] ; [ 3.01886792 36.98113208],0
u3,1,0.027369,4.867368,[4 1] ; [ 5 14],[1.875 3.125] ; [ 7.125 11.875],0
r2,1,0.03132,4.635363,[11  1] ; [22 16],[7.92 4.08] ; [25.08 12.92],0
s2,1,0.03767,4.319879,[5 8] ; [ 5 35],[ 2.45283019 10.54716981] ; [ 7.54716981 32.45283019],0
u2,1,0.050694,3.818346,[4 1] ; [ 6 13],[2.08333333 2.91666667] ; [ 7.91666667 11.08333333],0
s1,1,0.05273,3.752468,[ 3 10] ; [ 2 38],[ 1.22641509 11.77358491] ; [ 3.77358491 36.22641509],0
n6,1,0.066634,3.364044,[9 4] ; [16 24],[6.13207547 6.86792453] ; [18.86792453 21.13207547],0
s7,1,0.090142,2.871828,[6 7] ; [ 8 29],[3.64 9.36] ; [10.36 26.64],0
a7,1,0.091597,2.846075,[8 5] ; [14 26],[5.39622642 7.60377358] ; [16.60377358 23.39622642],0
a4,1,0.091629,2.845521,[ 2 10] ; [17 22],[4.47058824 7.52941176] ; [14.52941176 24.47058824],0
s6,1,0.100018,2.705253,[6 7] ; [ 9 31],[3.67924528 9.32075472] ; [11.32075472 28.67924528],0
p2,1,0.11934,2.425959,[7 6] ; [12 28],[4.66037736 8.33962264] ; [14.33962264 25.66037736],0
b4,1,0.120529,2.410436,[10  3] ; [21 19],[7.60377358 5.39622642] ; [23.39622642 16.60377358],0
s8,1,0.127485,2.322868,[4 9] ; [ 5 35],[ 2.20754717 10.79245283] ; [ 6.79245283 33.20754717],0
n2,1,0.131614,2.273366,[6 1] ; [13 11],[4.29032258 2.70967742] ; [14.70967742  9.29032258],0
s5,1,0.13849,2.19466,[4 9] ; [ 5 34],[ 2.25 10.75] ; [ 6.75 32.25],0
a6,1,0.172715,1.859223,[4 9] ; [21 19],[6.13207547 6.86792453] ; [18.86792453 21.13207547],0
d3,1,0.227464,1.456651,[7 6] ; [14 26],[5.1509434 7.8490566] ; [15.8490566 24.1509434],0
b1,1,0.298752,1.079757,[6 7] ; [25 15],[7.60377358 5.39622642] ; [23.39622642 16.60377358],0
a1,1,0.304534,1.054235,[ 1 12] ; [ 8 32],[ 2.20754717 10.79245283] ; [ 6.79245283 33.20754717],0
b3,1,0.322386,0.979244,[3 7] ; [13 14],[4.32432432 5.67567568] ; [11.67567568 15.32432432],0
b2,1,0.322386,0.979244,[3 7] ; [13 14],[4.32432432 5.67567568] ; [11.67567568 15.32432432],0
r1,1,0.372488,0.795347,[6 7] ; [13 27],[4.66037736 8.33962264] ; [14.33962264 25.66037736],0
s3,1,0.37493,0.787258,[4 7] ; [ 9 30],[2.86 8.14] ; [10.14 28.86],0
n3,1,0.399747,0.709086,[4 3] ; [ 9 14],[3.03333333 3.96666667] ; [ 9.96666667 13.03333333],0
a3,1,0.432948,0.614902,[8 4] ; [21 18],[6.82352941 5.17647059] ; [22.17647059 16.82352941],0
n1,1,0.469094,0.52411,[4 3] ; [10 14],[3.16129032 3.83870968] ; [10.83870968 13.16129032],0
n4,1,0.471056,0.519499,[7 6] ; [26 14],[8.09433962 4.90566038] ; [24.90566038 15.09433962],0
b5,1,0.475242,0.509762,[7 6] ; [17 23],[5.88679245 7.11320755] ; [18.11320755 21.88679245],0
a2,1,0.498996,0.457071,[ 1 12] ; [ 6 34],[ 1.71698113 11.28301887] ; [ 5.28301887 34.71698113],0
d2,1,0.510358,0.433333,[4 9] ; [16 23],[5. 8.] ; [15. 24.],0
v2,1,0.525492,0.403101,[ 3 10] ; [ 6 33],[ 2.25 10.75] ; [ 6.75 32.25],0
d5,1,0.578849,0.308099,[6 7] ; [22 18],[6.86792453 6.13207547] ; [21.13207547 18.86792453],0
p1,1,0.594507,0.283361,[ 2 11] ; [ 4 36],[ 1.47169811 11.52830189] ; [ 4.52830189 35.47169811],0
d4,1,0.690901,0.158111,[7 6] ; [19 21],[6.37735849 6.62264151] ; [19.62264151 20.37735849],0
a5,1,0.809563,0.058076,[6 7] ; [20 20],[6.37735849 6.62264151] ; [19.62264151 20.37735849],0
s4,1,0.812154,0.056477,[ 3 10] ; [ 8 32],[ 2.69811321 10.30188679] ; [ 8.30188679 31.69811321],0
v3,1,0.812154,0.056477,[ 3 10] ; [ 8 32],[ 2.69811321 10.30188679] ; [ 8.30188679 31.69811321],0
d1,1,0.820171,0.051677,[4 9] ; [11 29],[3.67924528 9.32075472] ; [11.32075472 28.67924528],0
n5,1,0.888658,0.019601,[10  3] ; [30 10],[9.81132075 3.18867925] ; [30.18867925  9.81132075],0
