Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,123.414634,[22 77] ; [208  38],[66. 33.] ; [164.  82.],1
p2,1,0.0,43.365978,[42 57] ; [194  52],[67.72173913 31.27826087] ; [168.27826087  77.72173913],1
p11,1,0.0,36.511507,[45 54] ; [195  53],[68.47262248 30.52737752] ; [171.52737752  76.47262248],1
s6,1,1e-05,19.426394,[29 69] ; [137 108],[47.42857143 50.57142857] ; [118.57142857 126.42857143],1
n6,1,1.5e-05,18.762393,[56 42] ; [196  49],[72. 26.] ; [180.  65.],1
r4,1,1.6e-05,18.670547,[63 36] ; [210  38],[77.88760807 21.11239193] ; [195.11239193  52.88760807],1
v4,1,5.1e-05,16.423072,[74 23] ; [226  19],[85.0877193 11.9122807] ; [214.9122807  30.0877193],1
r3,1,9e-05,15.34082,[76 21] ; [229  17],[86.25364431 10.74635569] ; [218.74635569  27.25364431],1
b1,1,0.000263,13.314253,[55 44] ; [ 85 163],[39.94236311 59.05763689] ; [100.05763689 147.94236311],1
s8,1,0.000466,12.245115,[17 81] ; [ 91 157],[30.58959538 67.41040462] ; [ 77.41040462 170.58959538],1
p8,1,0.000838,11.154402,[19 80] ; [ 93 153],[32.13913043 66.86086957] ; [ 79.86086957 166.13913043],1
s3,1,0.002893,8.873964,[33 65] ; [126 119],[45.42857143 52.57142857] ; [113.57142857 131.42857143],0
r2,1,0.00524,7.794523,[82 16] ; [227  16],[88.80351906  9.19648094] ; [220.19648094  22.80351906],0
v2,1,0.010688,6.516452,[36 59] ; [125 109],[46.4893617 48.5106383] ; [114.5106383 119.4893617],0
s7,1,0.012863,6.187882,[20 70] ; [ 89 154],[29.45945946 60.54054054] ; [ 79.54054054 163.45945946],0
a5,1,0.015937,5.809775,[53 46] ; [167  81],[62.76657061 36.23342939] ; [157.23342939  90.76657061],0
v1,1,0.016987,5.697734,[33 66] ; [113 125],[42.89020772 56.10979228] ; [103.10979228 134.89020772],0
s2,1,0.022742,5.188089,[25 73] ; [ 95 152],[34.08695652 63.91304348] ; [ 85.91304348 161.08695652],0
n3,1,0.022925,5.174153,[19 18] ; [52 19],[24.32407407 12.67592593] ; [46.67592593 24.32407407],0
d5,1,0.024372,5.067976,[64 35] ; [189  58],[72.39017341 26.60982659] ; [180.60982659  66.39017341],0
d3,1,0.026348,4.93305,[47 52] ; [149  97],[56.24347826 42.75652174] ; [139.75652174 106.24347826],0
a7,1,0.027687,4.847439,[56 41] ; [174  74],[64.66666667 32.33333333] ; [165.33333333  82.66666667],0
n5,1,0.035006,4.444878,[55 43] ; [167  78],[63.42857143 34.57142857] ; [158.57142857  86.42857143],0
n2,1,0.041727,4.146257,[23 17] ; [54 17],[27.74774775 12.25225225] ; [49.25225225 21.74774775],0
s5,1,0.048409,3.895726,[14 83] ; [ 58 182],[20.72403561 76.27596439] ; [ 51.27596439 188.72403561],0
p5,1,0.067898,3.333118,[ 1 98] ; [ 13 232],[ 4.02906977 94.97093023] ; [  9.97093023 235.02906977],0
b5,1,0.068004,3.330557,[53 46] ; [159  89],[60.48414986 38.51585014] ; [151.51585014  96.48414986],0
v3,1,0.101907,2.675443,[25 69] ; [ 86 153],[31.33333333 62.66666667] ; [ 79.66666667 159.33333333],0
s1,1,0.107751,2.586905,[ 7 90] ; [  8 237],[ 4.25438596 92.74561404] ; [ 10.74561404 234.25438596],0
d1,1,0.13011,2.291187,[41 58] ; [125 123],[47.36023055 51.63976945] ; [118.63976945 129.36023055],0
a8,1,0.142704,2.148553,[ 9 84] ; [ 37 195],[13.16307692 79.83692308] ; [ 32.83692308 199.16307692],0
p7,1,0.145765,2.116023,[38 59] ; [114 124],[44.0119403 52.9880597] ; [107.9880597 130.0119403],0
p12,1,0.183609,1.768168,[ 2 96] ; [ 13 233],[ 4.27325581 93.72674419] ; [ 10.72674419 235.27325581],0
u1,1,0.204012,1.613421,[ 8 91] ; [ 32 216],[11.41210375 87.58789625] ; [ 28.58789625 219.41210375],0
a3,1,0.29423,1.100164,[61 37] ; [167  78],[65.14285714 32.85714286] ; [162.85714286  82.14285714],0
u2,1,0.319222,0.992131,[21 16] ; [37 42],[18.5 18.5] ; [39.5 39.5],0
p3,1,0.367645,0.811607,[19 79] ; [ 59 188],[22.15652174 75.84347826] ; [ 55.84347826 191.15652174],0
a6,1,0.372962,0.793771,[61 38] ; [164  82],[64.56521739 34.43478261] ; [160.43478261  85.56521739],0
n4,1,0.392463,0.731296,[64 34] ; [173  74],[67.32173913 30.67826087] ; [169.67826087  77.32173913],0
p1,1,0.393759,0.727302,[ 5 93] ; [ 19 228],[ 6.8173913 91.1826087] ; [ 17.1826087 229.8173913],0
d2,1,0.42599,0.63373,[44 53] ; [100 146],[40.72303207 56.27696793] ; [103.27696793 142.72303207],0
b2,1,0.4295,0.624176,[19 37] ; [56 84],[21.42857143 34.57142857] ; [53.57142857 86.42857143],0
b3,1,0.4295,0.624176,[19 37] ; [56 84],[21.42857143 34.57142857] ; [53.57142857 86.42857143],0
p6,1,0.437639,0.602465,[14 82] ; [ 44 199],[16.42477876 79.57522124] ; [ 41.57522124 201.42477876],0
d4,1,0.437763,0.602138,[72 25] ; [193  54],[74.72383721 22.27616279] ; [190.27616279  56.72383721],0
a1,1,0.50922,0.43567,[ 7 92] ; [ 13 235],[ 5.70605187 93.29394813] ; [ 14.29394813 233.70605187],0
