Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.002122,9.441216,[10 44] ; [16 16],[16.3255814 37.6744186] ; [ 9.6744186 22.3255814],0
d5,1,0.003335,8.614629,[47  7] ; [19 13],[41.44186047 12.55813953] ; [24.55813953  7.44186047],0
p6,1,0.003473,8.540875,[ 8 45] ; [14 18],[13.71764706 39.28235294] ; [ 8.28235294 23.71764706],0
p4,1,0.013188,6.143757,[14 39] ; [17 15],[19.32941176 33.67058824] ; [11.67058824 20.32941176],0
p7,1,0.019803,5.429195,[17 34] ; [19 13],[22.12048193 28.87951807] ; [13.87951807 18.12048193],0
d3,1,0.023823,5.107449,[37 17] ; [14 18],[32.02325581 21.97674419] ; [18.97674419 13.02325581],0
n3,1,0.037002,4.350327,[8 9] ; [8 1],[10.46153846  6.53846154] ; [5.53846154 3.46153846],0
d4,1,0.044454,4.039241,[48  6] ; [23  9],[44.58139535  9.41860465] ; [26.41860465  5.58139535],0
a5,1,0.074285,3.185696,[34 20] ; [26  6],[37.6744186 16.3255814] ; [22.3255814  9.6744186],0
p5,1,0.109301,2.564293,[ 1 53] ; [ 3 29],[ 2.51162791 51.48837209] ; [ 1.48837209 30.51162791],0
p1,1,0.109301,2.564293,[ 1 53] ; [ 3 29],[ 2.51162791 51.48837209] ; [ 1.48837209 30.51162791],0
a3,1,0.129916,2.293507,[39 15] ; [18 14],[35.79069767 18.20930233] ; [21.20930233 10.79069767],0
n5,1,0.132507,2.262888,[30 24] ; [23  9],[33.27906977 20.72093023] ; [19.72093023 12.27906977],0
r4,1,0.139043,2.188514,[40 14] ; [28  4],[42.69767442 11.30232558] ; [25.30232558  6.69767442],0
n6,1,0.143945,2.13527,[38 16] ; [27  5],[40.81395349 13.18604651] ; [24.18604651  7.81395349],0
p9,1,0.149811,2.074174,[31 21] ; [24  8],[34.04761905 17.95238095] ; [20.95238095 11.04761905],0
r2,1,0.17546,1.835664,[46  6] ; [31  1],[47.66666667  4.33333333] ; [29.33333333  2.66666667],0
d1,1,0.198795,1.651202,[33 21] ; [15 17],[30.13953488 23.86046512] ; [17.86046512 14.13953488],0
n4,1,0.249544,1.325853,[34 20] ; [24  8],[36.41860465 17.58139535] ; [21.58139535 10.41860465],0
s5,1,0.262749,1.254215,[14 38] ; [12 19],[16.28915663 35.71084337] ; [ 9.71084337 21.28915663],0
n1,1,0.271644,1.208424,[ 4 13] ; [4 5],[ 5.23076923 11.76923077] ; [2.76923077 6.23076923],0
a6,1,0.27872,1.17332,[29 25] ; [21 11],[31.39534884 22.60465116] ; [18.60465116 13.39534884],0
p10,1,0.297911,1.08352,[34 19] ; [24  8],[36.16470588 16.83529412] ; [21.83529412 10.16470588],0
a1,1,0.431926,0.61764,[ 4 50] ; [ 4 28],[ 5.02325581 48.97674419] ; [ 2.97674419 29.02325581],0
v1,1,0.445575,0.581884,[22 31] ; [16 16],[23.69411765 29.30588235] ; [14.30588235 17.69411765],0
p12,1,0.448643,0.574078,[ 4 49] ; [ 4 28],[ 4.98823529 48.01176471] ; [ 3.01176471 28.98823529],0
u2,1,0.449692,0.571429,[8 6] ; [6 8],[7. 7.] ; [7. 7.],0
p11,1,0.451211,0.567609,[31 23] ; [21 11],[32.65116279 21.34883721] ; [19.34883721 12.65116279],0
v4,1,0.465333,0.533036,[46  8] ; [29  3],[47.09302326  6.90697674] ; [27.90697674  4.09302326],0
b5,1,0.468061,0.526551,[33 21] ; [17 15],[31.39534884 22.60465116] ; [18.60465116 13.39534884],0
a7,1,0.499438,0.45613,[35 19] ; [23  9],[36.41860465 17.58139535] ; [21.58139535 10.41860465],0
b1,1,0.504791,0.444849,[23 31] ; [16 16],[24.48837209 29.51162791] ; [14.51162791 17.48837209],0
s7,1,0.507991,0.438203,[24 28] ; [12 19],[22.55421687 29.44578313] ; [13.44578313 17.55421687],0
b2,1,0.552522,0.352818,[ 9 24] ; [ 7 13],[ 9.96226415 23.03773585] ; [ 6.03773585 13.96226415],0
b3,1,0.552522,0.352818,[ 9 24] ; [ 7 13],[ 9.96226415 23.03773585] ; [ 6.03773585 13.96226415],0
u1,1,0.602083,0.271865,[ 9 45] ; [ 4 28],[ 8.1627907 45.8372093] ; [ 4.8372093 27.1627907],0
s3,1,0.655469,0.199074,[26 28] ; [17 15],[27. 27.] ; [16. 16.],0
s6,1,0.66479,0.187757,[34 19] ; [22 10],[34.91764706 18.08235294] ; [21.08235294 10.91764706],0
s4,1,0.73069,0.118479,[14 40] ; [ 7 24],[13.34117647 40.65882353] ; [ 7.65882353 23.34117647],0
v3,1,0.765537,0.088934,[24 29] ; [13 18],[23.3452381 29.6547619] ; [13.6547619 17.3452381],0
s2,1,0.779298,0.078531,[27 27] ; [15 17],[26.37209302 27.62790698] ; [15.62790698 16.37209302],0
a4,1,0.784524,0.074763,[22 32] ; [14 18],[22.60465116 31.39534884] ; [13.39534884 18.60465116],0
d2,1,0.868106,0.027577,[26 28] ; [16 16],[26.37209302 27.62790698] ; [15.62790698 16.37209302],0
s8,1,0.873536,0.025335,[21 33] ; [13 19],[21.34883721 32.65116279] ; [12.65116279 19.34883721],0
s1,1,0.875239,0.024651,[ 2 51] ; [ 1 31],[ 1.87058824 51.12941176] ; [ 1.12941176 30.87058824],0
u3,1,0.875948,0.02437,[9 6] ; [8 6],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
u4,1,0.887572,0.019987,[ 2 52] ; [ 1 31],[ 1.88372093 52.11627907] ; [ 1.11627907 30.88372093],0
a8,1,0.888215,0.019758,[ 6 45] ; [ 3 25],[ 5.81012658 45.18987342] ; [ 3.18987342 24.81012658],0
a2,1,0.899353,0.015997,[ 9 45] ; [ 5 27],[ 8.79069767 45.20930233] ; [ 5.20930233 26.79069767],0
r1,1,0.923035,0.009334,[41 13] ; [24  8],[40.81395349 13.18604651] ; [24.18604651  7.81395349],0
b4,1,0.991574,0.000112,[32 22] ; [19 13],[32.02325581 21.97674419] ; [18.97674419 13.02325581],0
