Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.048031,3.908891,[ 6 28] ; [2 1],[ 7.35135135 26.64864865] ; [0.64864865 2.35135135],0
p6,1,0.101764,2.677686,[ 2 31] ; [1 2],[ 2.75 30.25] ; [0.25 2.75],0
a7,1,0.282802,1.153574,[12 22] ; [2 1],[12.86486486 21.13513514] ; [1.13513514 1.86486486],0
d3,1,0.336309,0.92445,[13 21] ; [2 1],[13.78378378 20.21621622] ; [1.21621622 1.78378378],0
b5,1,0.392945,0.729809,[14 20] ; [2 1],[14.7027027 19.2972973] ; [1.2972973 1.7027027],0
v1,1,0.40143,0.704038,[ 5 29] ; [1 2],[ 5.51351351 28.48648649] ; [0.48648649 2.51351351],0
s2,1,0.40143,0.704038,[ 5 29] ; [1 2],[ 5.51351351 28.48648649] ; [0.48648649 2.51351351],0
p3,1,0.40143,0.704038,[ 5 29] ; [1 2],[ 5.51351351 28.48648649] ; [0.48648649 2.51351351],0
p8,1,0.418492,0.654545,[ 5 28] ; [1 2],[ 5.5 27.5] ; [0.5 2.5],0
s7,1,0.436471,0.605544,[ 5 27] ; [1 2],[ 5.48571429 26.51428571] ; [0.51428571 2.48571429],0
v2,1,0.506061,0.442204,[ 6 28] ; [1 2],[ 6.43243243 27.56756757] ; [0.56756757 2.43243243],0
s6,1,0.506061,0.442204,[ 6 28] ; [1 2],[ 6.43243243 27.56756757] ; [0.56756757 2.43243243],0
p11,1,0.506061,0.442204,[ 6 28] ; [1 2],[ 6.43243243 27.56756757] ; [0.56756757 2.43243243],0
d5,1,0.514817,0.424263,[18 16] ; [1 2],[17.45945946 16.54054054] ; [1.54054054 1.45945946],0
d4,1,0.514817,0.424263,[18 16] ; [1 2],[17.45945946 16.54054054] ; [1.54054054 1.45945946],0
a5,1,0.514817,0.424263,[16 18] ; [2 1],[16.54054054 17.45945946] ; [1.45945946 1.54054054],0
p4,1,0.525521,0.403045,[ 6 27] ; [1 2],[ 6.41666667 26.58333333] ; [0.58333333 2.41666667],0
a6,1,0.647464,0.209112,[16 18] ; [1 2],[15.62162162 18.37837838] ; [1.37837838 1.62162162],0
s4,1,0.704389,0.143946,[ 8 26] ; [1 2],[ 8.27027027 25.72972973] ; [0.72972973 2.27027027],0
p2,1,0.704389,0.143946,[ 8 26] ; [1 2],[ 8.27027027 25.72972973] ; [0.72972973 2.27027027],0
s3,1,0.727724,0.121212,[ 8 25] ; [1 2],[ 8.25 24.75] ; [0.75 2.25],0
a3,1,0.759766,0.093506,[19 14] ; [2 1],[19.25 13.75] ; [1.75 1.25],0
b2,1,0.781814,0.076705,[10 15] ; [1 1],[10.18518519 14.81481481] ; [0.81481481 1.18518519],0
b3,1,0.781814,0.076705,[10 15] ; [1 1],[10.18518519 14.81481481] ; [0.81481481 1.18518519],0
p7,1,0.822456,0.05035,[ 9 24] ; [1 2],[ 9.16666667 23.83333333] ; [0.83333333 2.16666667],0
n5,1,0.886721,0.020293,[24 10] ; [2 1],[23.89189189 10.10810811] ; [2.10810811 0.89189189],0
n4,1,0.94563,0.004651,[22 12] ; [2 1],[22.05405405 11.94594595] ; [1.94594595 1.05405405],0
d1,1,0.972261,0.001209,[11 23] ; [1 2],[11.02702703 22.97297297] ; [0.97297297 2.02702703],0
