Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8.9e-05,15.355115,[30  9] ; [ 6 17],[22.64516129 16.35483871] ; [13.35483871  9.64516129],1
p8,1,0.011023,6.461538,[ 3 36] ; [ 7 14],[ 6.5 32.5] ; [ 3.5 17.5],0
s7,1,0.07332,3.207077,[ 5 32] ; [ 7 14],[ 7.65517241 29.34482759] ; [ 4.34482759 16.65517241],0
s4,1,0.101601,2.680233,[ 4 35] ; [ 6 17],[ 6.29032258 32.70967742] ; [ 3.70967742 19.29032258],0
p7,1,0.112423,2.519827,[ 8 31] ; [ 9 14],[10.69354839 28.30645161] ; [ 6.30645161 16.69354839],0
a6,1,0.20728,1.590324,[20 19] ; [ 8 15],[17.61290323 21.38709677] ; [10.38709677 12.61290323],0
d5,1,0.209614,1.574088,[25 14] ; [11 12],[22.64516129 16.35483871] ; [13.35483871  9.64516129],0
p11,1,0.257745,1.280829,[13 26] ; [11 12],[15.09677419 23.90322581] ; [ 8.90322581 14.09677419],0
n3,1,0.26501,1.242394,[ 7 11] ; [5 3],[8.30769231 9.69230769] ; [3.69230769 4.30769231],0
n6,1,0.291965,1.110538,[18 19] ; [ 8 15],[16.03333333 20.96666667] ; [ 9.96666667 13.03333333],0
r3,1,0.30615,1.047212,[18 20] ; [14  9],[19.93442623 18.06557377] ; [12.06557377 10.93442623],0
s6,1,0.318249,0.996131,[ 9 30] ; [ 8 15],[10.69354839 28.30645161] ; [ 6.30645161 16.69354839],0
v3,1,0.378569,0.775344,[ 4 35] ; [ 4 18],[ 5.1147541 33.8852459] ; [ 2.8852459 19.1147541],0
s5,1,0.380283,0.769787,[ 5 33] ; [ 5 18],[ 6.2295082 31.7704918] ; [ 3.7704918 19.2295082],0
b1,1,0.394169,0.726043,[23 16] ; [11 12],[21.38709677 17.61290323] ; [12.61290323 10.38709677],0
b4,1,0.404323,0.695431,[23 16] ; [16  7],[24.53225806 14.46774194] ; [14.46774194  8.53225806],0
n2,1,0.411314,0.675,[9 9] ; [3 6],[ 8. 10.] ; [4. 5.],0
n1,1,0.411314,0.675,[9 9] ; [3 6],[ 8. 10.] ; [4. 5.],0
d4,1,0.424721,0.637214,[25 14] ; [17  6],[26.41935484 12.58064516] ; [15.58064516  7.41935484],0
b3,1,0.443002,0.588495,[11 16] ; [ 4 10],[ 9.87804878 17.12195122] ; [5.12195122 8.87804878],0
b2,1,0.443002,0.588495,[11 16] ; [ 4 10],[ 9.87804878 17.12195122] ; [5.12195122 8.87804878],0
d1,1,0.494671,0.46635,[17 22] ; [ 8 15],[15.72580645 23.27419355] ; [ 9.27419355 13.72580645],0
a7,1,0.512863,0.428222,[17 22] ; [12 11],[18.24193548 20.75806452] ; [10.75806452 12.24193548],0
p4,1,0.587353,0.294497,[11 28] ; [ 8 15],[11.9516129 27.0483871] ; [ 7.0483871 15.9516129],0
a5,1,0.601885,0.272162,[23 16] ; [12 11],[22.01612903 16.98387097] ; [12.98387097 10.01612903],0
p9,1,0.604472,0.268303,[17 20] ; [ 9 14],[16.03333333 20.96666667] ; [ 9.96666667 13.03333333],0
d2,1,0.621079,0.244354,[19 19] ; [10 13],[18.06557377 19.93442623] ; [10.93442623 12.06557377],0
