Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,43.674937,[ 9 62] ; [47 23],[28.19858156 42.80141844] ; [27.80141844 42.19858156],1
s2,1,0.0,35.964414,[20 51] ; [55 15],[37.76595745 33.23404255] ; [37.23404255 32.76595745],1
s6,1,4.2e-05,16.767711,[36 35] ; [56 11],[47.33333333 23.66666667] ; [44.66666667 22.33333333],1
p6,1,0.00056,11.903943,[13 56] ; [32 37],[22.5 46.5] ; [22.5 46.5],1
s5,1,0.000959,10.905556,[14 54] ; [31 34],[23.0075188 44.9924812] ; [21.9924812 43.0075188],1
p9,1,0.001088,10.672197,[42 27] ; [59 10],[50.5 18.5] ; [50.5 18.5],0
p4,1,0.001248,10.41847,[29 41] ; [48 22],[38.5 31.5] ; [38.5 31.5],0
s3,1,0.001248,10.41847,[29 41] ; [48 22],[38.5 31.5] ; [38.5 31.5],0
r1,1,0.003951,8.306422,[45 25] ; [59 10],[52.37410072 17.62589928] ; [51.62589928 17.37410072],0
p1,1,0.00402,8.274738,[ 1 70] ; [10 59],[ 5.57857143 65.42142857] ; [ 5.42142857 63.57857143],0
u1,1,0.006387,7.437726,[ 6 65] ; [18 52],[12.08510638 58.91489362] ; [11.91489362 58.08510638],0
n5,1,0.014418,5.986169,[38 33] ; [50 18],[44.94964029 26.05035971] ; [43.05035971 24.94964029],0
a3,1,0.016918,5.704861,[37 33] ; [50 19],[43.81294964 26.18705036] ; [43.18705036 25.81294964],0
n6,1,0.021846,5.258023,[46 25] ; [55 12],[51.96376812 19.03623188] ; [49.03623188 17.96376812],0
p10,1,0.032268,4.584186,[37 33] ; [48 20],[43.11594203 26.88405797] ; [41.88405797 26.11594203],0
r4,1,0.043983,4.057224,[55 16] ; [63  7],[59.41843972 11.58156028] ; [58.58156028 11.41843972],0
n3,1,0.045809,3.988606,[19  5] ; [13 12],[15.67346939  8.32653061] ; [16.32653061  8.67346939],0
n4,1,0.050429,3.827144,[41 30] ; [50 18],[46.48201439 24.51798561] ; [44.51798561 23.48201439],0
v1,1,0.062952,3.457849,[29 41] ; [40 30],[34.5 35.5] ; [34.5 35.5],0
b3,1,0.065621,3.3893,[ 5 25] ; [14 24],[ 8.38235294 21.61764706] ; [10.61764706 27.38235294],0
b2,1,0.065621,3.3893,[ 5 25] ; [14 24],[ 8.38235294 21.61764706] ; [10.61764706 27.38235294],0
n1,1,0.066655,3.363522,[ 6 17] ; [13 12],[ 9.10416667 13.89583333] ; [ 9.89583333 15.10416667],0
a4,1,0.074772,3.175037,[24 47] ; [34 36],[29.20567376 41.79432624] ; [28.79432624 41.20567376],0
a5,1,0.095691,2.775934,[39 32] ; [48 22],[43.80851064 27.19148936] ; [43.19148936 26.80851064],0
u2,1,0.101072,2.688549,[11 21] ; [11  8],[13.80392157 18.19607843] ; [ 8.19607843 10.80392157],0
p5,1,0.145393,2.119927,[ 4 66] ; [ 9 61],[ 6.5 63.5] ; [ 6.5 63.5],0
v4,1,0.197375,1.661694,[64  7] ; [67  3],[65.96453901  5.03546099] ; [65.03546099  4.96453901],0
b1,1,0.20627,1.597415,[32 39] ; [39 31],[35.75177305 35.24822695] ; [35.24822695 34.75177305],0
v2,1,0.218946,1.511266,[26 41] ; [34 35],[29.55882353 37.44117647] ; [30.44117647 38.55882353],0
d5,1,0.236984,1.398446,[50 20] ; [56 14],[53. 17.] ; [53. 17.],0
u3,1,0.254213,1.3,[14 18] ; [12  8],[16. 16.] ; [10. 10.],0
a8,1,0.261604,1.260248,[ 5 62] ; [ 8 51],[ 6.91269841 60.08730159] ; [ 6.08730159 52.91269841],0
p3,1,0.273741,1.197906,[27 44] ; [33 37],[30.21276596 40.78723404] ; [29.78723404 40.21276596],0
d1,1,0.273843,1.197395,[32 39] ; [38 32],[35.24822695 35.75177305] ; [34.75177305 35.24822695],0
a2,1,0.288483,1.126689,[13 58] ; [18 52],[15.60992908 55.39007092] ; [15.39007092 54.60992908],0
p8,1,0.381515,0.765816,[24 45] ; [29 40],[26.5 42.5] ; [26.5 42.5],0
p7,1,0.402997,0.699367,[42 28] ; [36 32],[39.56521739 30.43478261] ; [38.43478261 29.56521739],0
b4,1,0.437522,0.602774,[38 33] ; [42 28],[40.28368794 30.71631206] ; [39.71631206 30.28368794],0
d2,1,0.449982,0.570696,[32 39] ; [36 34],[34.24113475 36.75886525] ; [33.75886525 36.24113475],0
v3,1,0.457842,0.551165,[19 49] ; [23 45],[21. 47.] ; [21. 47.],0
r2,1,0.542185,0.371504,[65  6] ; [65  4],[65.92857143  5.07142857] ; [64.07142857  4.92857143],0
d3,1,0.546824,0.363037,[45 24] ; [49 21],[46.6618705 22.3381295] ; [47.3381295 22.6618705],0
n2,1,0.587669,0.294,[18  6] ; [17  8],[17.14285714  6.85714286] ; [17.85714286  7.14285714],0
b5,1,0.677438,0.173024,[48 23] ; [45 25],[46.82978723 24.17021277] ; [46.17021277 23.82978723],0
a6,1,0.67991,0.170227,[44 27] ; [41 29],[42.80141844 28.19858156] ; [42.19858156 27.80141844],0
s4,1,0.80409,0.061533,[15 56] ; [16 54],[15.60992908 55.39007092] ; [15.39007092 54.60992908],0
r3,1,0.812545,0.056237,[64  7] ; [63  6],[64.40714286  6.59285714] ; [62.59285714  6.40714286],0
a7,1,0.850464,0.035542,[50 20] ; [51 19],[50.5 19.5] ; [50.5 19.5],0
d4,1,0.878907,0.023212,[54 17] ; [54 16],[54.38297872 16.61702128] ; [53.61702128 16.38297872],0
