Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,2e-06,22.224738,[ 28 248] ; [8 8],[ 34.02739726 241.97260274] ; [ 1.97260274 14.02739726],1
p12,1,2.2e-05,17.977699,[  5 276] ; [ 3 12],[  7.59459459 273.40540541] ; [ 0.40540541 14.59459459],1
v1,1,0.000485,12.172391,[114 165] ; [13  2],[120.52040816 158.47959184] ; [6.47959184 8.52040816],1
p1,1,0.007752,7.089916,[ 19 263] ; [ 4 12],[ 21.76510067 260.23489933] ; [ 1.23489933 14.76510067],0
v3,1,0.008741,6.874894,[ 91 181] ; [10  5],[ 95.72125436 176.27874564] ; [5.27874564 9.72125436],0
s8,1,0.013092,6.156609,[ 52 231] ; [7 9],[ 55.84280936 227.15719064] ; [ 3.15719064 12.84280936],0
p4,1,0.017103,5.685786,[124 155] ; [12  4],[128.62372881 150.37627119] ; [7.37627119 8.62372881],0
p3,1,0.019717,5.436735,[110 170] ; [11  5],[114.45945946 165.54054054] ; [6.54054054 9.45945946],0
b5,1,0.026715,4.909134,[168 115] ; [ 5 11],[163.74247492 119.25752508] ; [9.25752508 6.74247492],0
v2,1,0.030073,4.70512,[140 133] ; [12  3],[144.08333333 128.91666667] ; [7.91666667 7.08333333],0
s7,1,0.034265,4.481435,[ 56 210] ; [7 9],[ 59.42553191 206.57446809] ; [ 3.57446809 12.42553191],0
p11,1,0.082114,3.022547,[211  72] ; [15  1],[213.90635452  69.09364548] ; [12.09364548  3.90635452],0
b2,1,0.093586,2.81159,[ 61 100] ; [8 5],[63.84482759 97.15517241] ; [5.15517241 7.84482759],0
b3,1,0.093586,2.81159,[ 61 100] ; [8 5],[63.84482759 97.15517241] ; [5.15517241 7.84482759],0
r4,1,0.109466,2.561917,[238  45] ; [11  5],[235.67558528  47.32441472] ; [13.32441472  2.67558528],0
p2,1,0.127353,2.324473,[219  63] ; [15  1],[221.43624161  60.56375839] ; [12.56375839  3.43624161],0
r3,1,0.165128,1.926629,[258  24] ; [13  3],[256.44966443  25.55033557] ; [14.55033557  1.44966443],0
a5,1,0.182727,1.775305,[184  99] ; [13  3],[186.45819398  96.54180602] ; [10.54180602  5.45819398],0
u3,1,0.183299,1.770674,[46 47] ; [4 1],[47.44897959 45.55102041] ; [2.55102041 2.44897959],0
p8,1,0.18536,1.754117,[127 152] ; [10  6],[129.56949153 149.43050847] ; [7.43050847 8.56949153],0
p7,1,0.288273,1.127668,[154 125] ; [11  5],[156.05084746 122.94915254] ; [8.94915254 7.05084746],0
n6,1,0.315062,1.009337,[217  66] ; [14  2],[218.63879599  64.36120401] ; [12.36120401  3.63879599],0
n1,1,0.340157,0.909839,[20 52] ; [2 2],[20.84210526 51.15789474] ; [1.15789474 2.84210526],0
d1,1,0.380371,0.769504,[145 138] ; [10  6],[146.70568562 136.29431438] ; [8.29431438 7.70568562],0
n5,1,0.387847,0.745682,[181 100] ; [12  4],[182.6026936  98.3973064] ; [10.3973064  5.6026936],0
r2,1,0.467456,0.527982,[259  21] ; [14  2],[258.24324324  21.75675676] ; [14.75675676  1.24324324],0
s2,1,0.524027,0.405961,[ 53 228] ; [ 2 14],[ 52.03703704 228.96296296] ; [ 2.96296296 13.03703704],0
d5,1,0.524071,0.405875,[209  73] ; [13  3],[210.08053691  71.91946309] ; [11.91946309  4.08053691],0
s3,1,0.552768,0.352381,[ 71 209] ; [ 3 13],[ 70. 210.] ; [ 4. 12.],0
u1,1,0.55375,0.350641,[ 31 252] ; [ 1 15],[ 30.28762542 252.71237458] ; [ 1.71237458 14.28762542],0
a2,1,0.573692,0.316544,[ 51 232] ; [ 2 14],[ 50.1638796 232.8361204] ; [ 2.8361204 13.1638796],0
n4,1,0.591383,0.28819,[195  88] ; [10  6],[194.03010033  88.96989967] ; [10.96989967  5.03010033],0
d4,1,0.603214,0.270175,[213  69] ; [13  3],[213.86577181  68.13422819] ; [12.13422819  3.86577181],0
d2,1,0.605624,0.266596,[122 159] ; [8 8],[122.996633 158.003367] ; [7.003367 8.996633],0
a8,1,0.667065,0.185055,[ 26 232] ; [ 1 14],[ 25.51648352 232.48351648] ; [ 1.48351648 13.51648352],0
b1,1,0.697146,0.151458,[110 173] ; [7 9],[110.73913043 172.26086957] ; [6.26086957 9.73913043],0
u2,1,0.697735,0.150839,[47 45] ; [3 2],[47.42268041 44.57731959] ; [2.57731959 2.42268041],0
a6,1,0.701347,0.147075,[190  93] ; [10  6],[189.29765886  93.70234114] ; [10.70234114  5.29765886],0
b4,1,0.730109,0.119012,[154 129] ; [8 8],[153.33110368 129.66889632] ; [8.66889632 7.33110368],0
p6,1,0.740194,0.109956,[ 76 201] ; [ 5 11],[ 76.57679181 200.42320819] ; [ 4.42320819 11.57679181],0
a4,1,0.805243,0.060795,[115 168] ; [7 9],[115.47157191 167.52842809] ; [6.52842809 9.47157191],0
r1,1,0.816752,0.053696,[204  78] ; [12  4],[204.40268456  77.59731544] ; [11.59731544  4.40268456],0
n3,1,0.871,0.02637,[52 21] ; [3 1],[52.14285714 20.85714286] ; [2.85714286 1.14285714],0
d3,1,0.922612,0.009437,[179 102] ; [10  6],[178.81818182 102.18181818] ; [10.18181818  5.81818182],0
a3,1,0.924821,0.008904,[190  91] ; [11  5],[190.17171717  90.82828283] ; [10.82828283  5.17171717],0
a7,1,0.956586,0.002964,[195  86] ; [11  5],[194.9023569  86.0976431] ; [11.0976431  4.9023569],0
