Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,81.145982,[383  10] ; [45 22],[365.66086957  27.33913043] ; [62.33913043  4.66086957],1
r2,1,0.0,33.455665,[382   7] ; [54 11],[373.57709251  15.42290749] ; [62.42290749  2.57709251],1
u1,1,1.8e-05,18.436416,[115 278] ; [ 3 64],[100.81304348 292.18695652] ; [17.18695652 49.81304348],1
n4,1,0.00018,14.032503,[328  64] ; [43 24],[316.8453159  75.1546841] ; [54.1546841 12.8453159],1
r3,1,0.000774,11.30216,[383   9] ; [60  7],[378.33551198  13.66448802] ; [64.66448802  2.33551198],1
a2,1,0.001208,10.478477,[144 249] ; [11 56],[132.42391304 260.57608696] ; [22.57608696 44.42391304],0
v4,1,0.001597,9.963395,[381  10] ; [60  7],[376.48689956  14.51310044] ; [64.51310044  2.48689956],0
a7,1,0.00184,9.702603,[300  93] ; [39 28],[289.62391304 103.37608696] ; [49.37608696 17.62391304],0
a1,1,0.013185,6.144124,[ 21 372] ; [ 9 58],[ 25.63043478 367.36956522] ; [ 4.36956522 62.63043478],0
v2,1,0.016679,5.729874,[237 141] ; [30 34],[228.33936652 149.66063348] ; [38.66063348 25.33936652],0
a8,1,0.031606,4.619764,[ 58 294] ; [ 4 61],[ 52.33573141 299.66426859] ; [ 9.66426859 55.33573141],0
s7,1,0.047414,3.930654,[252 130] ; [34 30],[244.95964126 137.04035874] ; [41.04035874 22.95964126],0
d3,1,0.052612,3.7562,[295  96] ; [43 24],[288.55458515 102.44541485] ; [49.44541485 17.55458515],0
s8,1,0.06061,3.520616,[234 156] ; [32 35],[227.00218818 162.99781182] ; [38.99781182 28.00218818],0
d1,1,0.063907,3.432974,[279 114] ; [40 27],[272.53695652 120.46304348] ; [46.46304348 20.53695652],0
a3,1,0.065823,3.384226,[319  73] ; [48 19],[313.4291939  78.5708061] ; [53.5708061 13.4291939],0
d2,1,0.070002,3.282972,[238 152] ; [33 34],[231.26914661 158.73085339] ; [39.73085339 27.26914661],0
n5,1,0.084536,2.975471,[309  81] ; [46 20],[303.61842105  86.38157895] ; [51.38157895 14.61842105],0
u3,1,0.096036,2.770167,[48 25] ; [ 8 10],[44.92307692 28.07692308] ; [11.07692308  6.92307692],0
v1,1,0.111279,2.535968,[232 151] ; [32 32],[226.20134228 156.79865772] ; [37.79865772 26.20134228],0
v3,1,0.123405,2.373562,[166 214] ; [21 42],[160.40632054 219.59367946] ; [26.59367946 36.40632054],0
p10,1,0.154718,2.025109,[338  51] ; [53 13],[334.28351648  54.71648352] ; [56.71648352  9.28351648],0
