Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.00366,8.445078,[14  3] ; [18 26],[8.91803279 8.08196721] ; [23.08196721 20.91803279],0
v3,1,0.006294,7.464122,[8 9] ; [ 6 37],[ 3.96666667 13.03333333] ; [10.03333333 32.96666667],0
r4,1,0.022659,5.194478,[15  3] ; [23 21],[11.03225806  6.96774194] ; [26.96774194 17.03225806],0
s8,1,0.063496,3.443619,[ 5 13] ; [ 4 39],[ 2.6557377 15.3442623] ; [ 6.3442623 36.6557377],0
v2,1,0.068837,3.310534,[ 7 10] ; [ 8 35],[ 4.25 12.75] ; [10.75 32.25],0
n1,1,0.103332,2.653345,[4 2] ; [ 7 16],[2.27586207 3.72413793] ; [ 8.72413793 14.27586207],0
n4,1,0.11742,2.451397,[14  3] ; [27 17],[11.42622951  5.57377049] ; [29.57377049 14.42622951],0
a7,1,0.176624,1.825801,[9 8] ; [15 29],[ 6.68852459 10.31147541] ; [17.31147541 26.68852459],0
d5,1,0.189216,1.723713,[ 8 10] ; [12 32],[ 5.80645161 12.19354839] ; [14.19354839 29.80645161],0
s3,1,0.19622,1.670291,[8 8] ; [14 30],[ 5.86666667 10.13333333] ; [16.13333333 27.86666667],0
v4,1,0.196567,1.667702,[15  2] ; [32 12],[13.09836066  3.90163934] ; [33.90163934 10.09836066],0
s7,1,0.197808,1.658483,[ 4 14] ; [ 4 37],[ 2.44067797 15.55932203] ; [ 5.55932203 35.44067797],0
a3,1,0.198244,1.655267,[9 8] ; [15 28],[ 6.8 10.2] ; [17.2 25.8],0
a5,1,0.243063,1.362739,[9 9] ; [15 29],[ 6.96774194 11.03225806] ; [17.03225806 26.96774194],0
p4,1,0.260522,1.265982,[ 8 10] ; [13 31],[ 6.09677419 11.90322581] ; [14.90322581 29.09677419],0
r3,1,0.265535,1.239669,[13  4] ; [27 17],[11.14754098  5.85245902] ; [28.85245902 15.14754098],0
u2,1,0.341864,0.903429,[4 5] ; [ 8 21],[2.84210526 6.15789474] ; [ 9.15789474 19.84210526],0
s5,1,0.347195,0.883683,[ 3 14] ; [ 4 40],[ 1.95081967 15.04918033] ; [ 5.04918033 38.95081967],0
p5,1,0.352577,0.86416,[ 2 16] ; [ 2 41],[ 1.18032787 16.81967213] ; [ 2.81967213 40.18032787],0
p3,1,0.367825,0.810999,[ 7 11] ; [12 32],[ 5.51612903 12.48387097] ; [13.48387097 30.51612903],0
s6,1,0.398268,0.713549,[ 7 11] ; [12 31],[ 5.60655738 12.39344262] ; [13.39344262 29.60655738],0
p6,1,0.424916,0.63668,[ 5 13] ; [ 8 35],[ 3.83606557 14.16393443] ; [ 9.16393443 33.83606557],0
b4,1,0.426089,0.633461,[11  7] ; [22 22],[9.58064516 8.41935484] ; [23.41935484 20.58064516],0
a1,1,0.482594,0.492995,[ 1 17] ; [ 5 39],[ 1.74193548 16.25806452] ; [ 4.25806452 39.74193548],0
n5,1,0.50114,0.452521,[12  5] ; [27 17],[10.86885246  6.13114754] ; [28.13114754 15.86885246],0
d3,1,0.504359,0.445752,[ 6 12] ; [11 33],[ 4.93548387 13.06451613] ; [12.06451613 31.93548387],0
p11,1,0.512265,0.429437,[9 9] ; [18 26],[ 7.83870968 10.16129032] ; [19.16129032 24.83870968],0
p9,1,0.524511,0.405015,[ 4 14] ; [13 30],[ 5.01639344 12.98360656] ; [11.98360656 31.01639344],0
a6,1,0.525582,0.402926,[ 7 11] ; [21 23],[8.12903226 9.87096774] ; [19.87096774 24.12903226],0
a2,1,0.573098,0.317526,[ 2 16] ; [ 3 41],[ 1.4516129 16.5483871] ; [ 3.5483871 40.4516129],0
n6,1,0.574373,0.31542,[11  6] ; [25 19],[10.03278689  6.96721311] ; [25.96721311 18.03278689],0
b1,1,0.575765,0.313131,[ 8 10] ; [23 21],[9. 9.] ; [22. 22.],0
a8,1,0.602375,0.271429,[ 3 12] ; [ 6 36],[ 2.36842105 12.63157895] ; [ 6.63157895 35.36842105],0
s2,1,0.637591,0.221907,[ 4 13] ; [ 8 36],[ 3.3442623 13.6557377] ; [ 8.6557377 35.3442623],0
p8,1,0.744954,0.10582,[ 5 13] ; [10 32],[ 4.5 13.5] ; [10.5 31.5],0
b2,1,0.747972,0.103243,[4 9] ; [ 7 20],[3.575 9.425] ; [ 7.425 19.575],0
b3,1,0.747972,0.103243,[4 9] ; [ 7 20],[3.575 9.425] ; [ 7.425 19.575],0
s1,1,0.774499,0.082079,[ 2 15] ; [ 4 39],[ 1.7 15.3] ; [ 4.3 38.7],0
p1,1,0.807059,0.059644,[ 2 16] ; [ 4 40],[ 1.74193548 16.25806452] ; [ 4.25806452 39.74193548],0
d2,1,0.889302,0.019373,[ 5 13] ; [13 31],[ 5.22580645 12.77419355] ; [12.77419355 31.22580645],0
a4,1,0.904811,0.014301,[ 4 13] ; [11 33],[ 4.18032787 12.81967213] ; [10.81967213 33.18032787],0
p7,1,0.910241,0.012709,[8 9] ; [20 24],[7.80327869 9.19672131] ; [20.19672131 23.80327869],0
p2,1,0.92748,0.008284,[10  8] ; [25 19],[10.16129032  7.83870968] ; [24.83870968 19.16129032],0
s4,1,0.941315,0.00542,[ 3 15] ; [ 7 37],[ 2.90322581 15.09677419] ; [ 7.09677419 36.90322581],0
u3,1,0.949371,0.004032,[3 6] ; [10 19],[3.07894737 5.92105263] ; [ 9.92105263 19.07894737],0
b5,1,0.985216,0.000343,[11  7] ; [27 17],[11.03225806  6.96774194] ; [26.96774194 17.03225806],0
