Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.04854,3.891176,[8 9] ; [1 9],[ 5.66666667 11.33333333] ; [3.33333333 6.66666667],0
d5,1,0.061487,3.496816,[10  8] ; [9 1],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
d2,1,0.193868,1.687977,[ 8 10] ; [7 3],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
s6,1,0.195846,1.673086,[ 8 10] ; [2 8],[ 6.42857143 11.57142857] ; [3.57142857 6.42857143],0
b2,1,0.259942,1.269066,[4 7] ; [5 3],[5.21052632 5.78947368] ; [3.78947368 4.21052632],0
b3,1,0.259942,1.269066,[4 7] ; [5 3],[5.21052632 5.78947368] ; [3.78947368 4.21052632],0
a7,1,0.28315,1.151909,[11  7] ; [4 6],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
d1,1,0.28315,1.151909,[ 7 11] ; [6 4],[8.35714286 9.64285714] ; [4.64285714 5.35714286],0
p7,1,0.305141,1.051592,[ 7 11] ; [2 8],[ 5.78571429 12.21428571] ; [3.21428571 6.78571429],0
v3,1,0.382143,0.763797,[ 4 13] ; [1 9],[ 3.14814815 13.85185185] ; [1.85185185 8.14814815],0
n3,1,0.386916,0.748611,[3 2] ; [5 1],[3.63636364 1.36363636] ; [4.36363636 1.63636364],0
s7,1,0.431847,0.617851,[ 6 10] ; [2 7],[ 5.12 10.88] ; [2.88 6.12],0
p4,1,0.45426,0.56,[ 6 12] ; [2 8],[ 5.14285714 12.85714286] ; [2.85714286 7.14285714],0
a3,1,0.45426,0.56,[12  6] ; [8 2],[12.85714286  5.14285714] ; [7.14285714 2.85714286],0
p10,1,0.45426,0.56,[ 6 12] ; [2 8],[ 5.14285714 12.85714286] ; [2.85714286 7.14285714],0
s5,1,0.483522,0.490909,[ 4 14] ; [1 8],[ 3.33333333 14.66666667] ; [1.66666667 7.33333333],0
b4,1,0.506984,0.440286,[13  5] ; [6 4],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
n6,1,0.506984,0.440286,[ 5 13] ; [4 6],[ 5.78571429 12.21428571] ; [3.21428571 6.78571429],0
r3,1,0.506984,0.440286,[13  5] ; [6 4],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
v1,1,0.551149,0.355263,[ 6 12] ; [2 7],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
v2,1,0.56917,0.324074,[ 7 11] ; [5 5],[ 7.71428571 10.28571429] ; [4.28571429 5.71428571],0
p9,1,0.579639,0.306818,[ 8 10] ; [3 6],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
r2,1,0.596613,0.280135,[11  7] ; [4 4],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
b1,1,0.611179,0.258462,[9 9] ; [6 4],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
p6,1,0.629063,0.233333,[ 3 15] ; [1 9],[ 2.57142857 15.42857143] ; [1.42857143 8.57142857],0
d4,1,0.629063,0.233333,[15  3] ; [9 1],[15.42857143  2.57142857] ; [8.57142857 1.42857143],0
p3,1,0.648807,0.207407,[ 4 14] ; [3 7],[ 4.5 13.5] ; [2.5 7.5],0
s8,1,0.66171,0.191453,[ 1 17] ; [1 9],[ 1.28571429 16.71428571] ; [0.71428571 9.28571429],0
u2,1,0.67329,0.177778,[2 4] ; [1 1],[2.25 3.75] ; [0.75 1.25],0
r4,1,0.724263,0.124444,[ 6 12] ; [4 6],[ 6.42857143 11.57142857] ; [3.57142857 6.42857143],0
r1,1,0.777607,0.079772,[10  8] ; [5 5],[9.64285714 8.35714286] ; [5.35714286 4.64285714],0
a4,1,0.777607,0.079772,[ 8 10] ; [5 5],[8.35714286 9.64285714] ; [4.64285714 5.35714286],0
s3,1,0.778096,0.079412,[ 7 11] ; [3 6],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
d3,1,0.819872,0.051852,[10  8] ; [6 4],[10.28571429  7.71428571] ; [5.71428571 4.28571429],0
a5,1,0.819872,0.051852,[10  8] ; [6 4],[10.28571429  7.71428571] ; [5.71428571 4.28571429],0
p11,1,0.819872,0.051852,[ 8 10] ; [4 6],[ 7.71428571 10.28571429] ; [4.28571429 5.71428571],0
s4,1,0.825349,0.048696,[ 3 15] ; [2 8],[ 3.21428571 14.78571429] ; [1.78571429 8.21428571],0
a6,1,0.856395,0.032749,[ 6 12] ; [3 7],[ 5.78571429 12.21428571] ; [3.21428571 6.78571429],0
s2,1,0.890782,0.018855,[ 4 14] ; [2 8],[ 3.85714286 14.14285714] ; [2.14285714 7.85714286],0
s1,1,0.927426,0.008296,[ 2 16] ; [1 9],[ 1.92857143 16.07142857] ; [1.07142857 8.92857143],0
a2,1,0.927426,0.008296,[ 2 16] ; [1 9],[ 1.92857143 16.07142857] ; [1.07142857 8.92857143],0
p2,1,0.954001,0.003327,[ 7 11] ; [4 6],[ 7.07142857 10.92857143] ; [3.92857143 6.07142857],0
n2,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
b5,1,1.0,0.0,[9 9] ; [5 5],[9. 9.] ; [5. 5.],0
n1,1,1.0,0.0,[2 4] ; [2 4],[2. 4.] ; [2. 4.],0
