Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.993034,[113  32] ; [ 9 24],[99.38202247 45.61797753] ; [22.61797753 10.38202247],1
v4,1,0.000132,14.615482,[134  10] ; [23 10],[127.72881356  16.27118644] ; [29.27118644  3.72881356],1
d5,1,0.00567,7.652374,[109  35] ; [17 16],[102.50847458  41.49152542] ; [23.49152542  9.50847458],0
s7,1,0.008585,6.907197,[57 81] ; [ 5 26],[50.62721893 87.37278107] ; [11.37278107 19.62721893],0
v3,1,0.031953,4.600993,[48 92] ; [ 5 28],[42.89017341 97.10982659] ; [10.10982659 22.89017341],0
p6,1,0.047081,3.942503,[52 88] ; [ 6 26],[47.20930233 92.79069767] ; [10.79069767 21.20930233],0
n6,1,0.054021,3.712036,[122  23] ; [23 10],[118.11797753  26.88202247] ; [26.88202247  6.11797753],0
p10,1,0.057556,3.606451,[109  33] ; [20 13],[104.67428571  37.32571429] ; [24.32571429  8.67428571],0
u3,1,0.090045,2.873569,[27 31] ; [ 4 13],[23.97333333 34.02666667] ; [7.02666667 9.97333333],0
a2,1,0.115123,2.482447,[ 18 127] ; [ 1 32],[ 15.47752809 129.52247191] ; [ 3.52247191 29.47752809],0
a7,1,0.119049,2.429794,[91 53] ; [16 17],[87.05084746 56.94915254] ; [19.94915254 13.05084746],0
d1,1,0.127229,2.325997,[65 80] ; [10 23],[61.09550562 83.90449438] ; [13.90449438 19.09550562],0
b4,1,0.130696,2.284217,[91 54] ; [16 17],[87.16292135 57.83707865] ; [19.83707865 13.16292135],0
a4,1,0.140285,2.17483,[50 95] ; [ 7 26],[46.43258427 98.56741573] ; [10.56741573 22.43258427],0
s8,1,0.140285,2.17483,[50 95] ; [ 7 26],[46.43258427 98.56741573] ; [10.56741573 22.43258427],0
s5,1,0.144974,2.124355,[37 98] ; [ 5 28],[ 33.75 101.25] ; [ 8.25 24.75],0
b1,1,0.151276,2.059332,[55 90] ; [17 16],[58.65168539 86.34831461] ; [13.34831461 19.65168539],0
s3,1,0.157082,2.002095,[72 72] ; [12 21],[68.33898305 75.66101695] ; [15.66101695 17.33898305],0
a8,1,0.16092,1.965556,[ 11 127] ; [ 5 26],[ 13.06508876 124.93491124] ; [ 2.93491124 28.06508876],0
s2,1,0.178545,1.809693,[67 78] ; [11 22],[63.53932584 81.46067416] ; [14.46067416 18.53932584],0
p7,1,0.194999,1.679442,[78 64] ; [14 19],[74.65142857 67.34857143] ; [17.34857143 15.65142857],0
b5,1,0.20768,1.587529,[96 49] ; [18 15],[92.86516854 52.13483146] ; [21.13483146 11.86516854],0
a3,1,0.210052,1.571064,[87 57] ; [16 17],[83.79661017 60.20338983] ; [19.20338983 13.79661017],0
p3,1,0.21065,1.566952,[67 77] ; [11 21],[63.81818182 80.18181818] ; [14.18181818 17.81818182],0
s1,1,0.213562,1.547113,[  3 141] ; [ 2 31],[  4.06779661 139.93220339] ; [ 0.93220339 32.06779661],0
u2,1,0.224768,1.473666,[24 33] ; [10  7],[26.18918919 30.81081081] ; [7.81081081 9.18918919],0
p2,1,0.2286,1.449553,[109  33] ; [22 11],[106.29714286  35.70285714] ; [24.70285714  8.29714286],0
p12,1,0.249854,1.324121,[  6 137] ; [ 3 30],[  7.3125 135.6875] ; [ 1.6875 31.3125],0
p5,1,0.300344,1.072668,[ 13 130] ; [ 5 28],[ 14.625 128.375] ; [ 3.375 29.625],0
n4,1,0.342108,0.902518,[92 53] ; [18 15],[89.60674157 55.39325843] ; [20.39325843 12.60674157],0
a5,1,0.348415,0.879222,[79 66] ; [15 18],[76.57303371 68.42696629] ; [17.42696629 15.57303371],0
p9,1,0.369824,0.804256,[118  25] ; [25  8],[116.1875  26.8125] ; [26.8125  6.1875],0
