Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,42.17437,[88  3] ; [47 38],[69.80113636 21.19886364] ; [65.19886364 19.80113636],1
d3,1,0.0,41.63863,[87  4] ; [45 39],[68.64 22.36] ; [63.36 20.64],1
d2,1,0.0,34.239238,[50 41] ; [11 74],[31.53977273 59.46022727] ; [29.46022727 55.53977273],1
a2,1,4.7e-05,16.5522,[25 66] ; [ 4 81],[14.99431818 76.00568182] ; [14.00568182 70.99431818],1
a5,1,0.00101,10.809469,[63 28] ; [38 47],[52.22159091 38.77840909] ; [48.77840909 36.22159091],0
a6,1,0.003303,8.631789,[73 18] ; [51 34],[64.11363636 26.88636364] ; [59.88636364 25.11363636],0
u1,1,0.004262,8.168696,[17 74] ; [ 4 81],[10.85795455 80.14204545] ; [10.14204545 74.85795455],0
a4,1,0.007307,7.195877,[35 56] ; [17 68],[26.88636364 64.11363636] ; [25.11363636 59.88636364],0
a3,1,0.011564,6.37645,[63 28] ; [43 42],[54.80681818 36.19318182] ; [51.19318182 33.80681818],0
b5,1,0.017413,5.654278,[65 26] ; [46 39],[57.39204545 33.60795455] ; [53.60795455 31.39204545],0
n5,1,0.020918,5.333576,[22 69] ; [34 50],[29.12 61.88] ; [26.88 57.12],0
v2,1,0.02444,5.063113,[51 33] ; [35 46],[43.78181818 40.21818182] ; [42.21818182 38.78181818],0
u3,1,0.06024,3.530769,[21  7] ; [21 19],[17.29411765 10.70588235] ; [24.70588235 15.29411765],0
a8,1,0.078789,3.089708,[ 1 83] ; [ 5 73],[ 3.11111111 80.88888889] ; [ 2.88888889 75.11111111],0
n3,1,0.088716,2.897517,[20 15] ; [21  6],[23.14516129 11.85483871] ; [17.85483871  9.14516129],0
b3,1,0.100736,2.693856,[18 29] ; [ 8 29],[14.54761905 32.45238095] ; [11.45238095 25.54761905],0
b2,1,0.100736,2.693856,[18 29] ; [ 8 29],[14.54761905 32.45238095] ; [11.45238095 25.54761905],0
b1,1,0.109398,2.562898,[25 66] ; [33 52],[29.98863636 61.01136364] ; [28.01136364 56.98863636],0
r1,1,0.11218,2.523245,[70 20] ; [57 28],[65.31428571 24.68571429] ; [61.68571429 23.31428571],0
s2,1,0.11471,2.488101,[45 46] ; [32 53],[39.8125 51.1875] ; [37.1875 47.8125],0
p7,1,0.13285,2.258887,[41 46] ; [47 33],[45.84431138 41.15568862] ; [42.15568862 37.84431138],0
n2,1,0.166338,1.915641,[18 16] ; [19  8],[20.62295082 13.37704918] ; [16.37704918 10.62295082],0
s4,1,0.188509,1.729234,[18 73] ; [24 61],[21.71590909 69.28409091] ; [20.28409091 64.71590909],0
s5,1,0.200469,1.638954,[29 60] ; [20 64],[25.20809249 63.79190751] ; [23.79190751 60.20809249],0
s3,1,0.220777,1.499315,[48 42] ; [37 47],[43.96551724 46.03448276] ; [41.03448276 42.96551724],0
v3,1,0.241239,1.373338,[28 57] ; [20 61],[24.57831325 60.42168675] ; [23.42168675 57.57831325],0
p1,1,0.264169,1.246777,[ 3 86] ; [ 6 78],[ 4.6300578 84.3699422] ; [ 4.3699422 79.6300578],0
s7,1,0.277587,1.178865,[26 59] ; [32 51],[29.3452381 55.6547619] ; [28.6547619 54.3452381],0
v1,1,0.292186,1.10952,[39 48] ; [31 53],[35.61403509 51.38596491] ; [34.38596491 49.61403509],0
s6,1,0.293671,1.102717,[58 33] ; [47 37],[54.6 36.4] ; [50.4 33.6],0
v4,1,0.299073,1.078324,[86  5] ; [75  8],[84.20114943  6.79885057] ; [76.79885057  6.20114943],0
r3,1,0.309867,1.031242,[86  5] ; [76  8],[84.24  6.76] ; [77.76  6.24],0
p6,1,0.329865,0.949429,[18 71] ; [22 61],[20.69767442 68.30232558] ; [19.30232558 63.69767442],0
u2,1,0.333475,0.935354,[18 10] ; [21 19],[16.05882353 11.94117647] ; [22.94117647 17.05882353],0
s1,1,0.351692,0.867344,[ 2 89] ; [ 4 80],[ 3.12 87.88] ; [ 2.88 81.12],0
r2,1,0.36053,0.836048,[83  8] ; [73 11],[81.12  9.88] ; [74.88  9.12],0
b4,1,0.404655,0.694451,[57 34] ; [48 37],[54.28977273 36.71022727] ; [50.71022727 34.28977273],0
p9,1,0.517097,0.41968,[68 21] ; [66 16],[69.74269006 19.25730994] ; [64.25730994 17.74269006],0
p8,1,0.558722,0.341921,[40 49] ; [41 42],[41.9127907 47.0872093] ; [39.0872093 43.9127907],0
n6,1,0.645172,0.212041,[57 33] ; [56 28],[58.44827586 31.55172414] ; [54.55172414 29.44827586],0
r4,1,0.678567,0.171743,[74 17] ; [67 18],[72.90340909 18.09659091] ; [68.09659091 16.90340909],0
p10,1,0.71483,0.1335,[64 25] ; [61 21],[65.05847953 23.94152047] ; [59.94152047 22.05847953],0
p12,1,0.757525,0.095316,[ 4 86] ; [ 3 82],[ 3.6 86.4] ; [ 3.4 81.6],0
p11,1,0.775593,0.081263,[57 34] ; [55 30],[57.90909091 33.09090909] ; [54.09090909 30.90909091],0
n1,1,0.779663,0.078265,[ 8 27] ; [ 7 20],[ 8.46774194 26.53225806] ; [ 6.53225806 20.46774194],0
p4,1,0.787532,0.07264,[41 49] ; [37 48],[40.11428571 49.88571429] ; [37.88571429 47.11428571],0
