Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.704602,[17 20] ; [77 12],[27.6031746  9.3968254] ; [66.3968254 22.6031746],1
r2,1,3.5e-05,17.138381,[24 11] ; [85  4],[30.76612903  4.23387097] ; [78.23387097 10.76612903],1
r3,1,0.020534,5.36588,[30  7] ; [84  5],[33.47619048  3.52380952] ; [80.52380952  8.47619048],0
a5,1,0.021055,5.322219,[15 22] ; [56 33],[20.84920635 16.15079365] ; [50.15079365 38.84920635],0
n3,1,0.023573,5.125772,[4 8] ; [22  9],[7.25581395 4.74418605] ; [18.74418605 12.25581395],0
a6,1,0.031227,4.640462,[16 21] ; [57 32],[21.43650794 15.56349206] ; [51.56349206 37.43650794],0
n1,1,0.046558,3.961301,[ 1 11] ; [13 20],[3.73333333 8.26666667] ; [10.26666667 22.73333333],0
b1,1,0.050737,3.816945,[18 19] ; [27 62],[13.21428571 23.78571429] ; [31.78571429 57.21428571],0
s3,1,0.059551,3.549857,[10 26] ; [41 48],[14.688 21.312] ; [36.312 52.688],0
v4,1,0.065409,3.394619,[28  9] ; [78 10],[31.376  5.624] ; [74.624 13.376],0
v2,1,0.097438,2.74698,[14 23] ; [45 38],[18.19166667 18.80833333] ; [40.80833333 42.19166667],0
s6,1,0.099045,2.720857,[14 23] ; [47 40],[18.2016129 18.7983871] ; [42.7983871 44.2016129],0
p4,1,0.122001,2.391436,[ 7 30] ; [29 60],[10.57142857 26.42857143] ; [25.42857143 63.57142857],0
s8,1,0.158727,1.98631,[ 6 31] ; [25 64],[ 9.1031746 27.8968254] ; [21.8968254 67.1031746],0
u3,1,0.200546,1.63839,[8 8] ; [26 12],[10.07407407  5.92592593] ; [23.92592593 14.07407407],0
b3,1,0.223073,1.484491,[11 12] ; [14 29],[ 8.71212121 14.28787879] ; [16.28787879 26.71212121],0
b2,1,0.223073,1.484491,[11 12] ; [14 29],[ 8.71212121 14.28787879] ; [16.28787879 26.71212121],0
s1,1,0.255443,1.293289,[ 3 34] ; [ 3 86],[ 1.76190476 35.23809524] ; [ 4.23809524 84.76190476],0
a4,1,0.257136,1.284113,[11 26] ; [36 53],[13.8015873 23.1984127] ; [33.1984127 55.8015873],0
s5,1,0.262921,1.253311,[11 25] ; [17 64],[ 8.61538462 27.38461538] ; [19.38461538 61.61538462],0
d3,1,0.308227,1.038258,[26 11] ; [54 35],[23.49206349 13.50793651] ; [56.50793651 32.49206349],0
p1,1,0.311205,1.025553,[ 4 33] ; [ 5 83],[ 2.664 34.336] ; [ 6.336 81.664],0
n4,1,0.337788,0.918808,[12 25] ; [37 52],[14.38888889 22.61111111] ; [34.61111111 54.38888889],0
p5,1,0.363652,0.825241,[ 2 35] ; [ 2 86],[ 1.184 35.816] ; [ 2.816 85.184],0
a2,1,0.396156,0.719965,[ 3 34] ; [12 77],[ 4.4047619 32.5952381] ; [10.5952381 78.4047619],0
