Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000853,11.122222,[110  22] ; [30 20],[101.53846154  30.46153846] ; [38.46153846 11.53846154],1
d3,1,0.001293,10.352539,[96 35] ; [24 26],[86.85082873 44.14917127] ; [33.14917127 16.85082873],0
a6,1,0.005247,7.792296,[88 44] ; [22 28],[79.78021978 52.21978022] ; [30.21978022 19.78021978],0
d2,1,0.01798,5.598141,[ 31 101] ; [ 4 46],[ 25.38461538 106.61538462] ; [ 9.61538462 40.38461538],0
b4,1,0.027035,4.888561,[87 45] ; [24 26],[80.50549451 51.49450549] ; [30.49450549 19.50549451],0
p3,1,0.032365,4.579066,[60 72] ; [14 36],[53.67032967 78.32967033] ; [20.32967033 29.67032967],0
p2,1,0.048845,3.880657,[109  22] ; [35 15],[104.22099448  26.77900552] ; [39.77900552 10.22099448],0
r1,1,0.060053,3.535915,[95 36] ; [29 21],[89.74585635 41.25414365] ; [34.25414365 15.74585635],0
r4,1,0.067273,3.348345,[115  17] ; [38 12],[110.96703297  21.03296703] ; [42.03296703  7.96703297],0
p4,1,0.069223,3.301342,[63 69] ; [16 33],[57.61325967 74.38674033] ; [21.38674033 27.61325967],0
n2,1,0.098514,2.729443,[17 11] ; [12  2],[19.33333333  8.66666667] ; [9.66666667 4.33333333],0
u3,1,0.117063,2.456179,[41 25] ; [13 16],[37.51578947 28.48421053] ; [16.48421053 12.51578947],0
s5,1,0.166471,1.914442,[31 97] ; [ 7 41],[ 27.63636364 100.36363636] ; [10.36363636 37.63636364],0
a4,1,0.19356,1.69031,[ 24 108] ; [ 5 44],[ 21.14917127 110.85082873] ; [ 7.85082873 41.14917127],0
s7,1,0.219469,1.507838,[49 76] ; [14 34],[45.52023121 79.47976879] ; [17.47976879 30.52023121],0
s1,1,0.238582,1.388953,[  5 125] ; [ 4 45],[  6.53631285 123.46368715] ; [ 2.46368715 46.53631285],0
p7,1,0.245381,1.349412,[68 60] ; [29 17],[71.35632184 56.64367816] ; [25.64367816 20.35632184],0
n5,1,0.252767,1.307948,[85 47] ; [27 22],[81.67955801 50.32044199] ; [30.32044199 18.67955801],0
a3,1,0.252807,1.307722,[66 65] ; [20 29],[62.58888889 68.41111111] ; [23.41111111 25.58888889],0
r2,1,0.262999,1.2529,[122   9] ; [44  6],[120.14364641  10.85635359] ; [45.85635359  4.14364641],0
p11,1,0.265567,1.239502,[92 40] ; [39 11],[95.01098901 36.98901099] ; [35.98901099 14.01098901],0
v2,1,0.271661,1.208341,[60 65] ; [19 30],[56.75287356 68.24712644] ; [22.24712644 26.75287356],0
s8,1,0.29573,1.093353,[45 87] ; [13 37],[42.06593407 89.93406593] ; [15.93406593 34.06593407],0
v1,1,0.297556,1.085117,[55 72] ; [17 32],[51.95454545 75.04545455] ; [20.04545455 28.95454545],0
p10,1,0.319485,0.991055,[95 32] ; [33 16],[92.36363636 34.63636364] ; [35.63636364 13.36363636],0
p8,1,0.328272,0.955703,[61 69] ; [19 30],[58.10055866 71.89944134] ; [21.89944134 27.10055866],0
r3,1,0.374579,0.788416,[124   6] ; [46  4],[122.77777778   7.22222222] ; [47.22222222  2.77777778],0
u1,1,0.425401,0.635345,[  6 126] ; [ 1 49],[  5.07692308 126.92307692] ; [ 1.92307692 48.07692308],0
p9,1,0.427255,0.630274,[98 29] ; [35 14],[95.97159091 31.02840909] ; [37.02840909 11.97159091],0
v3,1,0.42954,0.624066,[45 79] ; [15 35],[42.75862069 81.24137931] ; [17.24137931 32.75862069],0
p12,1,0.437449,0.602964,[  6 126] ; [ 1 48],[  5.10497238 126.89502762] ; [ 1.89502762 47.10497238],0
n1,1,0.445921,0.580999,[ 9 20] ; [6 8],[10.11627907 18.88372093] ; [4.88372093 9.11627907],0
s2,1,0.482216,0.493848,[60 71] ; [20 30],[57.90055249 73.09944751] ; [22.09944751 27.90055249],0
b1,1,0.490661,0.475076,[44 88] ; [14 36],[42.06593407 89.93406593] ; [15.93406593 34.06593407],0
u2,1,0.5644,0.332143,[39 26] ; [15 13],[37.74193548 27.25806452] ; [16.25806452 11.74193548],0
n4,1,0.564627,0.331756,[79 53] ; [27 22],[77.3038674 54.6961326] ; [28.6961326 20.3038674],0
b5,1,0.583263,0.300989,[85 47] ; [30 20],[83.40659341 48.59340659] ; [31.59340659 18.40659341],0
a8,1,0.605577,0.266667,[ 16 104] ; [ 5 43],[ 15. 105.] ; [ 6. 42.],0
n3,1,0.61309,0.2557,[23  6] ; [12  2],[23.60465116  5.39534884] ; [11.39534884  2.60465116],0
p1,1,0.615847,0.251748,[ 10 120] ; [ 5 45],[ 10.83333333 119.16666667] ; [ 4.16666667 45.83333333],0
n6,1,0.619964,0.245918,[104  27] ; [38 12],[102.77348066  28.22651934] ; [39.22651934 10.77348066],0
p6,1,0.626279,0.23714,[37 91] ; [16 33],[38.32768362 89.67231638] ; [14.67231638 34.32768362],0
v4,1,0.647149,0.209514,[123   8] ; [46  4],[122.31491713   8.68508287] ; [46.68508287  3.31491713],0
s4,1,0.655033,0.199614,[ 25 105] ; [ 8 41],[ 23.96648045 106.03351955] ; [ 9.03351955 39.96648045],0
p5,1,0.79495,0.067542,[ 12 118] ; [ 4 46],[ 11.55555556 118.44444444] ; [ 4.44444444 45.55555556],0
b2,1,0.842491,0.039485,[20 49] ; [ 7 19],[19.61052632 49.38947368] ; [ 7.38947368 18.61052632],0
b3,1,0.842491,0.039485,[20 49] ; [ 7 19],[19.61052632 49.38947368] ; [ 7.38947368 18.61052632],0
s3,1,0.872454,0.025774,[70 61] ; [25 23],[69.52513966 61.47486034] ; [25.47486034 22.52513966],0
s6,1,0.891246,0.018695,[79 52] ; [29 20],[78.6 52.4] ; [29.4 19.6],0
a1,1,0.910807,0.012549,[  3 129] ; [ 1 49],[  2.9010989 129.0989011] ; [ 1.0989011 48.9010989],0
