Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,8.5e-05,15.449385,[31 19] ; [ 6 27],[22.28915663 27.71084337] ; [14.71084337 18.28915663],1
p3,1,0.002669,9.02071,[31 20] ; [ 9 24],[24.28571429 26.71428571] ; [15.71428571 17.28571429],0
p6,1,0.004272,8.164317,[27 21] ; [ 8 25],[20.74074074 27.25925926] ; [14.25925926 18.74074074],0
d2,1,0.009925,6.648245,[16 36] ; [20 14],[21.76744186 30.23255814] ; [14.23255814 19.76744186],0
p10,1,0.017643,5.631266,[40 10] ; [19 15],[35.11904762 14.88095238] ; [23.88095238 10.11904762],0
v4,1,0.019414,5.463853,[47  4] ; [25  9],[43.2  7.8] ; [28.8  5.2],0
r4,1,0.03306,4.542672,[35 17] ; [15 19],[30.23255814 21.76744186] ; [19.76744186 14.23255814],0
p4,1,0.039123,4.255518,[32 18] ; [14 20],[27.38095238 22.61904762] ; [18.61904762 15.38095238],0
p5,1,0.042148,4.129239,[ 9 43] ; [ 1 33],[ 6.04651163 45.95348837] ; [ 3.95348837 30.04651163],0
s8,1,0.050594,3.821677,[23 29] ; [ 8 26],[18.74418605 33.25581395] ; [12.25581395 21.74418605],0
p9,1,0.052896,3.747188,[44  8] ; [22 11],[40.37647059 11.62352941] ; [25.62352941  7.37647059],0
v1,1,0.059123,3.561816,[36 15] ; [16 16],[31.95180723 19.04819277] ; [20.04819277 11.95180723],0
r2,1,0.079333,3.078514,[42  7] ; [23 10],[38.84146341 10.15853659] ; [26.15853659  6.84146341],0
s7,1,0.096519,2.762148,[24 24] ; [10 22],[20.4 27.6] ; [13.6 18.4],0
n5,1,0.114016,2.497655,[39 13] ; [20 14],[35.6744186 16.3255814] ; [23.3255814 10.6744186],0
s6,1,0.116868,2.458801,[33 15] ; [17 16],[29.62962963 18.37037037] ; [20.37037037 12.62962963],0
b5,1,0.134768,2.236701,[30 22] ; [25  9],[33.25581395 18.74418605] ; [21.74418605 12.25581395],0
u1,1,0.158735,1.986237,[ 2 50] ; [ 4 30],[ 3.62790698 48.37209302] ; [ 2.37209302 31.62790698],0
u3,1,0.195646,1.674579,[ 7 11] ; [7 4],[8.68965517 9.31034483] ; [5.31034483 5.68965517],0
