Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,119.811417,[168  10] ; [25 57],[132.13076923  45.86923077] ; [60.86923077 21.13076923],1
p11,1,0.0,43.807669,[150  30] ; [36 47],[127.30038023  52.69961977] ; [58.69961977 24.30038023],1
n6,1,0.0,28.996875,[163  16] ; [53 30],[147.57251908  31.42748092] ; [68.42748092 14.57251908],1
r4,1,0.0,26.486631,[161  19] ; [52 31],[145.77946768  34.22053232] ; [67.22053232 15.77946768],1
p2,1,0.0,25.840616,[141  39] ; [39 44],[123.19391635  56.80608365] ; [56.80608365 26.19391635],1
v4,1,4e-06,21.35362,[168  11] ; [61 22],[156.45419847  22.54580153] ; [72.54580153 10.45419847],1
r3,1,2e-05,18.199138,[167  12] ; [61 21],[156.36781609  22.63218391] ; [71.63218391 10.36781609],1
n5,1,2.1e-05,18.056116,[158  21] ; [55 28],[145.52290076  33.47709924] ; [67.47709924 15.52290076],1
p4,1,0.000413,12.474199,[94 86] ; [24 59],[80.76045627 99.23954373] ; [37.23954373 45.76045627],1
s6,1,0.00138,10.232621,[115  62] ; [36 46],[103.19305019  73.80694981] ; [47.80694981 34.19305019],0
a1,1,0.002588,9.077406,[  5 175] ; [10 73],[ 10.2661597 169.7338403] ; [ 4.7338403 78.2661597],0
s2,1,0.002726,8.982077,[90 87] ; [25 56],[78.89534884 98.10465116] ; [36.10465116 44.89534884],0
b1,1,0.00433,8.139778,[ 62 118] ; [44 39],[ 72.54752852 107.45247148] ; [33.45247148 49.54752852],0
p8,1,0.006936,7.28956,[ 51 128] ; [11 72],[ 42.35877863 136.64122137] ; [19.64122137 63.35877863],0
s3,1,0.00799,7.035763,[98 79] ; [30 50],[88.15564202 88.84435798] ; [39.84435798 40.15564202],0
v2,1,0.011343,6.410831,[89 81] ; [29 53],[79.6031746 90.3968254] ; [38.3968254 43.6031746],0
p3,1,0.013805,6.062949,[ 71 108] ; [20 63],[ 62.17175573 116.82824427] ; [28.82824427 54.17175573],0
p12,1,0.013957,6.043626,[ 21 158] ; [ 2 80],[ 15.77394636 163.22605364] ; [ 7.22605364 74.77394636],0
a7,1,0.016864,5.710421,[130  50] ; [47 35],[121.60305344  58.39694656] ; [55.39694656 26.60305344],0
s8,1,0.017778,5.617845,[ 73 106] ; [21 61],[ 64.46743295 114.53256705] ; [29.53256705 52.46743295],0
r2,1,0.025215,5.009077,[170  10] ; [69 11],[165.46153846  14.53846154] ; [73.53846154  6.46153846],0
a5,1,0.028198,4.81591,[142  38] ; [55 28],[134.82889734  45.17110266] ; [62.17110266 20.82889734],0
n3,1,0.038021,4.304098,[30  7] ; [18 13],[26.11764706 10.88235294] ; [21.88235294  9.11764706],0
d3,1,0.041976,4.136178,[119  61] ; [44 39],[111.55893536  68.44106464] ; [51.44106464 31.55893536],0
s5,1,0.045012,4.018188,[ 43 124] ; [11 66],[ 36.95901639 130.04098361] ; [17.04098361 59.95901639],0
d4,1,0.060593,3.521067,[146  34] ; [58 24],[140.15267176  39.84732824] ; [63.84732824 18.15267176],0
r1,1,0.076082,3.146675,[138  42] ; [55 28],[132.09125475  47.90874525] ; [60.90874525 22.09125475],0
a6,1,0.096972,2.754654,[123  57] ; [48 35],[117.03422053  62.96577947] ; [53.96577947 29.03422053],0
d1,1,0.10253,2.665741,[104  76] ; [39 44],[97.87072243 82.12927757] ; [45.12927757 37.87072243],0
b5,1,0.115995,2.470586,[120  60] ; [47 36],[114.29657795  65.70342205] ; [52.70342205 30.29657795],0
u4,1,0.139882,2.17926,[  3 177] ; [ 4 79],[  4.79087452 175.20912548] ; [ 2.20912548 80.79087452],0
a4,1,0.183909,1.765751,[84 96] ; [45 36],[88.96551724 91.03448276] ; [40.03448276 40.96551724],0
u2,1,0.186548,1.744675,[34 25] ; [10 14],[31.27710843 27.72289157] ; [12.72289157 11.27710843],0
p5,1,0.194969,1.679666,[ 14 164] ; [ 3 80],[ 11.59386973 166.40613027] ; [ 5.40613027 77.59386973],0
n2,1,0.205426,1.603375,[28  9] ; [21 13],[25.53521127 11.46478873] ; [23.46478873 10.53521127],0
s1,1,0.249011,1.328843,[  7 170] ; [ 6 76],[  8.88416988 168.11583012] ; [ 4.11583012 77.88416988],0
a8,1,0.295102,1.096196,[ 17 150] ; [11 63],[ 19.40248963 147.59751037] ; [ 8.59751037 65.40248963],0
u3,1,0.299032,1.078504,[32 27] ; [10 14],[29.85542169 29.14457831] ; [12.14457831 11.85542169],0
v1,1,0.323539,0.974587,[81 90] ; [33 48],[77.35714286 93.64285714] ; [36.64285714 44.35714286],0
s7,1,0.332047,0.940899,[77 95] ; [29 47],[73.51612903 98.48387097] ; [32.48387097 43.51612903],0
b4,1,0.346963,0.884534,[115  65] ; [48 35],[111.55893536  68.44106464] ; [51.44106464 31.55893536],0
a3,1,0.364142,0.823556,[121  59] ; [59 22],[124.13793103  55.86206897] ; [55.86206897 25.13793103],0
d5,1,0.444345,0.585035,[138  42] ; [60 23],[135.51330798  44.48669202] ; [62.48669202 20.51330798],0
d2,1,0.445235,0.582755,[92 86] ; [46 35],[94.84169884 83.15830116] ; [43.15830116 37.84169884],0
n1,1,0.455127,0.557853,[18 19] ; [19 14],[19.55714286 17.44285714] ; [17.44285714 15.55714286],0
p1,1,0.525045,0.403971,[ 20 160] ; [ 7 75],[ 18.54961832 161.45038168] ; [ 8.45038168 73.54961832],0
s4,1,0.584262,0.299394,[ 24 154] ; [13 68],[ 25.42857143 152.57142857] ; [11.57142857 69.42857143],0
a2,1,0.667138,0.184968,[ 37 143] ; [19 64],[ 38.3269962 141.6730038] ; [17.6730038 65.3269962],0
v3,1,0.670033,0.181563,[ 61 110] ; [26 53],[ 59.508 111.492] ; [27.492 51.508],0
p6,1,0.72847,0.120522,[ 30 149] ; [15 66],[ 30.98076923 148.01923077] ; [14.01923077 66.98076923],0
b2,1,0.759605,0.093636,[39 63] ; [24 35],[39.91304348 62.08695652] ; [23.08695652 35.91304348],0
b3,1,0.759605,0.093636,[39 63] ; [24 35],[39.91304348 62.08695652] ; [23.08695652 35.91304348],0
u1,1,0.773053,0.083165,[ 33 147] ; [14 69],[ 32.16730038 147.83269962] ; [14.83269962 68.16730038],0
