Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.5e-05,15.229958,[37 78] ; [18  6],[45.50359712 69.49640288] ; [ 9.49640288 14.50359712],1
s2,1,0.000111,14.937405,[23 92] ; [14 10],[30.61151079 84.38848921] ; [ 6.38848921 17.61151079],1
s7,1,0.00072,11.436947,[20 87] ; [12 11],[26.33846154 80.66153846] ; [ 5.66153846 17.33846154],1
s3,1,0.002629,9.048468,[38 75] ; [16  8],[44.54014599 68.45985401] ; [ 9.45985401 14.54014599],0
s5,1,0.00486,7.930969,[ 15 100] ; [ 8 13],[19.44852941 95.55147059] ; [ 3.55147059 17.44852941],0
a6,1,0.075355,3.162344,[66 49] ; [ 9 15],[62.05035971 52.94964029] ; [12.94964029 11.05035971],0
r1,1,0.101033,2.689163,[74 42] ; [11 13],[70.42857143 45.57142857] ; [14.57142857  9.42857143],0
p3,1,0.118737,2.433908,[30 86] ; [10 14],[33.14285714 82.85714286] ; [ 6.85714286 17.14285714],0
n4,1,0.164007,1.936888,[71 45] ; [11 13],[67.94285714 48.05714286] ; [14.05714286  9.94285714],0
u3,1,0.184625,1.76,[23 32] ; [7 4],[25. 30.] ; [5. 6.],0
p8,1,0.201079,1.634518,[33 79] ; [ 4 20],[30.47058824 81.52941176] ; [ 6.52941176 17.47058824],0
r3,1,0.224668,1.4743,[90 25] ; [16  8],[87.69784173 27.30215827] ; [18.30215827  5.69784173],0
b2,1,0.242393,1.366622,[22 52] ; [6 7],[23.81609195 50.18390805] ; [4.18390805 8.81609195],0
b3,1,0.242393,1.366622,[22 52] ; [6 7],[23.81609195 50.18390805] ; [4.18390805 8.81609195],0
d1,1,0.300315,1.072797,[52 64] ; [ 8 16],[49.71428571 66.28571429] ; [10.28571429 13.71428571],0
p4,1,0.30692,1.043885,[40 75] ; [11 13],[42.1942446 72.8057554] ; [ 8.8057554 15.1942446],0
n2,1,0.322864,0.977308,[27 23] ; [9 4],[28.57142857 21.42857143] ; [7.42857143 5.57142857],0
s8,1,0.325281,0.967593,[19 96] ; [ 6 18],[20.68345324 94.31654676] ; [ 4.31654676 19.68345324],0
n3,1,0.329922,0.949204,[26 22] ; [9 4],[27.54098361 20.45901639] ; [7.45901639 5.54098361],0
a5,1,0.330067,0.948634,[61 55] ; [10 14],[58.82857143 57.17142857] ; [12.17142857 11.82857143],0
b5,1,0.336965,0.921945,[65 51] ; [16  8],[67.11428571 48.88571429] ; [13.88571429 10.11428571],0
p6,1,0.343071,0.898921,[23 90] ; [ 7 17],[24.74452555 88.25547445] ; [ 5.25547445 18.74452555],0
p1,1,0.367423,0.812361,[  8 106] ; [ 3 21],[  9.08695652 104.91304348] ; [ 1.91304348 22.08695652],0
d5,1,0.371241,0.799508,[78 37] ; [14 10],[76.11510791 38.88489209] ; [15.88489209  8.11510791],0
b4,1,0.376449,0.782267,[66 50] ; [16  8],[67.94285714 48.05714286] ; [14.05714286  9.94285714],0
p7,1,0.400725,0.70615,[49 66] ; [ 8 16],[47.15827338 67.84172662] ; [ 9.84172662 14.15827338],0
a2,1,0.41043,0.677556,[17 99] ; [ 2 22],[ 15.74285714 100.25714286] ; [ 3.25714286 20.74285714],0
a4,1,0.490165,0.476164,[44 71] ; [11 13],[45.50359712 69.49640288] ; [ 9.49640288 14.50359712],0
r4,1,0.537002,0.381125,[80 36] ; [15  9],[78.71428571 37.28571429] ; [16.28571429  7.71428571],0
n1,1,0.595245,0.282228,[19 30] ; [4 9],[18.17741935 30.82258065] ; [4.82258065 8.17741935],0
v2,1,0.618525,0.247946,[34 79] ; [ 6 18],[32.99270073 80.00729927] ; [ 7.00729927 16.99270073],0
b1,1,0.653795,0.201149,[57 59] ; [13 11],[58. 58.] ; [12. 12.],0
u1,1,0.678652,0.171648,[ 13 103] ; [ 2 22],[ 12.42857143 103.57142857] ; [ 2.57142857 21.42857143],0
u2,1,0.702378,0.14601,[23 31] ; [4 7],[22.43076923 31.56923077] ; [4.56923077 6.43076923],0
p2,1,0.718395,0.130036,[63 53] ; [14 10],[63.8 52.2] ; [13.2 10.8],0
d4,1,0.733242,0.116155,[76 37] ; [17  7],[76.7080292 36.2919708] ; [16.2919708  7.7080292],0
d3,1,0.739388,0.110666,[58 57] ; [13 11],[58.74100719 56.25899281] ; [12.25899281 11.74100719],0
d2,1,0.756338,0.096282,[51 62] ; [10 14],[50.31386861 62.68613139] ; [10.68613139 13.31386861],0
v3,1,0.80304,0.062208,[22 90] ; [ 4 19],[21.57037037 90.42962963] ; [ 4.42962963 18.57037037],0
