Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000155,14.305662,[ 4 33] ; [16 14],[11.04477612 25.95522388] ; [ 8.95522388 21.04477612],1
a3,1,0.00024,13.486136,[13 24] ; [24  6],[20.43283582 16.56716418] ; [16.56716418 13.43283582],1
d5,1,0.026134,4.947164,[20 17] ; [24  6],[24.29850746 12.70149254] ; [19.70149254 10.29850746],0
v1,1,0.02708,4.885713,[ 5 32] ; [11 19],[ 8.8358209 28.1641791] ; [ 7.1641791 22.8358209],0
a6,1,0.033259,4.532416,[15 22] ; [20 10],[19.32835821 17.67164179] ; [15.67164179 14.32835821],0
d3,1,0.037921,4.308557,[14 23] ; [19 11],[18.2238806 18.7761194] ; [14.7761194 15.2238806],0
d1,1,0.046498,3.963463,[12 25] ; [17 13],[16.01492537 20.98507463] ; [12.98507463 17.01492537],0
u2,1,0.067889,3.333333,[14 10] ; [1 5],[12. 12.] ; [3. 3.],0
d2,1,0.070929,3.2614,[14 23] ; [18 12],[17.67164179 19.32835821] ; [14.32835821 15.67164179],0
v2,1,0.076679,3.133929,[10 25] ; [15 15],[13.46153846 21.53846154] ; [11.53846154 18.46153846],0
d4,1,0.077374,3.119213,[23 13] ; [25  5],[26.18181818  9.81818182] ; [21.81818182  8.18181818],0
p4,1,0.084554,2.975125,[12 25] ; [16 14],[15.46268657 21.53731343] ; [12.53731343 17.46268657],0
u3,1,0.088212,2.906699,[17  7] ; [2 4],[15.2  8.8] ; [3.8 2.2],0
s8,1,0.097741,2.742018,[ 8 29] ; [ 2 27],[ 5.60606061 31.39393939] ; [ 4.39393939 24.60606061],0
p6,1,0.103496,2.65082,[10 27] ; [ 3 25],[ 7.4 29.6] ; [ 5.6 22.4],0
p11,1,0.12174,2.394797,[18 19] ; [ 9 21],[14.91044776 22.08955224] ; [12.08955224 17.91044776],0
s4,1,0.170395,1.879469,[10 27] ; [ 4 26],[ 7.73134328 29.26865672] ; [ 6.26865672 23.73134328],0
u1,1,0.209986,1.571525,[ 1 36] ; [ 3 27],[ 2.20895522 34.79104478] ; [ 1.79104478 28.20895522],0
p2,1,0.252115,1.311544,[20 17] ; [12 18],[17.67164179 19.32835821] ; [14.32835821 15.67164179],0
n6,1,0.274454,1.19435,[21 16] ; [13 17],[18.7761194 18.2238806] ; [15.2238806 14.7761194],0
s6,1,0.281191,1.161326,[13 24] ; [14 15],[15.13636364 21.86363636] ; [11.86363636 17.13636364],0
s5,1,0.289749,1.120788,[ 5 31] ; [ 7 22],[ 6.64615385 29.35384615] ; [ 5.35384615 23.64615385],0
s7,1,0.290565,1.117001,[ 9 27] ; [ 4 24],[ 7.3125 28.6875] ; [ 5.6875 22.3125],0
b5,1,0.296339,1.090597,[22 15] ; [14 16],[19.88059701 17.11940299] ; [16.11940299 13.88059701],0
p8,1,0.324237,0.97178,[11 26] ; [12 17],[12.89393939 24.10606061] ; [10.10606061 18.89393939],0
b1,1,0.382759,0.761821,[17 20] ; [17 13],[18.7761194 18.2238806] ; [15.2238806 14.7761194],0
p3,1,0.385448,0.753255,[ 8 29] ; [ 9 20],[ 9.53030303 27.46969697] ; [ 7.46969697 21.53030303],0
b2,1,0.464857,0.534175,[ 3 18] ; [ 4 13],[ 3.86842105 17.13157895] ; [ 3.13157895 13.86842105],0
b3,1,0.464857,0.534175,[ 3 18] ; [ 4 13],[ 3.86842105 17.13157895] ; [ 3.13157895 13.86842105],0
s1,1,0.48686,0.483458,[ 3 34] ; [ 4 26],[ 3.86567164 33.13432836] ; [ 3.13432836 26.86567164],0
b4,1,0.493495,0.468897,[24 13] ; [17 13],[22.64179104 14.35820896] ; [18.35820896 11.64179104],0
n1,1,0.554563,0.349206,[ 5 16] ; [4 8],[ 5.72727273 15.27272727] ; [3.27272727 8.72727273],0
p10,1,0.610052,0.2601,[ 8 29] ; [ 5 25],[ 7.17910448 29.82089552] ; [ 5.82089552 24.17910448],0
r2,1,0.672842,0.178295,[28  9] ; [24  6],[28.71641791  8.28358209] ; [23.28358209  6.71641791],0
s3,1,0.682227,0.167629,[13 24] ; [12 18],[13.80597015 23.19402985] ; [11.19402985 18.80597015],0
p1,1,0.683416,0.166305,[ 2 35] ; [ 1 29],[ 1.65671642 35.34328358] ; [ 1.34328358 28.65671642],0
v4,1,0.70038,0.148077,[29  7] ; [23  7],[28.36363636  7.63636364] ; [23.63636364  6.36363636],0
p7,1,0.702905,0.145467,[19 18] ; [14 16],[18.2238806 18.7761194] ; [14.7761194 15.2238806],0
n2,1,0.71038,0.137898,[11  9] ; [8 5],[11.51515152  8.48484848] ; [7.48484848 5.51515152],0
s2,1,0.721186,0.127359,[10 27] ; [ 9 20],[10.65151515 26.34848485] ; [ 8.34848485 20.65151515],0
n5,1,0.729717,0.119371,[10 27] ; [ 7 23],[ 9.3880597 27.6119403] ; [ 7.6119403 22.3880597],0
a7,1,0.779309,0.078523,[21 16] ; [16 14],[20.43283582 16.56716418] ; [16.56716418 13.43283582],0
n3,1,0.839931,0.040797,[13  8] ; [7 5],[12.72727273  8.27272727] ; [7.27272727 4.72727273],0
r3,1,0.9114,0.012382,[30  7] ; [24  6],[29.82089552  7.17910448] ; [24.17910448  5.82089552],0
r4,1,0.964223,0.002012,[22 15] ; [18 12],[22.08955224 14.91044776] ; [17.91044776 12.08955224],0
r1,1,0.964223,0.002012,[22 15] ; [18 12],[22.08955224 14.91044776] ; [17.91044776 12.08955224],0
v3,1,1.0,0.0,[ 6 30] ; [ 5 25],[ 6. 30.] ; [ 5. 25.],0
