Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7e-06,20.167219,[25 20] ; [92 12],[35.33557047  9.66442953] ; [81.66442953 22.33557047],1
p9,1,8e-06,19.863472,[24 18] ; [94 11],[33.71428571  8.28571429] ; [84.28571429 20.71428571],1
v4,1,1e-05,19.560606,[26 19] ; [93 11],[35.93959732  9.06040268] ; [83.06040268 20.93959732],1
p4,1,6.6e-05,15.931721,[11 34] ; [63 42],[22.2 22.8] ; [51.8 53.2],1
s6,1,6.7e-05,15.890457,[12 33] ; [63 38],[23.11643836 21.88356164] ; [51.88356164 49.11643836],1
p11,1,0.000191,13.914084,[23 22] ; [85 20],[32.4 12.6] ; [75.6 29.4],1
p10,1,0.000197,13.863239,[23 21] ; [86 19],[32.18791946 11.81208054] ; [76.81208054 28.18791946],1
r4,1,0.000415,12.463663,[16 29] ; [70 35],[25.8 19.2] ; [60.2 44.8],1
p7,1,0.001478,10.105962,[13 32] ; [59 44],[21.89189189 23.10810811] ; [50.10810811 52.89189189],0
s7,1,0.00205,9.504225,[ 8 35] ; [45 53],[16.16312057 26.83687943] ; [36.83687943 61.16312057],0
p8,1,0.004092,8.242477,[10 34] ; [50 54],[17.83783784 26.16216216] ; [42.16216216 61.83783784],0
s2,1,0.004977,7.887875,[10 35] ; [49 56],[17.7 27.3] ; [41.3 63.7],0
p3,1,0.005962,7.561793,[11 34] ; [51 54],[18.6 26.4] ; [43.4 61.6],0
p6,1,0.007065,7.256311,[ 7 37] ; [40 64],[13.97297297 30.02702703] ; [33.02702703 70.97297297],0
p1,1,0.007526,7.142857,[ 9 36] ; [ 6 99],[ 4.5 40.5] ; [10.5 94.5],0
s3,1,0.009186,6.786287,[14 31] ; [57 48],[21.3 23.7] ; [49.7 55.3],0
s1,1,0.013623,6.086333,[ 4 41] ; [  1 103],[ 1.51006711 43.48993289] ; [  3.48993289 100.51006711],0
a1,1,0.02555,4.986197,[ 7 38] ; [  5 100],[ 3.6 41.4] ; [ 8.4 96.6],0
v1,1,0.033779,4.505877,[13 31] ; [49 52],[18.8137931 25.1862069] ; [43.1862069 57.8137931],0
d3,1,0.040236,4.207893,[16 29] ; [56 48],[21.74496644 23.25503356] ; [50.25503356 53.74496644],0
d4,1,0.057302,3.613805,[24 21] ; [73 32],[29.1 15.9] ; [67.9 37.1],0
d5,1,0.058782,3.571429,[25 20] ; [75 30],[30. 15.] ; [70. 35.],0
n6,1,0.06367,3.439113,[31 13] ; [88 17],[35.1409396  8.8590604] ; [83.8590604 21.1409396],0
v3,1,0.068059,3.329231,[ 8 35] ; [35 69],[12.57823129 30.42176871] ; [30.42176871 73.57823129],0
s4,1,0.074791,3.174603,[ 5 40] ; [25 80],[ 9. 36.] ; [21. 84.],0
d2,1,0.077449,3.117627,[21 22] ; [35 70],[16.27027027 26.72972973] ; [39.72972973 65.27027027],0
a7,1,0.124238,2.36306,[20 25] ; [61 44],[24.3 20.7] ; [56.7 48.3],0
s5,1,0.135443,2.228985,[ 6 38] ; [24 73],[ 9.36170213 34.63829787] ; [20.63829787 76.36170213],0
s8,1,0.142014,2.155996,[10 35] ; [36 69],[13.8 31.2] ; [32.2 72.8],0
r2,1,0.143399,2.141102,[31 13] ; [83 19],[34.35616438  9.64383562] ; [79.64383562 22.35616438],0
u2,1,0.161218,1.962763,[ 5 14] ; [19 23],[ 7.47540984 11.52459016] ; [16.52459016 25.47540984],0
