Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.009714,6.686694,[3 8] ; [54 26],[6.89010989 4.10989011] ; [50.10989011 29.89010989],0
d5,1,0.03438,4.475702,[5 6] ; [60 19],[7.94444444 3.05555556] ; [57.05555556 21.94444444],0
v2,1,0.039627,4.233805,[2 9] ; [39 37],[5.18390805 5.81609195] ; [35.81609195 40.18390805],0
s6,1,0.058131,3.589923,[6 5] ; [61 15],[8.47126437 2.52873563] ; [58.52873563 17.47126437],0
p10,1,0.114011,2.497717,[7 4] ; [66 13],[8.92222222 2.07777778] ; [64.07777778 14.92222222],0
p3,1,0.116628,2.462036,[3 8] ; [42 38],[5.43956044 5.56043956] ; [39.56043956 40.43956044],0
r2,1,0.195664,1.674448,[7 3] ; [67 11],[8.40909091 1.59090909] ; [65.59090909 12.40909091],0
d4,1,0.219129,1.510064,[7 4] ; [64 16],[8.58241758 2.41758242] ; [62.41758242 17.58241758],0
s8,1,0.245711,1.347525,[4 7] ; [44 36],[5.8021978 5.1978022] ; [42.1978022 37.8021978],0
p9,1,0.252435,1.309776,[8 3] ; [68 11],[9.28888889 1.71111111] ; [66.71111111 12.28888889],0
p6,1,0.255574,1.292574,[6 5] ; [29 50],[4.27777778 6.72222222] ; [30.72222222 48.27777778],0
a4,1,0.260375,1.266761,[5 6] ; [23 57],[3.38461538 7.61538462] ; [24.61538462 55.38461538],0
b1,1,0.298802,1.079531,[3 8] ; [35 45],[4.59340659 6.40659341] ; [33.40659341 46.59340659],0
p4,1,0.298802,1.079531,[8 3] ; [45 35],[6.40659341 4.59340659] ; [46.59340659 33.40659341],0
s4,1,0.302357,1.063768,[5 6] ; [24 56],[3.50549451 7.49450549] ; [25.49450549 54.50549451],0
a7,1,0.333769,0.934218,[5 6] ; [48 31],[6.47777778 4.52222222] ; [46.52222222 32.47777778],0
b3,1,0.398825,0.711865,[3 5] ; [12 39],[2.03389831 5.96610169] ; [12.96610169 38.03389831],0
b2,1,0.398825,0.711865,[3 5] ; [12 39],[2.03389831 5.96610169] ; [12.96610169 38.03389831],0
v3,1,0.407906,0.684895,[2 9] ; [23 53],[3.16091954 7.83908046] ; [21.83908046 54.16091954],0
s1,1,0.41783,0.65641,[ 1 10] ; [ 3 77],[ 0.48351648 10.51648352] ; [ 3.51648352 76.48351648],0
p11,1,0.422594,0.643091,[7 4] ; [60 20],[8.0989011 2.9010989] ; [58.9010989 21.0989011],0
n3,1,0.435678,0.607639,[3 1] ; [13 11],[2.28571429 1.71428571] ; [13.71428571 10.28571429],0
v4,1,0.435864,0.607146,[9 2] ; [70  8],[9.76404494 1.23595506] ; [69.23595506  8.76404494],0
d1,1,0.440395,0.595254,[4 7] ; [39 41],[5.1978022 5.8021978] ; [37.8021978 42.1978022],0
n4,1,0.460651,0.544312,[8 3] ; [49 31],[6.89010989 4.10989011] ; [50.10989011 29.89010989],0
a5,1,0.460651,0.544312,[8 3] ; [49 31],[6.89010989 4.10989011] ; [50.10989011 29.89010989],0
p8,1,0.49408,0.46763,[6 5] ; [34 44],[4.94382022 6.05617978] ; [35.05617978 42.94382022],0
s7,1,0.517413,0.419048,[5 6] ; [43 34],[6. 5.] ; [42. 35.],0
n5,1,0.558774,0.341831,[8 3] ; [51 29],[7.13186813 3.86813187] ; [51.86813187 28.13186813],0
u2,1,0.585019,0.298191,[2 3] ; [17 15],[2.56756757 2.43243243] ; [16.43243243 15.56756757],0
b5,1,0.668303,0.183594,[8 3] ; [53 27],[7.37362637 3.62637363] ; [53.62637363 26.37362637],0
b4,1,0.66983,0.181802,[6 5] ; [49 31],[6.64835165 4.35164835] ; [48.35164835 31.64835165],0
s5,1,0.695502,0.153194,[4 6] ; [34 39],[4.57831325 5.42168675] ; [33.42168675 39.57831325],0
n1,1,0.701671,0.146739,[1 3] ; [ 8 15],[1.33333333 2.66666667] ; [ 7.66666667 15.33333333],0
v1,1,0.716302,0.132064,[5 6] ; [39 37],[5.56321839 5.43678161] ; [38.43678161 37.56321839],0
u1,1,0.72185,0.126727,[ 1 10] ; [ 5 75],[ 0.72527473 10.27472527] ; [ 5.27472527 74.72527473],0
a3,1,0.729853,0.119247,[6 5] ; [48 32],[6.52747253 4.47252747] ; [47.47252747 32.52747253],0
p2,1,0.730817,0.118363,[9 2] ; [61 18],[8.55555556 2.44444444] ; [61.44444444 17.55555556],0
n6,1,0.814405,0.055106,[9 2] ; [63 17],[8.7032967 2.2967033] ; [63.2967033 16.7032967],0
p7,1,0.829173,0.046553,[6 4] ; [44 34],[5.68181818 4.31818182] ; [44.31818182 33.68181818],0
a1,1,0.830017,0.046087,[ 1 10] ; [ 9 71],[1.20879121 9.79120879] ; [ 8.79120879 71.20879121],0
d3,1,0.854505,0.033626,[7 4] ; [48 31],[6.72222222 4.27777778] ; [48.27777778 30.72222222],0
u3,1,0.874925,0.024777,[3 2] ; [18 14],[2.83783784 2.16216216] ; [18.16216216 13.83783784],0
a6,1,0.914951,0.011405,[6 5] ; [45 35],[6.16483516 4.83516484] ; [44.83516484 35.16483516],0
a2,1,0.924555,0.008968,[ 1 10] ; [ 8 72],[1.08791209 9.91208791] ; [ 7.91208791 72.08791209],0
d2,1,0.929233,0.007887,[4 7] ; [28 52],[3.86813187 7.13186813] ; [28.13186813 51.86813187],0
s3,1,0.942464,0.005209,[8 3] ; [59 21],[8.0989011 2.9010989] ; [58.9010989 21.0989011],0
