Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,30.79089,[10 36] ; [34  8],[23. 23.] ; [21. 21.],1
p11,1,2.5e-05,17.786561,[13 33] ; [32 12],[23. 23.] ; [22. 22.],1
p2,1,9.8e-05,15.182885,[16 30] ; [32 10],[25.09090909 20.90909091] ; [22.90909091 19.09090909],1
r3,1,0.000809,11.219542,[16 29] ; [30 12],[23.79310345 21.20689655] ; [22.20689655 19.79310345],1
s7,1,0.008915,6.839796,[ 7 37] ; [17 24],[12.42352941 31.57647059] ; [11.57647059 29.42352941],0
p3,1,0.010073,6.621927,[ 6 40] ; [16 28],[11.24444444 34.75555556] ; [10.75555556 33.24444444],0
s2,1,0.01119,6.434881,[ 8 38] ; [18 25],[13.43820225 32.56179775] ; [12.56179775 30.43820225],0
s3,1,0.013506,6.101534,[11 34] ; [21 21],[16.55172414 28.44827586] ; [15.44827586 26.55172414],0
s8,1,0.013591,6.090559,[ 3 43] ; [11 32],[ 7.23595506 38.76404494] ; [ 6.76404494 36.23595506],0
p4,1,0.022108,5.237232,[11 34] ; [21 23],[16.17977528 28.82022472] ; [15.82022472 28.17977528],0
n2,1,0.024183,5.081481,[10 17] ; [11  4],[13.5 13.5] ; [7.5 7.5],0
p6,1,0.046049,3.979799,[ 5 40] ; [12 31],[ 8.69318182 36.30681818] ; [ 8.30681818 34.69318182],0
s6,1,0.068011,3.330378,[10 36] ; [17 26],[13.95505618 32.04494382] ; [13.04494382 29.95505618],0
a8,1,0.068377,3.321554,[ 1 42] ; [ 5 34],[ 3.14634146 39.85365854] ; [ 2.85365854 36.14634146],0
d3,1,0.072923,3.215978,[18 28] ; [25 18],[22.2247191 23.7752809] ; [20.7752809 22.2247191],0
n6,1,0.077998,3.106123,[22 23] ; [29 14],[26.07954545 18.92045455] ; [24.92045455 18.07954545],0
v4,1,0.083755,2.990495,[23 23] ; [28 13],[26.96551724 19.03448276] ; [24.03448276 16.96551724],0
a5,1,0.093103,2.819887,[18 28] ; [25 19],[21.97777778 24.02222222] ; [21.02222222 22.97777778],0
d4,1,0.145697,2.116737,[25 20] ; [31 13],[28.31460674 16.68539326] ; [27.68539326 16.31460674],0
p7,1,0.147524,2.09767,[13 32] ; [18 23],[16.22093023 28.77906977] ; [14.77906977 26.22093023],0
p5,1,0.151527,2.056813,[ 1 44] ; [ 4 39],[ 2.55681818 42.44318182] ; [ 2.44318182 40.55681818],0
u1,1,0.152138,2.050686,[ 1 45] ; [ 4 40],[ 2.55555556 43.44444444] ; [ 2.44444444 41.55555556],0
a1,1,0.156748,2.005326,[ 6 40] ; [ 2 42],[ 4.08888889 41.91111111] ; [ 3.91111111 40.08888889],0
n3,1,0.182813,1.774604,[10 16] ; [9 6],[12.04878049 13.95121951] ; [6.95121951 8.04878049],0
p8,1,0.194312,1.68462,[11 34] ; [16 27],[13.80681818 31.19318182] ; [13.19318182 29.80681818],0
v3,1,0.209932,1.571895,[ 6 40] ; [10 33],[ 8.26966292 37.73033708] ; [ 7.73033708 35.26966292],0
d5,1,0.254079,1.300736,[26 20] ; [30 14],[28.62222222 17.37777778] ; [27.37777778 16.62222222],0
a6,1,0.293752,1.102345,[20 26] ; [24 20],[22.48888889 23.51111111] ; [21.51111111 22.48888889],0
r1,1,0.311373,1.024845,[16 30] ; [11 33],[13.8 32.2] ; [13.2 30.8],0
n5,1,0.3133,1.016711,[27 19] ; [29 13],[29.27272727 16.72727273] ; [26.72727273 15.27272727],0
n1,1,0.344471,0.893722,[ 7 20] ; [6 9],[ 8.35714286 18.64285714] ; [ 4.64285714 10.35714286],0
n4,1,0.370664,0.801438,[25 21] ; [28 16],[27.08888889 18.91111111] ; [25.91111111 18.08888889],0
