Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.04043,4.199757,[2 1] ; [ 42 177],[0.59459459 2.40540541] ; [ 43.40540541 175.59459459],0
v4,1,0.054765,3.689213,[2 1] ; [203  13],[2.80821918 0.19178082] ; [202.19178082  13.80821918],0
s3,1,0.316789,1.002159,[1 2] ; [132  82],[1.83870968 1.16129032] ; [131.16129032  82.83870968],0
n5,1,0.347568,0.882318,[2 1] ; [188  31],[2.56756757 0.43243243] ; [187.43243243  31.56756757],0
n6,1,0.435459,0.608219,[2 1] ; [183  36],[2.5 0.5] ; [182.5  36.5],0
s2,1,0.482399,0.493436,[1 2] ; [116 100],[1.60273973 1.39726027] ; [115.39726027 100.60273973],0
s7,1,0.506368,0.441565,[1 2] ; [110  99],[1.57075472 1.42924528] ; [109.42924528  99.57075472],0
s8,1,0.545154,0.366071,[1 2] ; [111 107],[1.52036199 1.47963801] ; [110.47963801 107.52036199],0
a5,1,0.554418,0.349462,[2 1] ; [176  43],[2.40540541 0.59459459] ; [175.59459459  43.40540541],0
a3,1,0.590744,0.289184,[2 1] ; [173  45],[2.37556561 0.62443439] ; [172.62443439  45.37556561],0
a4,1,0.60391,0.269139,[2 1] ; [113 106],[1.55405405 1.44594595] ; [113.44594595 105.55405405],0
v2,1,0.689697,0.159413,[2 1] ; [113  92],[1.65865385 1.34134615] ; [113.34134615  91.65865385],0
v1,1,0.711133,0.137148,[2 1] ; [117  92],[1.68396226 1.31603774] ; [117.31603774  91.68396226],0
b4,1,0.727215,0.121684,[2 1] ; [124  95],[1.7027027 1.2972973] ; [124.2972973  94.7027027],0
n1,1,0.727383,0.121528,[2 1] ; [18 14],[1.71428571 1.28571429] ; [18.28571429 13.71428571],0
n3,1,0.752172,0.099715,[2 1] ; [24  8],[2.22857143 0.77142857] ; [23.77142857  8.22857143],0
v3,1,0.814885,0.054816,[1 2] ; [ 84 126],[1.1971831 1.8028169] ; [ 83.8028169 126.1971831],0
a2,1,0.819055,0.052331,[1 2] ; [ 60 159],[0.82432432 2.17567568] ; [ 60.17567568 158.82432432],0
n2,1,0.822456,0.05035,[2 1] ; [24  9],[2.16666667 0.83333333] ; [23.83333333  9.16666667],0
b3,1,0.852229,0.034699,[1 2] ; [56 89],[1.15540541 1.84459459] ; [55.84459459 89.15540541],0
b2,1,0.852229,0.034699,[1 2] ; [56 89],[1.15540541 1.84459459] ; [55.84459459 89.15540541],0
d3,1,0.934618,0.00673,[2 1] ; [141  78],[1.93243243 1.06756757] ; [141.06756757  77.93243243],0
a6,1,0.950407,0.003868,[2 1] ; [149  69],[2.04977376 0.95022624] ; [148.95022624  69.04977376],0
a7,1,0.964057,0.002031,[2 1] ; [148  70],[2.0361991 0.9638009] ; [147.9638009  70.0361991],0
s6,1,0.97714,0.000821,[2 1] ; [139  72],[1.97663551 1.02336449] ; [139.02336449  71.97663551],0
