Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,88.054805,[155  85] ; [ 22 122],[110.625 129.375] ; [66.375 77.625],1
s3,1,0.0,80.883906,[163  73] ; [ 31 113],[120.48421053 115.51578947] ; [73.51578947 70.48421053],1
s8,1,0.0,50.205423,[123 118] ; [ 22 124],[ 90.29715762 150.70284238] ; [54.70284238 91.29715762],1
s7,1,0.0,48.122445,[129 108] ; [ 25 114],[ 97.06914894 139.93085106] ; [56.93085106 82.06914894],1
s5,1,0.0,40.486647,[ 96 141] ; [ 14 128],[ 68.78627968 168.21372032] ; [ 41.21372032 100.78627968],1
r4,1,9e-06,19.710468,[224  18] ; [112  34],[209.56701031  32.43298969] ; [126.43298969  19.56701031],1
r1,1,0.000244,13.457954,[199  42] ; [96 49],[184.18393782  56.81606218] ; [110.81606218  34.18393782],1
s4,1,0.000472,12.22217,[ 52 185] ; [ 12 134],[ 39.60313316 197.39686684] ; [ 24.39686684 121.60313316],1
v1,1,0.000577,11.848483,[123 115] ; [48 95],[106.81889764 131.18110236] ; [64.18110236 78.81889764],1
p4,1,0.000869,11.088069,[104 136] ; [ 38 106],[ 88.75 151.25] ; [53.25 90.75],1
p10,1,0.001663,9.88865,[193  46] ; [95 48],[180.18848168  58.81151832] ; [107.81151832  35.18848168],0
a7,1,0.008132,7.004077,[182  60] ; [90 54],[170.52849741  71.47150259] ; [101.47150259  42.52849741],0
p9,1,0.01072,6.511126,[198  40] ; [101  39],[188.25925926  49.74074074] ; [110.74074074  29.25925926],0
p6,1,0.013072,6.159329,[ 71 169] ; [ 26 117],[ 60.78328982 179.21671018] ; [ 36.21671018 106.78328982],0
u3,1,0.016618,5.736304,[45 33] ; [18 32],[38.390625 39.609375] ; [24.609375 25.390625],0
a5,1,0.01782,5.613743,[174  68] ; [88 58],[163.41237113  78.58762887] ; [98.58762887 47.41237113],0
d3,1,0.031279,4.637603,[171  71] ; [87 58],[161.33333333  80.66666667] ; [96.66666667 48.33333333],0
r2,1,0.034011,4.494137,[228  13] ; [125  16],[222.70418848  18.29581152] ; [130.29581152  10.70418848],0
u1,1,0.034116,4.48888,[ 40 202] ; [ 13 133],[ 33.05670103 208.94329897] ; [ 19.94329897 126.05670103],0
p5,1,0.034152,4.487089,[ 17 225] ; [  3 141],[ 12.5388601 229.4611399] ; [  7.4611399 136.5388601],0
n5,1,0.036296,4.383135,[187  55] ; [98 47],[178.21705426  63.78294574] ; [106.78294574  38.21705426],0
p12,1,0.045291,4.00777,[ 16 226] ; [  3 142],[ 11.88113695 230.11886305] ; [  7.11886305 137.88113695],0
