Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.4e-05,18.82755,[104  18] ; [4 8],[98.32835821 23.67164179] ; [9.67164179 2.32835821],1
p9,1,0.0003,13.070523,[110  14] ; [6 6],[105.76470588  18.23529412] ; [10.23529412  1.76470588],1
p4,1,0.001505,10.072848,[101  23] ; [5 7],[96.64705882 27.35294118] ; [9.35294118 2.64705882],0
n5,1,0.003124,8.733452,[98 25] ; [5 7],[93.84444444 29.15555556] ; [9.15555556 2.84444444],0
d3,1,0.003491,8.53138,[90 32] ; [4 8],[85.58208955 36.41791045] ; [8.41791045 3.58208955],0
n4,1,0.008318,6.963646,[102  22] ; [6 6],[98.47058824 25.52941176] ; [9.52941176 2.47058824],0
a5,1,0.025861,4.965285,[90 34] ; [5 7],[86.61764706 37.38235294] ; [8.38235294 3.61764706],0
s1,1,0.032377,4.57841,[  4 118] ; [ 2 10],[  5.46268657 116.53731343] ; [ 0.53731343 11.46268657],0
d1,1,0.03937,4.244816,[79 45] ; [4 8],[75.67647059 48.32352941] ; [7.32352941 4.67647059],0
n6,1,0.042743,4.105544,[109  15] ; [8 4],[106.67647059  17.32352941] ; [10.32352941  1.67647059],0
a3,1,0.046259,3.972148,[86 37] ; [5 7],[82.91111111 40.08888889] ; [8.08888889 3.91111111],0
a7,1,0.063232,3.450521,[84 39] ; [5 7],[81.08888889 41.91111111] ; [7.91111111 4.08888889],0
d5,1,0.063625,3.440272,[99 23] ; [7 5],[96.50746269 25.49253731] ; [9.49253731 2.50746269],0
p8,1,0.087169,2.925891,[91 33] ; [6 6],[88.44117647 35.55882353] ; [8.55882353 3.44117647],0
s3,1,0.094987,2.787757,[77 47] ; [4 7],[74.4 49.6] ; [6.6 4.4],0
p7,1,0.100722,2.69407,[103  18] ; [8 4],[100.98496241  20.01503759] ; [10.01503759  1.98496241],0
d4,1,0.166327,1.915743,[102  21] ; [8 4],[100.22222222  22.77777778] ; [9.77777778 2.22222222],0
a6,1,0.205979,1.599462,[75 49] ; [5 7],[72.94117647 51.05882353] ; [7.05882353 4.94117647],0
a4,1,0.216223,1.529262,[64 59] ; [4 8],[61.95555556 61.04444444] ; [6.04444444 5.95555556],0
p11,1,0.220193,1.503111,[101  23] ; [8 4],[99.38235294 24.61764706] ; [9.61764706 2.38235294],0
v4,1,0.246945,1.340502,[121   3] ; [11  1],[120.35294118   3.64705882] ; [11.64705882  0.35294118],0
n3,1,0.252481,1.309524,[20 10] ; [1 2],[19.09090909 10.90909091] ; [1.90909091 1.09090909],0
r1,1,0.287449,1.131531,[99 25] ; [8 4],[97.55882353 26.44117647] ; [9.44117647 2.55882353],0
d2,1,0.293602,1.103032,[61 63] ; [4 8],[59.26470588 64.73529412] ; [5.73529412 6.26470588],0
b1,1,0.353217,0.861865,[55 69] ; [7 5],[56.52941176 67.47058824] ; [5.47058824 6.52941176],0
b5,1,0.400745,0.706091,[67 57] ; [8 4],[68.38235294 55.61764706] ; [6.61764706 5.38235294],0
s4,1,0.409043,0.681582,[33 86] ; [ 2 10],[31.79389313 87.20610687] ; [3.20610687 8.79389313],0
v1,1,0.458816,0.54878,[48 75] ; [6 6],[49.2 73.8] ; [4.8 7.2],0
u2,1,0.461872,0.541353,[22 16] ; [3 4],[21.11111111 16.88888889] ; [3.88888889 3.11111111],0
p3,1,0.47982,0.499272,[75 49] ; [6 6],[73.85294118 50.14705882] ; [7.14705882 4.85294118],0
r3,1,0.49344,0.469016,[118   5] ; [11  1],[117.53333333   5.46666667] ; [11.46666667  0.53333333],0
s6,1,0.494512,0.466694,[86 33] ; [9 2],[86.96153846 32.03846154] ; [8.03846154 2.96153846],0
b3,1,0.569346,0.323779,[36 43] ; [5 4],[36.80681818 42.19318182] ; [4.19318182 4.80681818],0
b2,1,0.569346,0.323779,[36 43] ; [5 4],[36.80681818 42.19318182] ; [4.19318182 4.80681818],0
s7,1,0.577588,0.31015,[70 50] ; [6 6],[69.09090909 50.90909091] ; [6.90909091 5.09090909],0
a8,1,0.63304,0.227961,[15 99] ; [ 1 11],[14.47619048 99.52380952] ; [ 1.52380952 10.47619048],0
v3,1,0.639703,0.219131,[ 24 100] ; [3 9],[24.61764706 99.38235294] ; [2.38235294 9.61764706],0
b4,1,0.656303,0.198045,[60 64] ; [5 7],[59.26470588 64.73529412] ; [5.73529412 6.26470588],0
n1,1,0.6936,0.155216,[14 17] ; [1 2],[13.67647059 17.32352941] ; [1.32352941 1.67647059],0
s8,1,0.733673,0.115766,[63 61] ; [5 6],[62.45925926 61.54074074] ; [5.54074074 5.45925926],0
s5,1,0.742635,0.107824,[54 65] ; [4 6],[53.50387597 65.49612403] ; [4.49612403 5.50387597],0
p1,1,0.840815,0.040341,[ 18 106] ; [ 2 10],[ 18.23529412 105.76470588] ; [ 1.76470588 10.23529412],0
p5,1,0.872336,0.025822,[ 23 101] ; [ 2 10],[ 22.79411765 101.20588235] ; [2.20588235 9.79411765],0
s2,1,0.900057,0.015773,[70 54] ; [7 5],[70.20588235 53.79411765] ; [6.79411765 5.20588235],0
u3,1,0.908988,0.013068,[22 15] ; [4 3],[21.86363636 15.13636364] ; [4.13636364 2.86363636],0
r4,1,0.950007,0.003931,[113  11] ; [11  1],[113.05882353  10.94117647] ; [10.94117647  1.05882353],0
