Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,205.385394,[377  26] ; [11 45],[340.66230937  62.33769063] ; [47.33769063  8.66230937],1
p11,1,0.0,33.032209,[348  58] ; [31 26],[332.3412527  73.6587473] ; [46.6587473 10.3412527],1
n5,1,1.8e-05,18.392644,[337  66] ; [34 23],[325.02826087  77.97173913] ; [45.97173913 11.02826087],1
p8,1,2.6e-05,17.712256,[243 155] ; [18 39],[228.3032967 169.6967033] ; [32.6967033 24.3032967],1
s8,1,4.3e-05,16.725811,[221 182] ; [14 41],[206.77947598 196.22052402] ; [28.22052402 26.77947598],1
p4,1,0.000128,14.670311,[280 123] ; [25 32],[267.20652174 135.79347826] ; [37.79347826 19.20652174],1
p2,1,0.000148,14.393986,[358  46] ; [40 17],[348.78958785  55.21041215] ; [49.21041215  7.78958785],1
n6,1,0.000609,11.747732,[355  46] ; [41 16],[346.71615721  54.28384279] ; [49.28384279  7.71615721],1
s1,1,0.000881,11.062764,[  9 391] ; [ 6 50],[ 13.15789474 386.84210526] ; [ 1.84210526 54.15789474],1
p3,1,0.002784,8.943873,[237 167] ; [21 35],[226.59130435 177.40869565] ; [31.40869565 24.59130435],0
p6,1,0.003426,8.56538,[182 216] ; [13 40],[172.08425721 225.91574279] ; [22.91574279 30.08425721],0
b1,1,0.00355,8.500589,[140 266] ; [31 26],[149.94816415 256.05183585] ; [21.05183585 35.94816415],0
p7,1,0.005496,7.70864,[282 114] ; [29 26],[273.07317073 122.92682927] ; [37.92682927 17.07317073],0
s6,1,0.006224,7.484238,[294 103] ; [31 24],[285.45353982 111.54646018] ; [39.54646018 15.45353982],0
r4,1,0.009712,6.686883,[385  21] ; [49  8],[380.57019438  25.42980562] ; [53.42980562  3.57019438],0
s7,1,0.014073,6.029023,[216 172] ; [20 33],[207.63718821 180.36281179] ; [28.36281179 24.63718821],0
s5,1,0.028173,4.81748,[159 230] ; [14 41],[151.56981982 237.43018018] ; [21.43018018 33.56981982],0
d1,1,0.035862,4.403657,[258 148] ; [28 29],[250.79049676 155.20950324] ; [35.20950324 21.79049676],0
s2,1,0.037283,4.337442,[228 174] ; [23 32],[220.79212254 181.20787746] ; [30.20787746 24.79212254],0
p5,1,0.040042,4.216124,[ 62 341] ; [ 3 54],[ 56.94565217 346.05434783] ; [ 8.05434783 48.94565217],0
d4,1,0.040696,4.188649,[347  57] ; [43 14],[341.77874187  62.22125813] ; [48.22125813  8.77874187],0
a3,1,0.065102,3.40238,[308  96] ; [37 20],[302.34273319 101.65726681] ; [42.65726681 14.34273319],0
d5,1,0.079222,3.080783,[342  62] ; [43 14],[337.39696312  66.60303688] ; [47.60303688  9.39696312],0
v2,1,0.130656,2.284695,[277 115] ; [34 22],[272.125 119.875] ; [38.875 17.125],0
b2,1,0.142826,2.147246,[115 150] ; [11 25],[110.93023256 154.06976744] ; [15.06976744 20.93023256],0
b3,1,0.142826,2.147246,[115 150] ; [11 25],[110.93023256 154.06976744] ; [15.06976744 20.93023256],0
r2,1,0.15828,1.990583,[388  13] ; [53  4],[386.11572052  14.88427948] ; [54.88427948  2.11572052],0
a5,1,0.199068,1.649202,[316  90] ; [40 17],[312.17278618  93.82721382] ; [43.82721382 13.17278618],0
a1,1,0.212361,1.555255,[ 23 383] ; [ 1 56],[ 21.04535637 384.95464363] ; [ 2.95464363 54.04535637],0
v4,1,0.224164,1.477511,[393  10] ; [53  3],[391.58605664  11.41394336] ; [54.41394336  1.58605664],0
a8,1,0.239815,1.381682,[ 61 303] ; [ 5 44],[ 58.16949153 305.83050847] ; [ 7.83050847 41.16949153],0
n3,1,0.274333,1.194949,[49 17] ; [11  7],[47.14285714 18.85714286] ; [12.85714286  5.14285714],0
a7,1,0.310596,1.02814,[296 109] ; [38 19],[292.79220779 112.20779221] ; [41.20779221 15.79220779],0
a6,1,0.33458,0.93109,[274 130] ; [35 22],[270.79392625 133.20607375] ; [38.20607375 18.79392625],0
u2,1,0.359077,0.841119,[57 40] ; [ 9 10],[55.18965517 41.81034483] ; [10.81034483  8.18965517],0
a4,1,0.378184,0.776598,[199 206] ; [24 32],[195.91106291 209.08893709] ; [27.08893709 28.91106291],0
n4,1,0.417337,0.657802,[330  74] ; [44 13],[327.75704989  76.24295011] ; [46.24295011 10.75704989],0
v3,1,0.421629,0.64577,[197 194] ; [25 31],[194.18791946 196.81208054] ; [27.81208054 28.18791946],0
u3,1,0.43386,0.612469,[63 35] ; [11  9],[61.45762712 36.54237288] ; [12.54237288  7.45762712],0
p1,1,0.487946,0.481052,[ 40 364] ; [ 4 53],[ 38.55965293 365.44034707] ; [ 5.44034707 51.55965293],0
u4,1,0.550073,0.357187,[ 13 393] ; [ 1 56],[ 12.27645788 393.72354212] ; [ 1.72354212 55.27645788],0
u1,1,0.580334,0.305695,[ 84 322] ; [10 47],[ 82.42764579 323.57235421] ; [11.57235421 45.42764579],0
r1,1,0.632147,0.22916,[343  61] ; [47 10],[341.77874187  62.22125813] ; [48.22125813  8.77874187],0
s3,1,0.723111,0.125531,[232 169] ; [31 25],[230.77242888 170.22757112] ; [32.22757112 23.77242888],0
d3,1,0.733925,0.115538,[286 119] ; [39 18],[284.9025974 120.0974026] ; [40.0974026 16.9025974],0
n2,1,0.765912,0.088641,[53 14] ; [14  3],[53.44047619 13.55952381] ; [13.55952381  3.44047619],0
s4,1,0.782738,0.076039,[ 63 338] ; [ 8 48],[ 62.29978118 338.70021882] ; [ 8.70021882 47.29978118],0
n1,1,0.875411,0.024583,[29 38] ; [ 7 10],[28.71428571 38.28571429] ; [7.28571429 9.71428571],0
b4,1,0.910497,0.012636,[239 167] ; [34 23],[239.39092873 166.60907127] ; [33.60907127 23.39092873],0
d2,1,0.915137,0.011355,[203 202] ; [29 28],[203.37662338 201.62337662] ; [28.62337662 28.37662338],0
a2,1,0.941643,0.005359,[105 301] ; [15 42],[105.22678186 300.77321814] ; [14.77321814 42.22678186],0
b5,1,0.954457,0.003262,[258 148] ; [36 21],[257.80561555 148.19438445] ; [36.19438445 20.80561555],0
