Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3e-06,21.668433,[12  4] ; [12 58],[ 4.46511628 11.53488372] ; [19.53488372 50.46511628],1
p10,1,0.000661,11.59464,[14  1] ; [32 39],[8.02325581 6.97674419] ; [37.97674419 33.02325581],1
p11,1,0.001322,10.311999,[14  2] ; [32 42],[8.17777778 7.82222222] ; [37.82222222 36.17777778],0
p4,1,0.001449,10.142173,[11  5] ; [20 54],[ 5.51111111 10.48888889] ; [25.48888889 48.51111111],0
s2,1,0.003167,8.70873,[9 7] ; [15 59],[ 4.26666667 11.73333333] ; [19.73333333 54.26666667],0
s6,1,0.003315,8.625533,[11  5] ; [22 52],[ 5.86666667 10.13333333] ; [27.13333333 46.86666667],0
p6,1,0.005722,7.635724,[7 8] ; [11 62],[ 3.06818182 11.93181818] ; [14.93181818 58.06818182],0
p3,1,0.008711,6.881052,[8 8] ; [14 60],[ 3.91111111 12.08888889] ; [18.08888889 55.91111111],0
v3,1,0.009043,6.814243,[ 6 10] ; [ 8 64],[ 2.54545455 13.45454545] ; [11.45454545 60.54545455],0
s3,1,0.009055,6.81199,[10  6] ; [20 51],[ 5.51724138 10.48275862] ; [24.48275862 46.51724138],0
p9,1,0.010613,6.528965,[14  2] ; [38 34],[9.45454545 6.54545455] ; [42.54545455 29.45454545],0
p2,1,0.030868,4.660315,[14  2] ; [43 30],[10.24719101  5.75280899] ; [46.75280899 26.24719101],0
p7,1,0.03672,4.36336,[11  4] ; [31 40],[7.3255814 7.6744186] ; [34.6744186 36.3255814],0
r3,1,0.039164,4.253722,[12  4] ; [33 38],[8.27586207 7.72413793] ; [36.72413793 34.27586207],0
p8,1,0.047084,3.942368,[9 7] ; [22 51],[ 5.57303371 10.42696629] ; [25.42696629 47.57303371],0
n6,1,0.077508,3.1164,[12  4] ; [36 35],[8.82758621 7.17241379] ; [39.17241379 31.82758621],0
v2,1,0.082152,3.02181,[7 9] ; [16 55],[ 4.22988506 11.77011494] ; [18.77011494 52.22988506],0
p5,1,0.091269,2.851852,[ 2 14] ; [ 2 70],[ 0.72727273 15.27272727] ; [ 3.27272727 68.72727273],0
r2,1,0.097015,2.753942,[ 4 10] ; [37 33],[6.83333333 7.16666667] ; [34.16666667 35.83333333],0
n2,1,0.135769,2.225275,[7 1] ; [19 13],[5.2 2.8] ; [20.8 11.2],0
a3,1,0.158441,1.989045,[10  6] ; [31 41],[7.45454545 8.54545455] ; [33.54545455 38.45454545],0
d4,1,0.193545,1.690426,[10  6] ; [33 41],[7.64444444 8.35555556] ; [35.35555556 38.64444444],0
n1,1,0.200761,1.636829,[5 3] ; [12 20],[3.4 4.6] ; [13.6 18.4],0
u2,1,0.246137,1.345097,[4 2] ; [17 24],[2.68085106 3.31914894] ; [18.31914894 22.68085106],0
