Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.001159,10.553823,[ 20 103] ; [11 13],[25.93877551 97.06122449] ; [ 5.06122449 18.93877551],0
p3,1,0.002712,8.991656,[33 89] ; [14 10],[39.2739726 82.7260274] ; [ 7.7260274 16.2739726],0
d1,1,0.003481,8.53648,[39 86] ; [15  9],[45.30201342 79.69798658] ; [ 8.69798658 15.30201342],0
p8,1,0.006032,7.540779,[40 82] ; [15  9],[45.95890411 76.04109589] ; [ 9.04109589 14.95890411],0
d2,1,0.009974,6.639566,[47 76] ; [16  8],[52.71428571 70.28571429] ; [10.28571429 13.71428571],0
a5,1,0.018495,5.54862,[61 64] ; [18  6],[66.27516779 58.72483221] ; [12.72483221 11.27516779],0
v1,1,0.027523,4.857677,[47 76] ; [15  9],[51.87755102 71.12244898] ; [10.12244898 13.87755102],0
s6,1,0.031735,4.612751,[45 77] ; [14  9],[49.64137931 72.35862069] ; [ 9.35862069 13.64137931],0
p4,1,0.032313,4.581818,[42 78] ; [14 10],[46.66666667 73.33333333] ; [ 9.33333333 14.66666667],0
s5,1,0.045117,4.014243,[28 92] ; [10 13],[31.88811189 88.11188811] ; [ 6.11188811 16.88811189],0
r4,1,0.04585,3.987105,[84 41] ; [21  3],[88.08724832 36.91275168] ; [16.91275168  7.08724832],0
p6,1,0.069279,3.30001,[20 97] ; [ 8 16],[23.23404255 93.76595745] ; [ 4.76595745 19.23404255],0
b1,1,0.112641,2.516772,[51 74] ; [14 10],[54.53020134 70.46979866] ; [10.46979866 13.53020134],0
p12,1,0.129926,2.293387,[  3 120] ; [ 2 21],[  4.21232877 118.78767123] ; [ 0.78767123 22.21232877],0
s3,1,0.146858,2.104582,[37 84] ; [11 13],[40.05517241 80.94482759] ; [ 7.94482759 16.05517241],0
p9,1,0.148576,2.086814,[78 44] ; [19  5],[81.05479452 40.94520548] ; [15.94520548  8.05479452],0
d5,1,0.176913,1.823367,[70 55] ; [17  7],[72.98657718 52.01342282] ; [14.01342282  9.98657718],0
r1,1,0.176913,1.823367,[70 55] ; [17  7],[72.98657718 52.01342282] ; [14.01342282  9.98657718],0
p10,1,0.235656,1.406393,[70 51] ; [17  7],[72.6 48.4] ; [14.4  9.6],0
r3,1,0.242344,1.366908,[96 29] ; [21  3],[98.15436242 26.84563758] ; [18.84563758  5.15436242],0
p11,1,0.245101,1.351011,[84 41] ; [19  5],[86.40939597 38.59060403] ; [16.59060403  7.40939597],0
s1,1,0.254168,1.300247,[  4 118] ; [ 2 22],[  5.01369863 116.98630137] ; [ 0.98630137 23.01369863],0
u3,1,0.288063,1.128651,[21 41] ; [6 6],[22.62162162 39.37837838] ; [4.37837838 7.62162162],0
a8,1,0.311926,1.022504,[  8 109] ; [ 3 20],[  9.19285714 107.80714286] ; [ 1.80714286 21.19285714],0
n1,1,0.388549,0.743478,[11 30] ; [3 4],[11.95833333 29.04166667] ; [2.04166667 4.95833333],0
p7,1,0.412233,0.672352,[59 61] ; [14 10],[60.83333333 59.16666667] ; [12.16666667 11.83333333],0
u2,1,0.426234,0.633062,[23 38] ; [6 6],[24.23287671 36.76712329] ; [4.76712329 7.23287671],0
d4,1,0.431155,0.61971,[78 47] ; [17  7],[79.69798658 45.30201342] ; [15.30201342  8.69798658],0
p5,1,0.434368,0.611117,[ 11 112] ; [ 1 23],[ 10.04081633 112.95918367] ; [ 1.95918367 22.04081633],0
v4,1,0.435103,0.609163,[101  24] ; [21  3],[102.34899329  22.65100671] ; [19.65100671  4.34899329],0
b2,1,0.446243,0.580177,[23 50] ; [ 7 10],[24.33333333 48.66666667] ; [ 5.66666667 11.33333333],0
b3,1,0.446243,0.580177,[23 50] ; [ 7 10],[24.33333333 48.66666667] ; [ 5.66666667 11.33333333],0
