Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3e-06,21.746388,[12  2] ; [ 7 34],[4.83636364 9.16363636] ; [14.16363636 26.83636364],1
r4,1,0.000204,13.79822,[9 6] ; [ 5 37],[ 3.68421053 11.31578947] ; [10.31578947 31.68421053],1
s6,1,0.00038,12.628582,[11  4] ; [ 9 32],[5.35714286 9.64285714] ; [14.64285714 26.35714286],1
s7,1,0.000555,11.92002,[10  5] ; [ 7 32],[ 4.72222222 10.27777778] ; [12.27777778 26.72222222],1
s8,1,0.001242,10.426586,[8 7] ; [ 5 36],[ 3.48214286 11.51785714] ; [ 9.51785714 31.48214286],0
p6,1,0.001242,10.426586,[8 7] ; [ 5 36],[ 3.48214286 11.51785714] ; [ 9.51785714 31.48214286],0
p2,1,0.001285,10.363921,[12  3] ; [13 28],[6.69642857 8.30357143] ; [18.30357143 22.69642857],0
s5,1,0.001341,10.285714,[8 6] ; [ 6 36],[ 3.5 10.5] ; [10.5 31.5],0
p11,1,0.005277,7.782029,[10  5] ; [11 31],[5.52631579 9.47368421] ; [15.47368421 26.52631579],0
b5,1,0.005324,7.765799,[12  3] ; [16 26],[7.36842105 7.63157895] ; [20.63157895 21.36842105],0
n6,1,0.00607,7.529395,[14  1] ; [22 19],[9.64285714 5.35714286] ; [26.35714286 14.64285714],0
v4,1,0.007211,7.219633,[14  1] ; [23 19],[9.73684211 5.26315789] ; [27.26315789 14.73684211],0
p9,1,0.007848,7.067859,[12  3] ; [15 23],[7.64150943 7.35849057] ; [19.35849057 18.64150943],0
p10,1,0.014613,5.962593,[11  4] ; [15 26],[6.96428571 8.03571429] ; [19.03571429 21.96428571],0
u3,1,0.019133,5.489279,[2 1] ; [ 2 17],[0.54545455 2.45454545] ; [ 3.45454545 15.54545455],0
v1,1,0.020422,5.375483,[8 7] ; [ 9 33],[ 4.47368421 10.52631579] ; [12.52631579 29.47368421],0
