Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,36.014003,[ 7 19] ; [73 11],[18.90909091  7.09090909] ; [61.09090909 22.90909091],1
p11,1,0.000666,11.582691,[12 14] ; [69 17],[18.80357143  7.19642857] ; [62.19642857 23.80357143],1
n4,1,0.001101,10.649224,[10 16] ; [63 23],[16.94642857  9.05357143] ; [56.05357143 29.94642857],0
n5,1,0.003494,8.529883,[11 15] ; [63 23],[17.17857143  8.82142857] ; [56.82142857 29.17857143],0
v1,1,0.015564,5.851427,[ 6 20] ; [42 42],[11.34545455 14.65454545] ; [36.65454545 47.34545455],0
a3,1,0.017447,5.650872,[10 16] ; [55 30],[15.22522523 10.77477477] ; [49.77477477 35.22522523],0
p2,1,0.021173,5.312472,[17  9] ; [72 12],[21.03636364  4.96363636] ; [67.96363636 16.03636364],0
n6,1,0.026194,4.943197,[15 10] ; [70 16],[19.14414414  5.85585586] ; [65.85585586 20.14414414],0
a5,1,0.026984,4.891812,[ 9 17] ; [51 35],[13.92857143 12.07142857] ; [46.07142857 39.92857143],0
d1,1,0.0281,4.821944,[ 5 21] ; [37 49],[ 9.75 16.25] ; [32.25 53.75],0
r3,1,0.035599,4.416219,[19  7] ; [77  9],[22.28571429  3.71428571] ; [73.71428571 12.28571429],0
d4,1,0.035836,4.404911,[13 13] ; [62 24],[17.41071429  8.58928571] ; [57.58928571 28.41071429],0
r4,1,0.03731,4.336221,[12 14] ; [59 27],[16.48214286  9.51785714] ; [54.51785714 31.48214286],0
s7,1,0.0421,4.131164,[ 6 19] ; [38 43],[10.37735849 14.62264151] ; [33.62264151 47.37735849],0
v3,1,0.042874,4.10035,[ 4 22] ; [31 54],[ 8.1981982 17.8018018] ; [26.8018018 58.1981982],0
s6,1,0.0435,4.075846,[11 15] ; [53 29],[15.40740741 10.59259259] ; [48.59259259 33.40740741],0
a4,1,0.056543,3.63599,[ 3 23] ; [26 60],[ 6.73214286 19.26785714] ; [22.26785714 63.73214286],0
v2,1,0.060464,3.524612,[ 8 18] ; [44 41],[12.18018018 13.81981982] ; [39.81981982 45.18018018],0
