Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,3e-06,21.627586,[3 3] ; [ 1 57],[0.375 5.625] ; [ 3.625 54.375],1
r4,1,5.6e-05,16.244933,[1 5] ; [50  8],[4.78125 1.21875] ; [46.21875 11.78125],1
r2,1,0.004376,8.120874,[4 2] ; [55  2],[5.61904762 0.38095238] ; [53.38095238  3.61904762],0
p11,1,0.013289,6.130268,[2 4] ; [46 12],[4.5 1.5] ; [43.5 14.5],0
p10,1,0.04237,4.120356,[3 3] ; [48  9],[4.85714286 1.14285714] ; [46.14285714 10.85714286],0
v2,1,0.058963,3.566303,[1 5] ; [32 24],[3.19354839 2.80645161] ; [29.80645161 26.19354839],0
r3,1,0.064842,3.408982,[4 2] ; [53  5],[5.34375 0.65625] ; [51.65625  6.34375],0
p9,1,0.113301,2.507566,[3 3] ; [45 12],[4.57142857 1.42857143] ; [43.42857143 13.57142857],0
p7,1,0.114636,2.489117,[2 4] ; [37 19],[3.77419355 2.22580645] ; [35.22580645 20.77419355],0
p4,1,0.129217,2.301884,[1 5] ; [28 29],[2.76190476 3.23809524] ; [26.23809524 30.76190476],0
n2,1,0.182422,1.777778,[2 2] ; [10  2],[3. 1.] ; [9. 3.],0
v3,1,0.218782,1.512346,[1 5] ; [23 31],[2.4 3.6] ; [21.6 32.4],0
a7,1,0.22189,1.492105,[3 3] ; [42 15],[4.28571429 1.71428571] ; [40.71428571 16.28571429],0
p8,1,0.225713,1.467673,[1 5] ; [24 33],[2.38095238 3.61904762] ; [22.61904762 34.38095238],0
n5,1,0.252639,1.308651,[3 3] ; [42 16],[4.21875 1.78125] ; [40.78125 17.21875],0
s7,1,0.254296,1.299549,[1 4] ; [26 30],[2.21311475 2.78688525] ; [24.78688525 31.21311475],0
a4,1,0.301408,1.067954,[1 5] ; [22 36],[2.15625 3.84375] ; [20.84375 37.15625],0
n3,1,0.301409,1.067949,[2 2] ; [10  3],[2.82352941 1.17647059] ; [9.17647059 3.82352941],0
d4,1,0.33636,0.924256,[4 2] ; [48 10],[4.875 1.125] ; [47.125 10.875],0
v1,1,0.345806,0.88879,[2 4] ; [30 26],[3.09677419 2.90322581] ; [28.90322581 27.09677419],0
b5,1,0.347958,0.880889,[2 4] ; [31 27],[3.09375 2.90625] ; [29.90625 28.09375],0
d5,1,0.362577,0.828947,[3 3] ; [39 18],[4. 2.] ; [38. 19.],0
p6,1,0.362577,0.828947,[1 5] ; [20 37],[2. 4.] ; [19. 38.],0
d1,1,0.391064,0.735632,[2 4] ; [30 28],[3. 3.] ; [29. 29.],0
a1,1,0.395924,0.72067,[1 5] ; [ 4 54],[0.46875 5.53125] ; [ 4.53125 53.46875],0
a3,1,0.397286,0.716525,[3 3] ; [39 19],[3.9375 2.0625] ; [38.0625 19.9375],0
n1,1,0.408961,0.681818,[2 2] ; [3 8],[1.33333333 2.66666667] ; [3.66666667 7.33333333],0
d3,1,0.415318,0.663525,[3 3] ; [38 19],[3.9047619 2.0952381] ; [37.0952381 19.9047619],0
p2,1,0.419058,0.652955,[4 2] ; [46 11],[4.76190476 1.23809524] ; [45.23809524 11.76190476],0
u2,1,0.427205,0.630409,[1 2] ; [11  8],[1.63636364 1.36363636] ; [10.36363636  8.63636364],0
a5,1,0.450779,0.568691,[3 3] ; [38 20],[3.84375 2.15625] ; [37.15625 20.84375],0
s3,1,0.46337,0.537743,[5 1] ; [40 18],[4.21875 1.78125] ; [40.78125 17.21875],0
n6,1,0.555483,0.347586,[3 2] ; [42 16],[3.57142857 1.42857143] ; [41.42857143 16.57142857],0
a6,1,0.564055,0.332732,[3 3] ; [36 22],[3.65625 2.34375] ; [35.34375 22.65625],0
d2,1,0.644573,0.212811,[2 4] ; [25 33],[2.53125 3.46875] ; [24.46875 33.53125],0
n4,1,0.693243,0.155597,[4 2] ; [43 15],[4.40625 1.59375] ; [42.59375 15.40625],0
b1,1,0.745805,0.10509,[3 3] ; [25 33],[2.625 3.375] ; [25.375 32.625],0
p3,1,0.802124,0.0628,[3 3] ; [25 31],[2.70967742 3.29032258] ; [25.29032258 30.70967742],0
r1,1,0.837317,0.042159,[4 2] ; [41 17],[4.21875 1.78125] ; [40.78125 17.21875],0
b4,1,0.87199,0.025963,[3 3] ; [31 27],[3.1875 2.8125] ; [30.8125 27.1875],0
b3,1,0.935466,0.006556,[1 1] ; [16 18],[0.94444444 1.05555556] ; [16.05555556 17.94444444],0
b2,1,0.935466,0.006556,[1 1] ; [16 18],[0.94444444 1.05555556] ; [16.05555556 17.94444444],0
s4,1,0.941155,0.005449,[1 5] ; [ 9 49],[0.9375 5.0625] ; [ 9.0625 48.9375],0
u1,1,0.971664,0.001262,[1 5] ; [10 48],[1.03125 4.96875] ; [ 9.96875 48.03125],0
