Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000187,13.962356,[72 34] ; [ 9 21],[63.13235294 42.86764706] ; [17.86764706 12.13235294],1
d3,1,0.000388,12.59079,[82 24] ; [12 16],[74.35820896 31.64179104] ; [19.64179104  8.35820896],1
p10,1,0.001203,10.486095,[90 14] ; [18 12],[83.82089552 20.17910448] ; [24.17910448  5.82089552],0
p2,1,0.001505,10.072848,[101   5] ; [23  7],[96.64705882  9.35294118] ; [27.35294118  2.64705882],0
s6,1,0.001884,9.659443,[81 21] ; [14 14],[74.53846154 27.46153846] ; [20.46153846  7.53846154],0
d1,1,0.00194,9.605735,[72 34] ; [11 19],[64.69117647 41.30882353] ; [18.30882353 11.69117647],0
n4,1,0.002897,8.871159,[90 16] ; [18 12],[84.17647059 21.82352941] ; [23.82352941  6.17647059],0
p8,1,0.003442,8.556851,[82 24] ; [15 15],[75.60294118 30.39705882] ; [21.39705882  8.60294118],0
n6,1,0.004123,8.228635,[96 10] ; [21  9],[91.19117647 14.80882353] ; [25.80882353  4.19117647],0
n5,1,0.004148,8.218078,[86 19] ; [17 13],[80.11111111 24.88888889] ; [22.88888889  7.11111111],0
b5,1,0.007265,7.206257,[52 54] ; [23  7],[58.45588235 47.54411765] ; [16.54411765 13.45588235],0
a5,1,0.007274,7.204011,[80 26] ; [15 15],[74.04411765 31.95588235] ; [20.95588235  9.04411765],0
v4,1,0.009543,6.718353,[105   1] ; [27  3],[102.88235294   3.11764706] ; [29.11764706  0.88235294],0
d5,1,0.010801,6.497849,[88 17] ; [18 11],[83.05970149 21.94029851] ; [22.94029851  6.05970149],0
s8,1,0.018759,5.5238,[59 47] ; [ 9 20],[53.39259259 52.60740741] ; [14.60740741 14.39259259],0
b4,1,0.0271,4.884424,[56 50] ; [ 9 21],[50.66176471 55.33823529] ; [14.33823529 15.66176471],0
a4,1,0.034323,4.478553,[58 47] ; [10 20],[52.88888889 52.11111111] ; [15.11111111 14.88888889],0
v1,1,0.034611,4.464286,[47 58] ; [ 7 23],[42. 63.] ; [12. 18.],0
p11,1,0.036026,4.395891,[89 17] ; [20 10],[84.95588235 21.04411765] ; [24.04411765  5.95588235],0
p9,1,0.036151,4.389989,[94 12] ; [22  8],[90.41176471 15.58823529] ; [25.58823529  4.41176471],0
p7,1,0.053827,3.718045,[91 14] ; [20  8],[87.63157895 17.36842105] ; [23.36842105  4.63157895],0
d2,1,0.072484,3.22585,[55 51] ; [10 20],[50.66176471 55.33823529] ; [14.33823529 15.66176471],0
n2,1,0.12289,2.380099,[15  7] ; [11  1],[16.82352941  5.17647059] ; [9.17647059 2.82352941],0
s5,1,0.123325,2.374575,[49 52] ; [ 9 19],[45.41085271 55.58914729] ; [12.58914729 15.41085271],0
a3,1,0.15469,2.025385,[74 31] ; [17 13],[70.77777778 34.22222222] ; [20.22222222  9.77777778],0
a7,1,0.167935,1.901281,[73 33] ; [16 13],[69.88148148 36.11851852] ; [19.11851852  9.88148148],0
p5,1,0.179398,1.802607,[22 84] ; [ 3 27],[19.48529412 86.51470588] ; [ 5.51470588 24.48529412],0
s4,1,0.191219,1.708201,[30 72] ; [ 5 24],[27.2519084 74.7480916] ; [ 7.7480916 21.2519084],0
d4,1,0.192662,1.697143,[88 17] ; [22  8],[85.55555556 19.44444444] ; [24.44444444  5.55555556],0
u3,1,0.258362,1.277513,[20 11] ; [6 7],[18.31818182 12.68181818] ; [7.68181818 5.31818182],0
b1,1,0.266424,1.235069,[51 55] ; [11 19],[48.32352941 57.67647059] ; [13.67647059 16.32352941],0
r4,1,0.323915,0.973071,[98  8] ; [26  4],[96.64705882  9.35294118] ; [27.35294118  2.64705882],0
s7,1,0.33953,0.912207,[61 41] ; [15 15],[58.72727273 43.27272727] ; [17.27272727 12.72727273],0
u1,1,0.350189,0.872772,[18 88] ; [ 3 27],[16.36764706 89.63235294] ; [ 4.63235294 25.36764706],0
p12,1,0.358233,0.844079,[ 9 97] ; [ 1 28],[ 7.85185185 98.14814815] ; [ 2.14814815 26.85185185],0
b2,1,0.392619,0.730814,[31 39] ; [10  8],[32.61363636 37.38636364] ; [8.38636364 9.61363636],0
b3,1,0.392619,0.730814,[31 39] ; [10  8],[32.61363636 37.38636364] ; [8.38636364 9.61363636],0
s2,1,0.407435,0.686272,[62 44] ; [15 15],[60.01470588 45.98529412] ; [16.98529412 13.01470588],0
r1,1,0.41833,0.655003,[85 21] ; [22  8],[83.39705882 22.60294118] ; [23.60294118  6.39705882],0
