Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,76.841393,[63 12] ; [ 38 124],[31.96202532 43.03797468] ; [69.03797468 92.96202532],1
s6,1,1e-06,25.112155,[67 12] ; [84 79],[49.29338843 29.70661157] ; [101.70661157  61.29338843],1
s2,1,8e-06,20.036956,[53 27] ; [ 60 107],[36.59919028 43.40080972] ; [76.40080972 90.59919028],1
p6,1,3.3e-05,17.221388,[37 41] ; [ 35 129],[23.20661157 54.79338843] ; [ 48.79338843 115.20661157],1
v1,1,9e-05,15.338101,[53 27] ; [64 98],[38.67768595 41.32231405] ; [78.32231405 83.67768595],1
a3,1,0.000166,14.177804,[63 17] ; [90 77],[49.55465587 30.44534413] ; [103.44534413  63.55465587],1
s3,1,0.000225,13.610482,[55 25] ; [72 93],[41.46938776 38.53061224] ; [85.53061224 79.46938776],1
v3,1,0.001252,10.411604,[36 42] ; [ 42 123],[25.03703704 52.96296296] ; [ 52.96296296 112.03703704],0
p5,1,0.001629,9.926303,[15 64] ; [ 10 157],[ 8.02845528 70.97154472] ; [ 16.97154472 150.02845528],0
v2,1,0.001651,9.901682,[48 27] ; [69 95],[36.71548117 38.28451883] ; [80.28451883 83.71548117],0
p9,1,0.003212,8.6828,[72  8] ; [120  43],[63.20987654 16.79012346] ; [128.79012346  34.20987654],0
p10,1,0.003712,8.419379,[68 11] ; [112  51],[58.76033058 20.23966942] ; [121.23966942  41.76033058],0
s5,1,0.00813,7.004677,[32 43] ; [ 42 122],[23.22175732 51.77824268] ; [ 50.77824268 113.22175732],0
b3,1,0.00968,6.69294,[27 23] ; [26 57],[19.92481203 30.07518797] ; [33.07518797 49.92481203],0
b2,1,0.00968,6.69294,[27 23] ; [26 57],[19.92481203 30.07518797] ; [33.07518797 49.92481203],0
n6,1,0.013212,6.140521,[69 11] ; [118  46],[61.31147541 18.68852459] ; [125.68852459  38.31147541],0
p7,1,0.015014,5.914776,[55 23] ; [87 74],[46.34309623 31.65690377] ; [95.65690377 65.34309623],0
a8,1,0.019732,5.435412,[18 58] ; [ 19 141],[11.91525424 64.08474576] ; [ 25.08474576 134.91525424],0
a2,1,0.02034,5.382514,[ 8 72] ; [  5 163],[ 4.19354839 75.80645161] ; [  8.80645161 159.19354839],0
p11,1,0.022313,5.221218,[67 13] ; [118  50],[59.67741935 20.32258065] ; [125.32258065  42.67741935],0
p4,1,0.02344,5.13558,[46 34] ; [69 95],[37.70491803 42.29508197] ; [77.29508197 86.70491803],0
r1,1,0.034699,4.459928,[65 15] ; [115  53],[58.06451613 21.93548387] ; [121.93548387  46.06451613],0
p8,1,0.038099,4.300603,[44 35] ; [69 97],[36.43673469 42.56326531] ; [76.56326531 89.43673469],0
n4,1,0.044637,4.032284,[61 19] ; [106  61],[54.08906883 25.91093117] ; [112.91093117  54.08906883],0
p12,1,0.050149,3.836472,[ 7 72] ; [  5 159],[ 3.90123457 75.09876543] ; [  8.09876543 155.90123457],0
n5,1,0.068652,3.31496,[59 21] ; [101  62],[52.67489712 27.32510288] ; [107.32510288  55.67489712],0
u3,1,0.081338,3.037954,[13  4] ; [40 35],[9.79347826 7.20652174] ; [43.20652174 31.79347826],0
p3,1,0.099581,2.712238,[39 41] ; [ 63 104],[33.03643725 46.96356275] ; [68.96356275 98.03643725],0
p2,1,0.105412,2.621689,[68 11] ; [129  38],[63.26422764 15.73577236] ; [133.73577236  33.26422764],0
a5,1,0.153844,2.033714,[51 29] ; [91 77],[45.80645161 34.19354839] ; [96.19354839 71.80645161],0
r4,1,0.164848,1.929179,[70 10] ; [135  33],[66.12903226 13.87096774] ; [138.87096774  29.12903226],0
a7,1,0.16674,1.912011,[48 31] ; [117  51],[52.77327935 26.22672065] ; [112.22672065  55.77327935],0
s4,1,0.16994,1.883469,[ 9 71] ; [ 30 136],[12.68292683 67.31707317] ; [ 26.31707317 139.68292683],0
u2,1,0.189521,1.72134,[12  4] ; [43 32],[9.67032967 6.32967033] ; [45.32967033 29.67032967],0
u1,1,0.220517,1.501,[ 5 75] ; [  5 163],[ 3.22580645 76.77419355] ; [  6.77419355 161.22580645],0
b4,1,0.258076,1.279048,[43 37] ; [103  65],[47.09677419 32.90322581] ; [98.90322581 69.09677419],0
p1,1,0.270217,1.215646,[ 6 73] ; [  7 159],[ 4.19183673 74.80816327] ; [  8.80816327 157.19183673],0
d2,1,0.32577,0.965638,[11 69] ; [ 16 151],[ 8.74493927 71.25506073] ; [ 18.25506073 148.74493927],0
r3,1,0.33265,0.938554,[76  4] ; [152  14],[74.14634146  5.85365854] ; [153.85365854  12.14634146],0
n2,1,0.371352,0.799134,[13  5] ; [33  7],[14.27586207  3.72413793] ; [31.72413793  8.27586207],0
b5,1,0.392611,0.730839,[44 36] ; [102  66],[47.09677419 32.90322581] ; [98.90322581 69.09677419],0
v4,1,0.407736,0.685392,[74  6] ; [148  18],[72.19512195  7.80487805] ; [149.80487805  16.19512195],0
n3,1,0.47111,0.519371,[13  5] ; [25 15],[11.79310345  6.20689655] ; [26.20689655 13.79310345],0
d5,1,0.506886,0.440491,[53 27] ; [104  64],[50.64516129 29.35483871] ; [106.35483871  61.64516129],0
a1,1,0.520797,0.412315,[ 4 76] ; [ 12 156],[ 5.16129032 74.83870968] ; [ 10.83870968 157.16129032],0
d3,1,0.586883,0.295238,[38 42] ; [86 82],[40. 40.] ; [84. 84.],0
n1,1,0.709083,0.139194,[ 6 12] ; [15 24],[ 6.63157895 11.36842105] ; [14.36842105 24.63157895],0
r2,1,0.766381,0.088276,[70  9] ; [144  21],[69.28688525  9.71311475] ; [144.71311475  20.28688525],0
b1,1,0.803095,0.062172,[32 48] ; [70 98],[32.90322581 47.09677419] ; [69.09677419 98.90322581],0
a4,1,0.827322,0.047584,[22 58] ; [ 44 124],[21.29032258 58.70967742] ; [ 44.70967742 123.29032258],0
a6,1,0.901061,0.015456,[46 34] ; [98 70],[46.4516129 33.5483871] ; [97.5483871 70.4516129],0
s1,1,0.971614,0.001266,[ 3 77] ; [  6 158],[ 2.95081967 77.04918033] ; [  6.04918033 157.95081967],0
