Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,48.122839,[23 59] ; [43  4],[41.95348837 40.04651163] ; [24.04651163 22.95348837],1
d5,1,0.0,38.94814,[35 47] ; [46  1],[51.48837209 30.51162791] ; [29.51162791 17.48837209],1
d2,1,0.0,34.079992,[22 60] ; [37  9],[37.796875 44.203125] ; [21.203125 24.796875],1
d4,1,0.0,30.53585,[39 43] ; [45  2],[53.39534884 28.60465116] ; [30.60465116 16.39534884],1
a5,1,3e-06,21.779101,[32 50] ; [39  9],[44.78461538 37.21538462] ; [26.21538462 21.78461538],1
a2,1,4.7e-05,16.581814,[ 5 77] ; [16 32],[13.24615385 68.75384615] ; [ 7.75384615 40.24615385],1
a4,1,0.001944,9.601921,[24 57] ; [27 20],[32.2734375 48.7265625] ; [18.7265625 28.2734375],0
a7,1,0.002093,9.465911,[37 45] ; [35 13],[45.41538462 36.58461538] ; [26.58461538 21.41538462],0
a3,1,0.004025,8.272424,[37 42] ; [35 13],[44.78740157 34.21259843] ; [27.21259843 20.78740157],0
s8,1,0.005392,7.742939,[ 8 72] ; [14 34],[13.75 66.25] ; [ 8.25 39.75],0
r1,1,0.027371,4.867274,[45 37] ; [35 12],[50.85271318 31.14728682] ; [29.14728682 17.85271318],0
r2,1,0.029049,4.764717,[62 20] ; [42  4],[66.625 15.375] ; [37.375  8.625],0
p8,1,0.035015,4.444444,[15 65] ; [17 31],[20. 60.] ; [12. 36.],0
n6,1,0.036751,4.361925,[44 38] ; [34 13],[49.58139535 32.41860465] ; [28.41860465 18.58139535],0
u3,1,0.039,4.260887,[20 25] ; [10  3],[23.27586207 21.72413793] ; [6.72413793 6.27586207],0
a6,1,0.043548,4.073994,[39 43] ; [31 16],[44.49612403 37.50387597] ; [25.50387597 21.49612403],0
u2,1,0.067079,3.353082,[15 30] ; [8 5],[17.84482759 27.15517241] ; [5.15517241 7.84482759],0
