Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.345053,[49 13] ; [ 8 21],[38.83516484 23.16483516] ; [18.16483516 10.83516484],1
a5,1,0.006092,7.522739,[34 28] ; [ 7 22],[27.93406593 34.06593407] ; [13.06593407 15.93406593],0
p9,1,0.015368,5.873773,[40 20] ; [11 17],[34.77272727 25.22727273] ; [16.22727273 11.77272727],0
a6,1,0.036033,4.395548,[36 26] ; [10 19],[31.34065934 30.65934066] ; [14.65934066 14.34065934],0
p10,1,0.040526,4.195721,[37 24] ; [10 17],[32.57954545 28.42045455] ; [14.42045455 12.57954545],0
a4,1,0.062518,3.4693,[20 42] ; [ 4 25],[16.35164835 45.64835165] ; [ 7.64835165 21.35164835],0
v1,1,0.099861,2.707757,[26 36] ; [ 7 22],[22.48351648 39.51648352] ; [10.51648352 18.48351648],0
u2,1,0.135223,2.231499,[ 8 23] ; [8 9],[10.33333333 20.66666667] ; [ 5.66666667 11.33333333],0
p2,1,0.140889,2.168217,[39 23] ; [22  6],[42.02222222 19.97777778] ; [18.97777778  9.02222222],0
v3,1,0.152897,2.043106,[18 44] ; [ 4 23],[15.3258427 46.6741573] ; [ 6.6741573 20.3258427],0
r3,1,0.163267,1.943702,[42 19] ; [24  5],[44.73333333 16.26666667] ; [21.26666667  7.73333333],0
s1,1,0.171424,1.870449,[ 2 59] ; [ 3 26],[ 3.38888889 57.61111111] ; [ 1.61111111 27.38888889],0
p3,1,0.201975,1.628038,[23 38] ; [ 7 22],[20.33333333 40.66666667] ; [ 9.66666667 19.33333333],0
v4,1,0.205728,1.601237,[48 14] ; [24  3],[50.15730337 11.84269663] ; [21.84269663  5.15730337],0
n1,1,0.217444,1.521162,[11 10] ; [4 9],[ 9.26470588 11.73529412] ; [5.73529412 7.26470588],0
s2,1,0.23249,1.425565,[ 7 55] ; [ 6 23],[ 8.85714286 53.14285714] ; [ 4.14285714 24.85714286],0
v2,1,0.234593,1.412792,[22 36] ; [ 7 21],[19.55813953 38.44186047] ; [ 9.44186047 18.55813953],0
p7,1,0.248157,1.333647,[29 32] ; [17 11],[31.52808989 29.47191011] ; [14.47191011 13.52808989],0
u3,1,0.271878,1.207245,[ 8 23] ; [ 7 10],[ 9.6875 21.3125] ; [ 5.3125 11.6875],0
d5,1,0.284178,1.147002,[25 37] ; [ 8 20],[22.73333333 39.26666667] ; [10.26666667 17.73333333],0
a2,1,0.298761,1.079718,[ 6 56] ; [ 1 28],[ 4.76923077 57.23076923] ; [ 2.23076923 26.76923077],0
b3,1,0.309158,1.03427,[15 23] ; [ 4 12],[13.37037037 24.62962963] ; [ 5.62962963 10.37037037],0
b2,1,0.309158,1.03427,[15 23] ; [ 4 12],[13.37037037 24.62962963] ; [ 5.62962963 10.37037037],0
s5,1,0.324023,0.97264,[ 3 59] ; [ 3 26],[ 4.08791209 57.91208791] ; [ 1.91208791 27.08791209],0
a8,1,0.368803,0.807692,[ 3 53] ; [ 3 25],[ 4. 52.] ; [ 2. 26.],0
a7,1,0.377577,0.778576,[35 27] ; [13 15],[33.06666667 28.93333333] ; [14.93333333 13.06666667],0
s7,1,0.393513,0.728061,[10 46] ; [ 3 25],[ 8.66666667 47.33333333] ; [ 4.33333333 23.66666667],0
a3,1,0.402089,0.702071,[31 30] ; [12 17],[29.14444444 31.85555556] ; [13.85555556 15.14444444],0
a1,1,0.408331,0.683656,[ 5 57] ; [ 1 28],[ 4.08791209 57.91208791] ; [ 1.91208791 27.08791209],0
n3,1,0.442695,0.589286,[15  6] ; [10  2],[15.90909091  5.09090909] ; [9.09090909 2.90909091],0
d3,1,0.453829,0.56107,[13 48] ; [ 8 20],[14.39325843 46.60674157] ; [ 6.60674157 21.39325843],0
n2,1,0.490843,0.474677,[16  6] ; [8 5],[15.08571429  6.91428571] ; [8.91428571 4.08571429],0
d2,1,0.491249,0.47379,[17 45] ; [ 6 23],[15.67032967 46.32967033] ; [ 7.32967033 21.67032967],0
s3,1,0.534392,0.386033,[16 46] ; [ 9 19],[17.22222222 44.77777778] ; [ 7.77777778 20.22222222],0
p1,1,0.535975,0.38305,[ 8 54] ; [ 5 23],[ 8.95555556 53.04444444] ; [ 4.04444444 23.95555556],0
n6,1,0.594677,0.2831,[42 20] ; [18 11],[40.87912088 21.12087912] ; [19.12087912  9.87912088],0
b5,1,0.629827,0.232296,[33 29] ; [17 12],[34.06593407 27.93406593] ; [15.93406593 13.06593407],0
r1,1,0.629827,0.232296,[29 33] ; [12 17],[27.93406593 34.06593407] ; [13.06593407 15.93406593],0
s4,1,0.662454,0.190556,[ 6 56] ; [ 2 27],[ 5.45054945 56.54945055] ; [ 2.54945055 26.45054945],0
b4,1,0.672773,0.178376,[27 35] ; [14 15],[27.93406593 34.06593407] ; [13.06593407 15.93406593],0
