Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.164499,[90  4] ; [20 14],[80.78125 13.21875] ; [29.21875  4.78125],1
d4,1,2.3e-05,17.905907,[80 13] ; [17 17],[71.03149606 21.96850394] ; [25.96850394  8.03149606],1
a3,1,0.00025,13.41418,[69 25] ; [13 21],[60.21875 33.78125] ; [21.78125 12.21875],1
d1,1,0.000635,11.671129,[57 37] ; [ 9 25],[48.46875 45.53125] ; [17.53125 16.46875],1
r2,1,0.000708,11.468355,[86  5] ; [24  9],[80.72580645 10.27419355] ; [29.27419355  3.72580645],1
p2,1,0.00122,10.45937,[87  7] ; [24 10],[81.515625 12.484375] ; [29.484375  4.515625],0
a5,1,0.001451,10.139219,[72 22] ; [16 18],[64.625 29.375] ; [23.375 10.625],0
d5,1,0.002942,8.843215,[74 19] ; [18 16],[67.37007874 25.62992126] ; [24.62992126  9.37007874],0
b2,1,0.003469,8.54286,[30 29] ; [ 3 18],[24.3375 34.6625] ; [ 8.6625 12.3375],0
b3,1,0.003469,8.54286,[30 29] ; [ 3 18],[24.3375 34.6625] ; [ 8.6625 12.3375],0
d2,1,0.003899,8.330295,[52 42] ; [ 9 25],[44.796875 49.203125] ; [16.203125 17.796875],0
n4,1,0.006822,7.319378,[81 13] ; [22 12],[75.640625 18.359375] ; [27.359375  6.640625],0
v3,1,0.008859,6.850984,[46 47] ; [ 8 26],[39.54330709 53.45669291] ; [14.45669291 19.54330709],0
p10,1,0.009777,6.67501,[84 10] ; [24 10],[79.3125 14.6875] ; [28.6875  5.3125],0
s5,1,0.012155,6.288164,[45 46] ; [ 8 25],[38.89516129 52.10483871] ; [14.10483871 18.89516129],0
s8,1,0.013477,6.10541,[59 35] ; [13 21],[52.875 41.125] ; [19.125 14.875],0
p3,1,0.015897,5.814267,[66 28] ; [16 18],[60.21875 33.78125] ; [21.78125 12.21875],0
s7,1,0.016462,5.752818,[56 34] ; [13 21],[50.08064516 39.91935484] ; [18.91935484 15.08064516],0
p9,1,0.02607,4.951356,[84 10] ; [25  9],[80.046875 13.953125] ; [28.953125  5.046875],0
d3,1,0.028529,4.795829,[51 43] ; [11 23],[45.53125 48.46875] ; [16.46875 17.53125],0
r3,1,0.041106,4.171638,[90  4] ; [29  5],[87.390625  6.609375] ; [31.609375  2.390625],0
v1,1,0.047494,3.927814,[54 39] ; [13 21],[49.06299213 43.93700787] ; [17.93700787 16.06299213],0
v2,1,0.056464,3.638318,[54 38] ; [13 20],[49.312 42.688] ; [17.688 15.312],0
p11,1,0.063077,3.454575,[80 14] ; [24 10],[76.375 17.625] ; [27.625  6.375],0
b5,1,0.08795,2.911494,[34 60] ; [18 16],[38.1875 55.8125] ; [13.8125 20.1875],0
a4,1,0.120302,2.413381,[42 52] ; [10 24],[38.1875 55.8125] ; [13.8125 20.1875],0
n5,1,0.123829,2.368209,[78 16] ; [24 10],[74.90625 19.09375] ; [27.09375  6.90625],0
p7,1,0.139068,2.188241,[79 14] ; [25  9],[76.15748031 16.84251969] ; [27.84251969  6.15748031],0
s3,1,0.185277,1.754777,[58 36] ; [16 17],[54.77165354 39.22834646] ; [19.22834646 13.77165354],0
s6,1,0.207542,1.588489,[65 26] ; [19 13],[62.14634146 28.85365854] ; [21.85365854 10.14634146],0
p6,1,0.228507,1.450128,[49 43] ; [14 20],[46. 46.] ; [17. 17.],0
n3,1,0.237625,1.394628,[8 8] ; [8 3],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
u2,1,0.264277,1.246212,[16  9] ; [10 11],[14.13043478 10.86956522] ; [11.86956522  9.13043478],0
s1,1,0.280897,1.162744,[ 2 92] ; [ 2 32],[ 2.9375 91.0625] ; [ 1.0625 32.9375],0
p4,1,0.293517,1.103419,[69 24] ; [22 12],[66.63779528 26.36220472] ; [24.36220472  9.63779528],0
v4,1,0.295004,1.096643,[90  4] ; [30  3],[88.81889764  5.18110236] ; [31.18110236  1.81889764],0
p1,1,0.30545,1.050249,[ 8 86] ; [ 5 29],[ 9.546875 84.453125] ; [ 3.453125 30.546875],0
b4,1,0.31076,1.027443,[51 43] ; [15 19],[48.46875 45.53125] ; [17.53125 16.46875],0
a2,1,0.352321,0.865081,[ 7 87] ; [ 1 33],[ 5.875 88.125] ; [ 2.125 31.875],0
s2,1,0.423421,0.640801,[49 45] ; [15 19],[47. 47.] ; [17. 17.],0
u1,1,0.449408,0.572144,[ 6 88] ; [ 1 33],[ 5.140625 88.859375] ; [ 1.859375 32.140625],0
a8,1,0.570857,0.321251,[12 79] ; [ 3 29],[11.09756098 79.90243902] ; [ 3.90243902 28.09756098],0
a1,1,0.574007,0.316023,[ 5 89] ; [ 1 33],[ 4.40625 89.59375] ; [ 1.59375 32.40625],0
p5,1,0.654463,0.200319,[17 77] ; [ 5 29],[16.15625 77.84375] ; [ 5.84375 28.15625],0
u3,1,0.685377,0.164136,[11 14] ; [ 8 13],[10.32608696 14.67391304] ; [ 8.67391304 12.32608696],0
n1,1,0.698791,0.149733,[8 9] ; [6 5],[8.5 8.5] ; [5.5 5.5],0
n6,1,0.704741,0.143587,[80 14] ; [28  6],[79.3125 14.6875] ; [28.6875  5.3125],0
s4,1,0.736761,0.112994,[22 72] ; [ 7 27],[21.296875 72.703125] ; [ 7.703125 26.296875],0
a6,1,0.756536,0.09612,[36 58] ; [12 22],[35.25 58.75] ; [12.75 21.25],0
b1,1,0.831532,0.045257,[45 49] ; [17 17],[45.53125 48.46875] ; [16.46875 17.53125],0
p12,1,0.906926,0.013669,[ 6 87] ; [ 2 32],[ 5.85826772 87.14173228] ; [ 2.14173228 31.85826772],0
n2,1,0.954001,0.003327,[11  6] ; [7 4],[10.92857143  6.07142857] ; [7.07142857 3.92857143],0
