Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,28.396268,[18 21] ; [83 10],[29.84090909  9.15909091] ; [71.15909091 21.84090909],1
n6,1,0.000632,11.678338,[25 14] ; [83 10],[31.90909091  7.09090909] ; [76.09090909 16.90909091],1
s4,1,0.003419,8.569067,[11 28] ; [ 8 85],[ 5.61363636 33.38636364] ; [13.38636364 79.61363636],0
d3,1,0.014224,6.010162,[31  8] ; [53 40],[24.81818182 14.18181818] ; [59.18181818 33.81818182],0
n2,1,0.062719,3.463975,[6 6] ; [17  4],[8.36363636 3.63636364] ; [14.63636364  6.36363636],0
s2,1,0.078049,3.105069,[14 25] ; [49 44],[18.61363636 20.38636364] ; [44.38636364 48.61363636],0
s7,1,0.111861,2.527736,[14 23] ; [47 41],[18.056 18.944] ; [42.944 45.056],0
r1,1,0.114501,2.490968,[26 13] ; [74 19],[29.54545455  9.45454545] ; [70.45454545 22.54545455],0
d4,1,0.120306,2.413339,[35  4] ; [72 20],[31.85496183  7.14503817] ; [75.14503817 16.85496183],0
u2,1,0.121447,2.398563,[8 2] ; [14 13],[5.94594595 4.05405405] ; [16.05405405 10.94594595],0
p5,1,0.13173,2.272002,[ 3 36] ; [ 2 90],[ 1.48854962 37.51145038] ; [ 3.51145038 88.48854962],0
b1,1,0.169734,1.885287,[11 28] ; [38 55],[14.47727273 24.52272727] ; [34.52272727 58.47727273],0
a8,1,0.220182,1.503185,[ 3 34] ; [14 71],[ 5.1557377 31.8442623] ; [11.8442623 73.1557377],0
s3,1,0.235157,1.409393,[17 22] ; [50 41],[20.1 18.9] ; [46.9 44.1],0
a2,1,0.245284,1.349969,[ 5 34] ; [20 73],[ 7.38636364 31.61363636] ; [17.61363636 75.38636364],0
u1,1,0.249323,1.327095,[ 3 36] ; [14 79],[ 5.02272727 33.97727273] ; [11.97727273 81.02272727],0
u3,1,0.258116,1.278832,[4 6] ; [17 11],[5.52631579 4.47368421] ; [15.47368421 12.52631579],0
v2,1,0.265201,1.241404,[26 13] ; [70 22],[28.58015267 10.41984733] ; [67.41984733 24.58015267],0
p7,1,0.26803,1.226803,[16 22] ; [46 41],[18.848 19.152] ; [43.152 43.848],0
p10,1,0.271366,1.209828,[27 12] ; [72 20],[29.47328244  9.52671756] ; [69.52671756 22.47328244],0
a7,1,0.27529,1.190196,[30  9] ; [62 30],[27.38931298 11.61068702] ; [64.61068702 27.38931298],0
s8,1,0.29607,1.091811,[15 24] ; [45 48],[17.72727273 21.27272727] ; [42.27272727 50.72727273],0
a5,1,0.300283,1.072937,[25 14] ; [68 25],[27.47727273 11.52272727] ; [65.52272727 27.47727273],0
p1,1,0.305098,1.051778,[ 2 37] ; [10 83],[ 3.54545455 35.45454545] ; [ 8.45454545 84.54545455],0
a1,1,0.305098,1.051778,[ 2 37] ; [10 83],[ 3.54545455 35.45454545] ; [ 8.45454545 84.54545455],0
