Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,68.456555,[260  16] ; [55 38],[235.6097561  40.3902439] ; [79.3902439 13.6097561],1
r2,1,0.0,30.464296,[266   9] ; [71 19],[253.90410959  21.09589041] ; [83.09589041  6.90410959],1
v4,1,0.0,29.102377,[266   9] ; [74 19],[254.07608696  20.92391304] ; [85.92391304  7.07608696],1
s6,1,5.4e-05,16.317498,[192  82] ; [43 49],[175.92896175  98.07103825] ; [59.07103825 32.92896175],1
a2,1,0.000257,13.357062,[ 82 194] ; [10 83],[ 68.81300813 207.18699187] ; [23.18699187 69.81300813],1
a5,1,0.000327,12.911016,[201  75] ; [49 44],[186.99186992  89.00813008] ; [63.00813008 29.99186992],1
r3,1,0.001001,10.825742,[265  10] ; [80 12],[258.51498638  16.48501362] ; [86.48501362  5.51498638],0
v2,1,0.001162,10.550407,[152 112] ; [34 56],[138.71186441 125.28813559] ; [47.28813559 42.71186441],0
u1,1,0.001427,10.171048,[ 66 210] ; [ 8 85],[ 55.3495935 220.6504065] ; [18.6504065 74.3495935],0
s8,1,0.002221,9.357002,[117 158] ; [23 70],[104.61956522 170.38043478] ; [35.38043478 57.61956522],0
s7,1,0.002907,8.865115,[130 136] ; [27 61],[117.97175141 148.02824859] ; [39.02824859 48.97175141],0
p10,1,0.005045,7.863073,[215  58] ; [59 33],[204.9369863  68.0630137] ; [69.0630137 22.9369863],0
a6,1,0.005905,7.57907,[197  79] ; [52 41],[186.24390244  89.75609756] ; [62.75609756 30.24390244],0
d4,1,0.006409,7.431623,[226  49] ; [64 29],[216.71195652  58.28804348] ; [73.28804348 19.71195652],0
d1,1,0.008584,6.907391,[162 114] ; [40 53],[151.08943089 124.91056911] ; [50.91056911 42.08943089],0
a4,1,0.012259,6.272991,[137 138] ; [32 60],[126.63487738 148.36512262] ; [42.36512262 49.63487738],0
a7,1,0.014192,6.014093,[199  76] ; [54 38],[189.57765668  85.42234332] ; [63.42234332 28.57765668],0
v3,1,0.015387,5.871596,[104 160] ; [23 68],[ 94.44507042 169.55492958] ; [32.55492958 58.44507042],0
s3,1,0.018362,5.561294,[152 119] ; [39 54],[142.20054945 128.79945055] ; [48.79945055 44.20054945],0
v1,1,0.02292,5.174539,[130 137] ; [31 58],[120.75 146.25] ; [40.25 48.75],0
n4,1,0.024871,5.03285,[216  60] ; [62 31],[207.93495935  68.06504065] ; [70.06504065 22.93495935],0
u3,1,0.025924,4.961113,[48 31] ; [12 20],[42.7027027 36.2972973] ; [17.2972973 14.7027027],0
d3,1,0.026135,4.947051,[191  85] ; [52 40],[182.25  93.75] ; [60.75 31.25],0
p7,1,0.034104,4.48947,[121 149] ; [30 63],[112.31404959 157.68595041] ; [38.68595041 54.31404959],0
u2,1,0.064235,3.42453,[43 35] ; [11 20],[38.64220183 39.35779817] ; [15.35779817 15.64220183],0
n5,1,0.077391,3.118861,[209  66] ; [62 31],[202.51358696  72.48641304] ; [68.48641304 24.51358696],0
n3,1,0.081524,3.034247,[59 16] ; [20 12],[55.37383178 19.62616822] ; [23.62616822  8.37383178],0
s2,1,0.082452,3.01589,[139 132] ; [38 55],[131.77747253 139.22252747] ; [45.22252747 47.77747253],0
d5,1,0.082586,3.013265,[227  49] ; [68 24],[221.25  54.75] ; [73.75 18.25],0
d2,1,0.084632,2.973618,[143 131] ; [38 53],[135.8739726 138.1260274] ; [45.1260274 45.8739726],0
p12,1,0.088363,2.903945,[ 19 257] ; [ 2 91],[ 15.70731707 260.29268293] ; [ 5.29268293 87.70731707],0
s5,1,0.112874,2.513518,[ 85 184] ; [20 68],[ 79.11764706 189.88235294] ; [25.88235294 62.11764706],0
p2,1,0.146605,2.107227,[202  73] ; [61 32],[196.53532609  78.46467391] ; [66.46467391 26.53532609],0
b1,1,0.174514,1.843735,[ 97 179] ; [40 53],[102.47154472 173.52845528] ; [34.52845528 58.47154472],0
p11,1,0.280129,1.166462,[203  73] ; [63 30],[198.95934959  77.04065041] ; [67.04065041 25.95934959],0
s1,1,0.324399,0.971129,[ 12 259] ; [ 2 91],[ 10.42307692 260.57692308] ; [ 3.57692308 89.42307692],0
p5,1,0.328463,0.954948,[ 16 256] ; [ 3 89],[ 14.1978022 257.8021978] ; [ 4.8021978 87.1978022],0
p4,1,0.340859,0.907197,[128 147] ; [38 55],[124.04891304 150.95108696] ; [41.95108696 51.04891304],0
b5,1,0.377169,0.779908,[176 100] ; [64 29],[179.51219512  96.48780488] ; [60.48780488 32.51219512],0
a3,1,0.393954,0.726703,[196  80] ; [61 31],[192.75  83.25] ; [64.25 27.75],0
p9,1,0.450986,0.568172,[216  58] ; [66 22],[213.44751381  60.55248619] ; [68.55248619 19.44751381],0
p6,1,0.549961,0.357387,[ 68 206] ; [20 72],[ 65.87978142 208.12021858] ; [22.12021858 69.87978142],0
b4,1,0.589038,0.291849,[169 107] ; [54 39],[166.79674797 109.20325203] ; [56.20325203 36.79674797],0
u4,1,0.627274,0.235776,[  5 271] ; [ 1 92],[  4.48780488 271.51219512] ; [ 1.51219512 91.48780488],0
b2,1,0.707689,0.140596,[ 66 105] ; [24 34],[ 67.20524017 103.79475983] ; [22.79475983 35.20524017],0
b3,1,0.707689,0.140596,[ 66 105] ; [24 34],[ 67.20524017 103.79475983] ; [22.79475983 35.20524017],0
p1,1,0.714316,0.134004,[ 15 261] ; [ 6 87],[ 15.70731707 260.29268293] ; [ 5.29268293 87.70731707],0
a8,1,0.717478,0.130922,[ 29 220] ; [ 9 79],[ 28.07715134 220.92284866] ; [ 9.92284866 78.07715134],0
s4,1,0.738071,0.111829,[ 48 224] ; [15 78],[ 46.94794521 225.05205479] ; [16.05205479 76.94794521],0
n2,1,0.792618,0.069123,[52 23] ; [23  9],[52.57009346 22.42990654] ; [22.42990654  9.57009346],0
p3,1,0.830443,0.045853,[ 98 177] ; [32 61],[ 97.14673913 177.85326087] ; [32.85326087 60.14673913],0
n1,1,0.882654,0.021787,[27 48] ; [12 20],[27.3364486 47.6635514] ; [11.6635514 20.3364486],0
a1,1,0.984726,0.000367,[ 12 264] ; [ 4 89],[ 11.96747967 264.03252033] ; [ 4.03252033 88.96747967],0
