Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-06,24.935987,[395  30] ; [38 15],[384.98953975  40.01046025] ; [48.01046025  4.98953975],1
n1,1,0.004793,7.955872,[41 38] ; [ 1 11],[36.46153846 42.53846154] ; [5.53846154 6.46153846],0
p4,1,0.005361,7.753442,[295 127] ; [27 26],[286.07157895 135.92842105] ; [35.92842105 17.07157895],0
v1,1,0.012455,6.244966,[254 160] ; [22 29],[245.72903226 168.27096774] ; [30.27096774 20.72903226],0
s5,1,0.020368,5.380048,[185 230] ; [13 35],[177.47300216 237.52699784] ; [20.52699784 27.47300216],0
v3,1,0.024491,5.059528,[186 225] ; [15 37],[178.42548596 232.57451404] ; [22.57451404 29.42548596],0
p8,1,0.04593,3.984143,[233 183] ; [22 31],[226.18336887 189.81663113] ; [28.81663113 24.18336887],0
p5,1,0.068536,3.317738,[ 73 348] ; [ 4 49],[ 68.39029536 352.60970464] ; [ 8.60970464 44.39029536],0
p2,1,0.073964,3.192794,[366  57] ; [41 12],[361.68277311  61.31722689] ; [45.31722689  7.68277311],0
r2,1,0.081489,3.034951,[405  18] ; [46  5],[402.47468354  20.52531646] ; [48.52531646  2.47468354],0
n3,1,0.110909,2.541217,[55 24] ; [11  1],[57.2967033 21.7032967] ; [8.7032967 3.2967033],0
p11,1,0.119944,2.418048,[351  75] ; [39 14],[346.84759916  79.15240084] ; [43.15240084  9.84759916],0
p3,1,0.138391,2.195762,[237 186] ; [24 29],[231.93907563 191.06092437] ; [29.06092437 23.93907563],0
p10,1,0.139802,2.180133,[364  57] ; [41 11],[360.4756871  60.5243129] ; [44.5243129  7.4756871],0
p12,1,0.142112,2.15494,[ 53 369] ; [ 3 50],[ 49.75157895 372.24842105] ; [ 6.24842105 46.75157895],0
p7,1,0.149229,2.080112,[281 130] ; [31 22],[276.36206897 134.63793103] ; [35.63793103 17.36206897],0
s7,1,0.152125,2.050809,[268 139] ; [29 23],[263.35294118 143.64705882] ; [33.64705882 18.35294118],0
p9,1,0.176414,1.827581,[375  45] ; [44  9],[372.05073996  47.94926004] ; [46.94926004  6.05073996],0
a3,1,0.178801,1.807563,[323 100] ; [36 17],[319.02731092 103.97268908] ; [39.97268908 13.02731092],0
b4,1,0.19593,1.672458,[250 176] ; [36 17],[254.35490605 171.64509395] ; [31.64509395 21.35490605],0
r1,1,0.219214,1.509507,[364  61] ; [42 11],[360.9832636  64.0167364] ; [45.0167364  7.9832636],0
u2,1,0.242584,1.365514,[63 39] ; [13  4],[65.14285714 36.85714286] ; [10.85714286  6.14285714],0
u1,1,0.287658,1.13055,[100 326] ; [ 9 44],[ 96.9394572 329.0605428] ; [12.0605428 40.9394572],0
b3,1,0.32744,0.958996,[103 168] ; [12 28],[100.20900322 170.79099678] ; [14.79099678 25.20900322],0
b2,1,0.32744,0.958996,[103 168] ; [12 28],[100.20900322 170.79099678] ; [14.79099678 25.20900322],0
s1,1,0.339467,0.912444,[ 19 399] ; [ 4 49],[ 20.4118896 397.5881104] ; [ 2.5881104 50.4118896],0
n2,1,0.352377,0.864878,[63 17] ; [8 4],[61.73913043 18.26086957] ; [9.26086957 2.73913043],0
d1,1,0.353756,0.859938,[269 157] ; [30 23],[265.91649269 160.08350731] ; [33.08350731 19.91649269],0
p1,1,0.36348,0.825835,[ 40 383] ; [ 3 50],[ 38.21218487 384.78781513] ; [ 4.78781513 48.21218487],0
a8,1,0.427288,0.630184,[ 67 319] ; [ 6 41],[ 65.07621247 320.92378753] ; [ 7.92378753 39.07621247],0
v2,1,0.496723,0.461931,[241 169] ; [28 24],[238.72294372 171.27705628] ; [30.27705628 21.72294372],0
d5,1,0.509529,0.435035,[358  65] ; [43 10],[356.35084034  66.64915966] ; [44.64915966  8.35084034],0
s2,1,0.554172,0.349895,[280 142] ; [33 20],[278.07578947 143.92421053] ; [34.92421053 18.07578947],0
a6,1,0.554172,0.349895,[280 142] ; [33 20],[278.07578947 143.92421053] ; [34.92421053 18.07578947],0
s4,1,0.58633,0.296112,[ 74 344] ; [11 42],[ 75.43524416 342.56475584] ; [ 9.56475584 43.43524416],0
p6,1,0.605407,0.266917,[185 234] ; [21 31],[183.25690021 235.74309979] ; [22.74309979 29.25690021],0
s3,1,0.645118,0.21211,[296 121] ; [36 17],[294.56170213 122.43829787] ; [37.43829787 15.56170213],0
a4,1,0.698339,0.150206,[203 219] ; [24 29],[201.67157895 220.32842105] ; [25.32842105 27.67157895],0
a5,1,0.706186,0.142117,[327  98] ; [42 11],[328.08577406  96.91422594] ; [40.91422594 12.08577406],0
s8,1,0.707961,0.140322,[244 179] ; [32 21],[245.26890756 177.73109244] ; [30.73109244 22.26890756],0
a7,1,0.719921,0.128569,[302 122] ; [39 14],[303.11111111 120.88888889] ; [37.88888889 15.11111111],0
b1,1,0.735952,0.113717,[171 255] ; [20 33],[169.86638831 256.13361169] ; [21.13361169 31.86638831],0
b5,1,0.795837,0.066946,[265 161] ; [32 21],[264.13778706 161.86221294] ; [32.86221294 20.13778706],0
u3,1,0.839308,0.041119,[64 39] ; [11  6],[64.375 38.625] ; [10.625  6.375],0
r4,1,0.841089,0.040201,[397  29] ; [49  4],[396.65135699  29.34864301] ; [49.34864301  3.65135699],0
v4,1,0.854807,0.033485,[411  14] ; [51  2],[410.77405858  14.22594142] ; [51.22594142  1.77405858],0
a2,1,0.87156,0.026139,[117 309] ; [14 39],[116.50521921 309.49478079] ; [14.49478079 38.50521921],0
d4,1,0.882941,0.02168,[355  67] ; [45  8],[355.36842105  66.63157895] ; [44.63157895  8.36842105],0
d3,1,0.895238,0.017339,[299 124] ; [37 16],[298.58823529 124.41176471] ; [37.41176471 15.58823529],0
a1,1,0.898542,0.016257,[ 26 400] ; [ 3 50],[ 25.79123173 400.20876827] ; [ 3.20876827 49.79123173],0
d2,1,0.986299,0.000295,[224 199] ; [28 25],[223.94117647 199.05882353] ; [28.05882353 24.94117647],0
