Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3.1e-05,17.378225,[ 6 67] ; [19 29],[15.08264463 57.91735537] ; [ 9.91735537 38.08264463],1
s8,1,3.5e-05,17.120672,[ 6 68] ; [19 30],[15.04065041 58.95934959] ; [ 9.95934959 39.04065041],1
s2,1,8.8e-05,15.382452,[ 6 68] ; [18 31],[14.43902439 59.56097561] ; [ 9.56097561 39.43902439],1
p4,1,0.000162,14.226613,[15 57] ; [26 22],[24.6 47.4] ; [16.4 31.6],1
r4,1,0.000573,11.862071,[36 38] ; [39 10],[45.12195122 28.87804878] ; [29.87804878 19.12195122],1
p3,1,0.000696,11.500116,[15 58] ; [24 24],[23.52892562 49.47107438] ; [15.47107438 32.52892562],1
n6,1,0.003612,8.469175,[37 35] ; [38 11],[44.62809917 27.37190083] ; [30.37190083 18.62809917],0
p7,1,0.003653,8.44848,[19 52] ; [25 22],[26.47457627 44.52542373] ; [17.52542373 29.47457627],0
r3,1,0.003957,8.303475,[45 28] ; [42  7],[52.05737705 20.94262295] ; [34.94262295 14.05737705],0
s7,1,0.005766,7.62202,[11 57] ; [18 28],[17.29824561 50.70175439] ; [11.70175439 34.29824561],0
v1,1,0.006839,7.314905,[20 54] ; [25 24],[27.07317073 46.92682927] ; [17.92682927 31.07317073],0
d4,1,0.007033,7.264407,[47 27] ; [42  7],[53.54471545 20.45528455] ; [35.45528455 13.54471545],0
v2,1,0.009697,6.689815,[22 50] ; [26 22],[28.8 43.2] ; [19.2 28.8],0
r2,1,0.01003,6.629491,[54 17] ; [46  3],[59.16666667 11.83333333] ; [40.83333333  8.16666667],0
p10,1,0.011697,6.35624,[27 44] ; [29 18],[33.69491525 37.30508475] ; [22.30508475 24.69491525],0
p9,1,0.015581,5.849609,[27 41] ; [30 18],[33.4137931 34.5862069] ; [23.5862069 24.4137931],0
v3,1,0.018364,5.561068,[18 52] ; [22 25],[23.93162393 46.06837607] ; [16.06837607 30.93162393],0
p2,1,0.020547,5.364825,[33 40] ; [32 16],[39.21487603 33.78512397] ; [25.78512397 22.21487603],0
a5,1,0.020809,5.342749,[39 35] ; [36 13],[45.12195122 28.87804878] ; [29.87804878 19.12195122],0
v4,1,0.021087,5.319605,[53 20] ; [44  5],[58.04098361 14.95901639] ; [38.95901639 10.04098361],0
r1,1,0.03178,4.610329,[39 33] ; [36 13],[44.62809917 27.37190083] ; [30.37190083 18.62809917],0
a4,1,0.033289,4.530869,[26 47] ; [27 22],[31.71311475 41.28688525] ; [21.28688525 27.71311475],0
d5,1,0.082463,3.015683,[51 22] ; [41  8],[55.04918033 17.95081967] ; [36.95081967 12.04918033],0
u3,1,0.096491,2.762601,[ 9 18] ; [10  7],[11.65909091 15.34090909] ; [7.34090909 9.65909091],0
d3,1,0.125414,2.348372,[40 32] ; [34 15],[44.03305785 27.96694215] ; [29.96694215 19.03305785],0
n3,1,0.134332,2.241715,[11 16] ; [12  7],[13.5 13.5] ; [9.5 9.5],0
n2,1,0.140009,2.177858,[12 17] ; [12  7],[14.5 14.5] ; [9.5 9.5],0
u1,1,0.150499,2.067181,[ 7 67] ; [ 9 40],[ 9.62601626 64.37398374] ; [ 6.37398374 42.62601626],0
s4,1,0.215404,1.534733,[ 9 65] ; [10 39],[11.43089431 62.56910569] ; [ 7.56910569 41.43089431],0
d2,1,0.24475,1.353028,[28 45] ; [24 25],[31.1147541 41.8852459] ; [20.8852459 28.1147541],0
p6,1,0.326241,0.963759,[14 58] ; [13 35],[16.2 55.8] ; [10.8 37.2],0
b2,1,0.337201,0.921043,[17 26] ; [ 7 18],[15.17647059 27.82352941] ; [ 8.82352941 16.17647059],0
b3,1,0.337201,0.921043,[17 26] ; [ 7 18],[15.17647059 27.82352941] ; [ 8.82352941 16.17647059],0
a6,1,0.355856,0.852466,[44 30] ; [25 24],[41.51219512 32.48780488] ; [27.48780488 21.51219512],0
a8,1,0.383643,0.758997,[ 3 62] ; [ 4 42],[ 4.0990991 60.9009009] ; [ 2.9009009 43.0990991],0
n4,1,0.388992,0.742092,[42 31] ; [32 17],[44.27868852 28.72131148] ; [29.72131148 19.27868852],0
u2,1,0.404921,0.693663,[10 17] ; [8 8],[11.30232558 15.69767442] ; [6.69767442 9.30232558],0
a7,1,0.434649,0.61037,[45 27] ; [34 15],[47.00826446 24.99173554] ; [31.99173554 17.00826446],0
b1,1,0.437215,0.603581,[37 37] ; [28 21],[39.10569106 34.89430894] ; [25.89430894 23.10569106],0
b5,1,0.461261,0.542834,[45 29] ; [33 16],[46.92682927 27.07317073] ; [31.07317073 17.92682927],0
s1,1,0.536342,0.382361,[ 5 68] ; [ 2 46],[ 4.2231405 68.7768595] ; [ 2.7768595 45.2231405],0
p8,1,0.582202,0.302688,[18 55] ; [14 34],[19.30578512 53.69421488] ; [12.69421488 35.30578512],0
d1,1,0.686537,0.16286,[32 42] ; [23 26],[33.08943089 40.91056911] ; [21.91056911 27.08943089],0
a1,1,0.690046,0.159035,[ 6 68] ; [ 5 44],[ 6.61788618 67.38211382] ; [ 4.38211382 44.61788618],0
p12,1,0.763311,0.090683,[ 1 72] ; [ 1 47],[ 1.20661157 71.79338843] ; [ 0.79338843 47.20661157],0
b4,1,0.793903,0.068249,[39 35] ; [27 22],[39.70731707 34.29268293] ; [26.29268293 22.70731707],0
a2,1,0.846163,0.037642,[17 57] ; [12 37],[17.44715447 56.55284553] ; [11.55284553 37.44715447],0
n5,1,0.868303,0.027494,[43 30] ; [29 19],[43.43801653 29.56198347] ; [28.56198347 19.43801653],0
n1,1,0.933009,0.007066,[ 9 19] ; [ 6 12],[ 9.13043478 18.86956522] ; [ 5.86956522 12.13043478],0
p1,1,0.99395,5.7e-05,[ 3 71] ; [ 2 47],[ 3.00813008 70.99186992] ; [ 1.99186992 47.00813008],0
a3,1,0.997435,1e-05,[47 25] ; [32 17],[47.00826446 24.99173554] ; [31.99173554 17.00826446],0
