Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,2e-06,22.738545,[ 11 105] ; [8 6],[16.95384615 99.04615385] ; [ 2.04615385 11.95384615],1
p6,1,6.8e-05,15.856624,[30 85] ; [11  3],[36.5503876 78.4496124] ; [4.4496124 9.5503876],1
p12,1,0.00073,11.410952,[  5 111] ; [ 4 10],[  8.03076923 107.96923077] ; [ 0.96923077 13.03076923],1
s5,1,0.001095,10.660417,[23 90] ; [8 5],[27.8015873 85.1984127] ; [3.1984127 9.8015873],0
p4,1,0.013352,6.12181,[59 57] ; [12  2],[63.35384615 52.64615385] ; [7.64615385 6.35384615],0
b3,1,0.036692,4.364669,[15 51] ; [5 4],[17.6 48.4] ; [2.4 6.6],0
b2,1,0.036692,4.364669,[15 51] ; [5 4],[17.6 48.4] ; [2.4 6.6],0
p3,1,0.04098,4.176858,[49 66] ; [10  4],[52.59689922 62.40310078] ; [6.40310078 7.59689922],0
p8,1,0.043204,4.087395,[57 57] ; [11  3],[60.5625 53.4375] ; [7.4375 6.5625],0
s1,1,0.069828,3.287047,[  4 111] ; [ 2 12],[  5.34883721 109.65116279] ; [ 0.65116279 13.34883721],0
d5,1,0.095375,2.781235,[60 55] ; [ 4 10],[57.05426357 57.94573643] ; [6.94573643 7.05426357],0
b5,1,0.13264,2.26133,[66 50] ; [5 9],[63.35384615 52.64615385] ; [7.64615385 6.35384615],0
n5,1,0.198646,1.6523,[90 25] ; [13  1],[91.82170543 23.17829457] ; [11.17829457  2.82170543],0
b4,1,0.232948,1.422769,[55 61] ; [9 5],[57.10769231 58.89230769] ; [6.89230769 7.10769231],0
s6,1,0.262769,1.25411,[69 44] ; [10  3],[70.84920635 42.15079365] ; [8.15079365 4.84920635],0
p11,1,0.273506,1.19908,[94 22] ; [13  1],[95.47692308 20.52307692] ; [11.52307692  2.47692308],0
s7,1,0.298668,1.080133,[50 58] ; [8 5],[51.76859504 56.23140496] ; [6.23140496 6.76859504],0
n6,1,0.30152,1.067458,[95 21] ; [13  1],[96.36923077 19.63076923] ; [11.63076923  2.36923077],0
r4,1,0.30152,1.067458,[95 21] ; [13  1],[96.36923077 19.63076923] ; [11.63076923  2.36923077],0
r1,1,0.378192,0.77657,[77 38] ; [11  3],[78.4496124 36.5503876] ; [9.5503876 4.4496124],0
p7,1,0.393915,0.726822,[68 46] ; [10  4],[69.46875 44.53125] ; [8.53125 5.46875],0
n1,1,0.400628,0.70644,[12 17] ; [2 1],[12.6875 16.3125] ; [1.3125 1.6875],0
a4,1,0.408526,0.683087,[28 88] ; [ 2 12],[26.76923077 89.23076923] ; [ 3.23076923 10.76923077],0
r3,1,0.413868,0.667661,[106   9] ; [12  2],[105.19379845   9.80620155] ; [12.80620155  1.19379845],0
v3,1,0.436808,0.604653,[37 77] ; [6 8],[38.296875 75.703125] ; [4.703125 9.296875],0
n2,1,0.47546,0.509259,[25  5] ; [2 1],[24.54545455  5.45454545] ; [2.45454545 0.54545455],0
n4,1,0.53699,0.381147,[82 34] ; [11  3],[82.98461538 33.01538462] ; [10.01538462  3.98461538],0
s4,1,0.562046,0.336175,[24 91] ; [ 2 12],[23.17829457 91.82170543] ; [ 2.82170543 11.17829457],0
a5,1,0.597065,0.279445,[66 50] ; [9 5],[66.92307692 49.07692308] ; [8.07692308 5.92307692],0
d3,1,0.598776,0.276846,[32 82] ; [ 3 11],[31.171875 82.828125] ; [ 3.828125 10.171875],0
u3,1,0.622601,0.242229,[29 26] ; [3 4],[28.38709677 26.61290323] ; [3.61290323 3.38709677],0
d1,1,0.633259,0.227667,[  5 111] ; [ 1 13],[  5.35384615 110.64615385] ; [ 0.64615385 13.35384615],0
s2,1,0.646835,0.209913,[48 66] ; [5 9],[47.203125 66.796875] ; [5.796875 8.203125],0
u2,1,0.688202,0.161039,[27 28] ; [4 3],[27.5 27.5] ; [3.5 3.5],0
s8,1,0.728954,0.120074,[47 69] ; [5 9],[46.4 69.6] ; [5.6 8.4],0
s3,1,0.746913,0.104143,[58 56] ; [6 7],[57.4488189 56.5511811] ; [6.5511811 6.4488189],0
b1,1,0.775435,0.08138,[46 70] ; [5 9],[45.50769231 70.49230769] ; [5.49230769 8.50769231],0
v2,1,0.844754,0.038344,[51 57] ; [7 7],[51.3442623 56.6557377] ; [6.6557377 7.3442623],0
a2,1,0.851127,0.035224,[ 10 106] ; [ 1 13],[  9.81538462 106.18461538] ; [ 1.18461538 12.81538462],0
a3,1,0.854789,0.033493,[61 55] ; [7 7],[60.67692308 55.32307692] ; [7.32307692 6.67692308],0
a6,1,0.871562,0.026139,[72 44] ; [9 5],[72.27692308 43.72307692] ; [8.72307692 5.27692308],0
d2,1,0.876847,0.024015,[27 89] ; [ 3 11],[26.76923077 89.23076923] ; [ 3.23076923 10.76923077],0
r2,1,0.92808,0.008147,[106   9] ; [13  1],[106.08527132   8.91472868] ; [12.91472868  1.08527132],0
a8,1,0.936792,0.006289,[ 9 99] ; [ 1 12],[ 8.92561983 99.07438017] ; [ 1.07438017 11.92561983],0
a7,1,0.944942,0.004769,[75 40] ; [9 5],[74.88372093 40.11627907] ; [9.11627907 4.88372093],0
p2,1,0.948667,0.004145,[92 24] ; [11  3],[91.90769231 24.09230769] ; [11.09230769  2.90769231],0
v1,1,0.949765,0.003969,[55 57] ; [7 7],[55.11111111 56.88888889] ; [6.88888889 7.11111111],0
