Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.003415,8.571429,[ 9 15] ; [19  5],[14. 10.] ; [14. 10.],0
p3,1,0.014306,6.0,[ 4 20] ; [12 12],[ 8. 16.] ; [ 8. 16.],0
b1,1,0.020921,5.333333,[ 8 16] ; [16  8],[12. 12.] ; [12. 12.],0
p6,1,0.02299,5.169231,[ 3 21] ; [10 14],[ 6.5 17.5] ; [ 6.5 17.5],0
b4,1,0.04168,4.148148,[17  7] ; [10 14],[13.5 10.5] ; [13.5 10.5],0
s4,1,0.064458,3.418803,[ 2 22] ; [ 7 17],[ 4.5 19.5] ; [ 4.5 19.5],0
p4,1,0.145729,2.116402,[11 13] ; [16  8],[13.5 10.5] ; [13.5 10.5],0
r3,1,0.196904,1.665192,[18  5] ; [22  2],[19.57446809  3.42553191] ; [20.42553191  3.57446809],0
n6,1,0.204008,1.613445,[19  5] ; [15  9],[17.  7.] ; [17.  7.],0
p10,1,0.21022,1.56991,[16  8] ; [19  4],[17.87234043  6.12765957] ; [17.12765957  5.87234043],0
r4,1,0.233038,1.422222,[ 7 17] ; [11 13],[ 9. 15.] ; [ 9. 15.],0
a6,1,0.246566,1.342657,[11 13] ; [15  9],[13. 11.] ; [13. 11.],0
a3,1,0.246566,1.342657,[15  9] ; [11 13],[13. 11.] ; [13. 11.],0
p5,1,0.267257,1.230769,[ 3 21] ; [ 6 18],[ 4.5 19.5] ; [ 4.5 19.5],0
p1,1,0.29627,1.090909,[ 3 21] ; [ 1 23],[ 2. 22.] ; [ 2. 22.],0
p2,1,0.30289,1.061425,[17  7] ; [20  4],[18.5  5.5] ; [18.5  5.5],0
s7,1,0.32155,0.98263,[ 5 17] ; [ 8 14],[ 6.5 15.5] ; [ 6.5 15.5],0
d1,1,0.350201,0.872727,[ 9 15] ; [ 6 18],[ 7.5 16.5] ; [ 7.5 16.5],0
r1,1,0.365258,0.819734,[ 7 17] ; [10 14],[ 8.5 15.5] ; [ 8.5 15.5],0
v4,1,0.365258,0.819734,[14 10] ; [17  7],[15.5  8.5] ; [15.5  8.5],0
a5,1,0.375912,0.784029,[13 11] ; [16  8],[14.5  9.5] ; [14.5  9.5],0
n4,1,0.375912,0.784029,[16  8] ; [13 11],[14.5  9.5] ; [14.5  9.5],0
d2,1,0.375912,0.784029,[11 13] ; [ 8 16],[ 9.5 14.5] ; [ 9.5 14.5],0
a8,1,0.412906,0.670417,[ 2 20] ; [ 4 19],[ 2.93333333 19.06666667] ; [ 3.06666667 19.93333333],0
u3,1,0.421374,0.646479,[2 7] ; [5 8],[2.86363636 6.13636364] ; [4.13636364 8.86363636],0
s3,1,0.463509,0.537408,[ 6 18] ; [ 8 15],[ 7.14893617 16.85106383] ; [ 6.85106383 16.14893617],0
p9,1,0.52404,0.405934,[18  6] ; [19  4],[18.89361702  5.10638298] ; [18.10638298  4.89361702],0
a4,1,0.525358,0.403361,[ 6 18] ; [ 8 16],[ 7. 17.] ; [ 7. 17.],0
n5,1,0.525358,0.403361,[18  6] ; [16  8],[17.  7.] ; [17.  7.],0
s8,1,0.540291,0.375,[ 7 17] ; [ 9 15],[ 8. 16.] ; [ 8. 16.],0
u1,1,0.550985,0.355556,[ 2 22] ; [ 1 23],[ 1.5 22.5] ; [ 1.5 22.5],0
a2,1,0.550985,0.355556,[ 1 23] ; [ 2 22],[ 1.5 22.5] ; [ 1.5 22.5],0
d3,1,0.562343,0.335664,[14 10] ; [12 12],[13. 11.] ; [13. 11.],0
u2,1,0.59536,0.282051,[6 3] ; [10  3],[6.54545455 2.45454545] ; [9.45454545 3.54545455],0
b3,1,0.662521,0.190476,[ 3 11] ; [ 4 10],[ 3.5 10.5] ; [ 3.5 10.5],0
b2,1,0.662521,0.190476,[ 3 11] ; [ 4 10],[ 3.5 10.5] ; [ 3.5 10.5],0
v2,1,0.663789,0.188954,[11 13] ; [12 11],[11.74468085 12.25531915] ; [11.25531915 11.74468085],0
v3,1,0.745333,0.105495,[ 6 18] ; [ 7 17],[ 6.5 17.5] ; [ 6.5 17.5],0
d4,1,0.755497,0.09697,[17  7] ; [16  8],[16.5  7.5] ; [16.5  7.5],0
d5,1,0.767878,0.087114,[14 10] ; [15  9],[14.5  9.5] ; [14.5  9.5],0
v1,1,0.767878,0.087114,[ 9 15] ; [10 14],[ 9.5 14.5] ; [ 9.5 14.5],0
a7,1,0.771084,0.084656,[13 11] ; [14 10],[13.5 10.5] ; [13.5 10.5],0
s6,1,0.771084,0.084656,[14 10] ; [13 11],[13.5 10.5] ; [13.5 10.5],0
b5,1,0.772638,0.083478,[12 12] ; [13 11],[12.5 11.5] ; [12.5 11.5],0
n1,1,0.857596,0.032197,[3 6] ; [3 5],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
n2,1,0.892795,0.018162,[7 2] ; [6 2],[6.88235294 2.11764706] ; [6.11764706 1.88235294],0
n3,1,0.892795,0.018162,[7 2] ; [6 2],[6.88235294 2.11764706] ; [6.11764706 1.88235294],0
s2,1,0.924292,0.009031,[ 7 17] ; [ 7 16],[ 7.14893617 16.85106383] ; [ 6.85106383 16.14893617],0
s5,1,1.0,0.0,[ 6 18] ; [ 6 18],[ 6. 18.] ; [ 6. 18.],0
