Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,28.048989,[126 103] ; [75 11],[146.12380952  82.87619048] ; [54.87619048 31.12380952],1
s2,1,1e-06,23.716587,[ 90 137] ; [60 25],[109.13461538 117.86538462] ; [40.86538462 44.13461538],1
s7,1,6.5e-05,15.945283,[ 83 137] ; [52 30],[ 98.34437086 121.65562914] ; [36.65562914 45.34437086],1
s4,1,0.000225,13.60731,[ 21 208] ; [21 62],[ 30.82692308 198.17307692] ; [11.17307692 71.82692308],1
s8,1,0.001239,10.430575,[ 70 160] ; [43 43],[ 82.24683544 147.75316456] ; [30.75316456 55.24683544],0
p5,1,0.002264,9.32193,[  8 218] ; [11 75],[ 13.76282051 212.23717949] ; [ 5.23717949 80.76282051],0
s3,1,0.003221,8.678059,[112 116] ; [57 27],[123.5 104.5] ; [45.5 38.5],0
a3,1,0.003966,8.299133,[151  78] ; [71 15],[161.39047619  67.60952381] ; [60.60952381 25.39047619],0
p12,1,0.005403,7.739307,[  8 222] ; [10 76],[ 13.10126582 216.89873418] ; [ 4.89873418 81.10126582],0
d4,1,0.006981,7.277825,[162  66] ; [73 12],[171.18210863  56.81789137] ; [63.81789137 21.18210863],0
a5,1,0.008226,6.98369,[149  81] ; [69 17],[158.67088608  71.32911392] ; [59.32911392 26.67088608],0
d2,1,0.010689,6.516291,[104 124] ; [52 32],[114. 114.] ; [42. 42.],0
r1,1,0.012163,6.286897,[159  70] ; [71 14],[167.7388535  61.2611465] ; [62.2611465 22.7388535],0
r4,1,0.014922,5.925661,[178  52] ; [77  9],[185.60126582  44.39873418] ; [69.39873418 16.60126582],0
p4,1,0.015243,5.888148,[ 92 138] ; [47 38],[101.49206349 128.50793651] ; [37.50793651 47.49206349],0
p1,1,0.018003,5.595824,[ 10 220] ; [10 76],[ 14.55696203 215.44303797] ; [ 5.44303797 80.55696203],0
p2,1,0.027166,4.880228,[151  77] ; [68 18],[159.01910828  68.98089172] ; [59.98089172 26.01910828],0
d1,1,0.040527,4.195667,[112 118] ; [53 33],[120.09493671 109.90506329] ; [44.90506329 41.09493671],0
n6,1,0.04197,4.136431,[186  43] ; [78  8],[191.92380952  37.07619048] ; [72.07619048 13.92380952],0
a2,1,0.044047,4.054743,[ 52 178] ; [29 57],[ 58.9556962 171.0443038] ; [22.0443038 63.9556962],0
v4,1,0.045078,4.015705,[197  32] ; [81  5],[202.1015873  26.8984127] ; [75.8984127 10.1015873],0
n4,1,0.051704,3.785319,[191  39] ; [78  7],[196.41269841  33.58730159] ; [72.58730159 12.41269841],0
d5,1,0.051824,3.781442,[174  55] ; [74 12],[180.29206349  48.70793651] ; [67.70793651 18.29206349],0
p3,1,0.054209,3.706239,[ 72 157] ; [37 49],[ 79.24126984 149.75873016] ; [29.75873016 56.24126984],0
n2,1,0.064009,3.430333,[51 25] ; [20  3],[54.50505051 21.49494949] ; [16.49494949  6.50505051],0
d3,1,0.065216,3.399496,[136  92] ; [61 25],[143.04458599  84.95541401] ; [53.95541401 32.04458599],0
p10,1,0.078047,3.105099,[162  66] ; [68 16],[168.07692308  59.92307692] ; [61.92307692 22.07692308],0
p6,1,0.141587,2.160623,[ 44 183] ; [23 62],[ 48.74679487 178.25320513] ; [18.25320513 66.74679487],0
p7,1,0.163265,1.943721,[ 90 135] ; [41 43],[ 95.38834951 129.61165049] ; [35.61165049 48.38834951],0
a4,1,0.17962,1.800768,[100 128] ; [45 41],[105.2866242 122.7133758] ; [39.7133758 46.2866242],0
p9,1,0.187767,1.735054,[171  56] ; [70 15],[175.34294872  51.65705128] ; [65.65705128 19.34294872],0
a1,1,0.204727,1.608325,[ 17 213] ; [ 3 83],[ 14.55696203 215.44303797] ; [ 5.44303797 80.55696203],0
r2,1,0.211164,1.56343,[205  24] ; [80  5],[207.85031847  21.14968153] ; [77.14968153  7.85031847],0
r3,1,0.273785,1.197685,[200  29] ; [78  7],[202.74522293  26.25477707] ; [75.25477707  9.74522293],0
u3,1,0.349768,0.874298,[37 42] ; [9 6],[38.65957447 40.34042553] ; [7.34042553 7.65957447],0
u1,1,0.389376,0.740891,[ 41 189] ; [19 67],[ 43.67088608 186.32911392] ; [16.32911392 69.67088608],0
n3,1,0.421352,0.646541,[49 25] ; [18  6],[50.59183673 23.40816327] ; [16.40816327  7.59183673],0
b2,1,0.426346,0.632757,[59 86] ; [19 36],[56.55 88.45] ; [21.45 33.55],0
b3,1,0.426346,0.632757,[59 86] ; [19 36],[56.55 88.45] ; [21.45 33.55],0
a8,1,0.43641,0.605703,[ 30 181] ; [ 8 67],[ 28.03496503 182.96503497] ; [ 9.96503497 65.03496503],0
u2,1,0.448506,0.574426,[36 42] ; [8 6],[37.30434783 40.69565217] ; [6.69565217 7.30434783],0
v1,1,0.497333,0.460622,[104 118] ; [43 41],[106.64705882 115.35294118] ; [40.35294118 43.64705882],0
v3,1,0.508254,0.43766,[ 84 138] ; [28 55],[ 81.52131148 140.47868852] ; [30.47868852 52.52131148],0
b4,1,0.508728,0.436682,[135  95] ; [54 32],[137.56329114  92.43670886] ; [51.43670886 34.56329114],0
a6,1,0.531757,0.391034,[154  75] ; [61 25],[156.3015873  72.6984127] ; [58.6984127 27.3015873],0
p11,1,0.606638,0.2651,[162  68] ; [58 28],[160.12658228  69.87341772] ; [59.87341772 26.12658228],0
n1,1,0.730782,0.118395,[31 44] ; [10 12],[31.70103093 43.29896907] ; [ 9.29896907 12.70103093],0
b1,1,0.87342,0.025381,[ 94 136] ; [36 50],[ 94.62025316 135.37974684] ; [35.37974684 50.62025316],0
a7,1,0.875471,0.024559,[151  79] ; [55 30],[150.41269841  79.58730159] ; [55.58730159 29.41269841],0
s1,1,0.876488,0.024156,[ 10 217] ; [ 4 79],[ 10.2516129 216.7483871] ; [ 3.7483871 79.2516129],0
b5,1,0.881263,0.022311,[145  85] ; [55 31],[145.56962025  84.43037975] ; [54.43037975 31.56962025],0
u4,1,0.93502,0.006647,[  5 225] ; [ 2 84],[  5.09493671 224.90506329] ; [ 1.90506329 84.09493671],0
v2,1,0.974109,0.001053,[106 113] ; [40 43],[105.87417219 113.12582781] ; [40.12582781 42.87417219],0
