Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,52.219309,[ 1 45] ; [76 41],[21.73006135 24.26993865] ; [55.26993865 61.73006135],1
d5,1,0.0,35.227349,[14 32] ; [93 24],[30.19631902 15.80368098] ; [76.80368098 40.19631902],1
d3,1,0.0,28.82746,[ 8 38] ; [75 42],[23.42331288 22.57668712] ; [59.57668712 57.42331288],1
d2,1,0.003201,8.689008,[13 33] ; [62 53],[21.42857143 24.57142857] ; [53.57142857 61.42857143],0
a4,1,0.005906,7.578678,[11 34] ; [56 60],[18.72670807 26.27329193] ; [48.27329193 67.72670807],0
a7,1,0.006201,7.491084,[19 26] ; [77 40],[26.66666667 18.33333333] ; [69.33333333 47.66666667],0
a2,1,0.008237,6.981193,[ 3 43] ; [29 88],[ 9.03067485 36.96932515] ; [22.96932515 94.03067485],0
r3,1,0.011356,6.408791,[29 16] ; [97 20],[35. 10.] ; [91. 26.],0
v2,1,0.012145,6.289505,[11 31] ; [54 57],[17.84313725 24.15686275] ; [47.15686275 63.84313725],0
u1,1,0.013763,6.068336,[ 1 45] ; [19 98],[ 5.64417178 40.35582822] ; [ 14.35582822 102.64417178],0
a3,1,0.021038,5.323606,[21 23] ; [79 38],[27.32919255 16.67080745] ; [72.67080745 44.32919255],0
u2,1,0.02545,4.992988,[ 9 16] ; [24 13],[13.30645161 11.69354839] ; [19.69354839 17.30645161],0
n5,1,0.029801,4.720711,[36  9] ; [72 44],[30.1863354 14.8136646] ; [77.8136646 38.1863354],0
s1,1,0.030001,4.709219,[ 7 38] ; [  6 110],[ 3.63354037 41.36645963] ; [  9.36645963 106.63354037],0
s7,1,0.045498,4.000083,[ 9 34] ; [42 69],[14.24025974 28.75974026] ; [36.75974026 74.24025974],0
n6,1,0.062703,3.464396,[24 21] ; [80 36],[29.06832298 15.93167702] ; [74.93167702 41.06832298],0
b4,1,0.06516,3.40091,[21 25] ; [72 45],[26.24539877 19.75460123] ; [66.75460123 50.24539877],0
s8,1,0.077296,3.12087,[ 9 37] ; [39 77],[13.62962963 32.37037037] ; [34.37037037 81.62962963],0
a5,1,0.106481,2.605691,[24 22] ; [77 40],[28.50306748 17.49693252] ; [72.49693252 44.50306748],0
a6,1,0.160432,1.970148,[24 22] ; [75 42],[27.93865031 18.06134969] ; [71.06134969 45.93865031],0
s3,1,0.162432,1.951442,[14 30] ; [51 65],[17.875 26.125] ; [47.125 68.875],0
s5,1,0.163035,1.945847,[ 5 40] ; [23 89],[ 8.02547771 36.97452229] ; [19.97452229 92.02547771],0
