Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.485469,[141  16] ; [6 8],[134.96491228  22.03508772] ; [12.03508772  1.96491228],1
r1,1,0.000741,11.384391,[112  43] ; [ 4 10],[106.39053254  48.60946746] ; [9.60946746 4.39053254],1
p10,1,0.012343,6.260965,[113  39] ; [6 8],[108.96385542  43.03614458] ; [10.03614458  3.96385542],0
b1,1,0.013375,6.118783,[59 98] ; [10  4],[63.35087719 93.64912281] ; [5.64912281 8.35087719],0
v1,1,0.022875,5.177984,[70 83] ; [ 2 12],[65.96407186 87.03592814] ; [6.03592814 7.96407186],0
a3,1,0.025617,4.981685,[82 74] ; [ 3 11],[78. 78.] ; [7. 7.],0
s3,1,0.038364,4.2888,[76 75] ; [ 3 11],[72.2969697 78.7030303] ; [6.7030303 7.2969697],0
u2,1,0.050799,3.814886,[31 44] ; [8 3],[34.01162791 40.98837209] ; [4.98837209 6.01162791],0
a7,1,0.066646,3.363749,[95 61] ; [5 9],[91.76470588 64.23529412] ; [8.23529412 5.76470588],0
n4,1,0.088251,2.905983,[112  44] ; [7 7],[109.2  46.8] ; [9.8 4.2],0
p4,1,0.094135,2.802198,[81 75] ; [ 4 10],[78. 78.] ; [7. 7.],0
s6,1,0.09895,2.722379,[89 63] ; [5 9],[86.07228916 65.92771084] ; [7.92771084 6.07228916],0
s7,1,0.107928,2.584302,[59 88] ; [ 2 10],[56.39622642 90.60377358] ; [4.60377358 7.39622642],0
s8,1,0.108128,2.581367,[ 55 100] ; [ 2 12],[ 52.27810651 102.72189349] ; [4.72189349 9.27810651],0
n6,1,0.121406,2.399095,[128  29] ; [9 5],[125.78362573  31.21637427] ; [11.21637427  2.78362573],0
v3,1,0.131445,2.275358,[ 52 101] ; [ 2 12],[ 49.47305389 103.52694611] ; [4.52694611 9.47305389],0
s5,1,0.139966,2.17833,[ 37 114] ; [ 1 13],[ 34.77575758 116.22424242] ; [ 3.22424242 10.77575758],0
v2,1,0.144654,2.127736,[65 83] ; [ 3 10],[62.50931677 85.49068323] ; [5.49068323 7.50931677],0
u3,1,0.14686,2.104567,[38 37] ; [3 8],[35.75581395 39.24418605] ; [5.24418605 5.75581395],0
a8,1,0.170017,1.882796,[ 15 129] ; [ 3 10],[ 16.50955414 127.49044586] ; [ 1.49044586 11.50955414],0
a5,1,0.18582,1.750455,[85 72] ; [5 9],[82.63157895 74.36842105] ; [7.36842105 6.63157895],0
p6,1,0.18589,1.749892,[ 48 106] ; [ 2 12],[ 45.83333333 108.16666667] ; [4.16666667 9.83333333],0
a6,1,0.198066,1.65658,[95 62] ; [6 8],[92.73099415 64.26900585] ; [8.26900585 5.73099415],0
n1,1,0.251118,1.317076,[18 26] ; [1 5],[16.72 27.28] ; [2.28 3.72],0
p3,1,0.267576,1.229133,[68 87] ; [ 4 10],[66.03550296 88.96449704] ; [5.96449704 8.03550296],0
n2,1,0.283272,1.151323,[38  7] ; [4 2],[37.05882353  7.94117647] ; [4.94117647 1.05882353],0
p9,1,0.317911,0.997522,[116  36] ; [9 5],[114.45783133  37.54216867] ; [10.54216867  3.45783133],0
a4,1,0.414949,0.664578,[ 37 118] ; [ 2 12],[ 35.76923077 119.23076923] ; [ 3.23076923 10.76923077],0
p7,1,0.460225,0.545346,[92 61] ; [7 7],[90.7005988 62.2994012] ; [8.2994012 5.7005988],0
b5,1,0.563875,0.333039,[91 66] ; [7 7],[89.97660819 67.02339181] ; [8.02339181 5.97660819],0
p5,1,0.645266,0.211921,[ 16 139] ; [ 2 12],[ 16.50887574 138.49112426] ; [ 1.49112426 12.50887574],0
p2,1,0.684268,0.165362,[119  37] ; [10  4],[118.37647059  37.62352941] ; [10.62352941  3.37647059],0
b4,1,0.690388,0.158666,[81 76] ; [8 6],[81.71345029 75.28654971] ; [7.28654971 6.71345029],0
r3,1,0.693244,0.155596,[140  17] ; [12  2],[139.55555556  17.44444444] ; [12.44444444  1.55555556],0
s4,1,0.72306,0.125579,[ 28 127] ; [ 2 12],[ 27.5147929 127.4852071] ; [ 2.4852071 11.5147929],0
d2,1,0.757862,0.095042,[ 39 118] ; [ 4 10],[ 39.47953216 117.52046784] ; [ 3.52046784 10.47953216],0
d5,1,0.777189,0.08008,[73 83] ; [6 8],[72.49411765 83.50588235] ; [6.50588235 7.49411765],0
p8,1,0.782043,0.076539,[71 81] ; [6 8],[70.5060241 81.4939759] ; [6.4939759 7.5060241],0
p11,1,0.799707,0.064377,[117  40] ; [10  4],[116.60233918  40.39766082] ; [10.39766082  3.60233918],0
n5,1,0.810478,0.057509,[116  40] ; [10  4],[115.62352941  40.37647059] ; [10.37647059  3.62352941],0
n3,1,0.85879,0.031654,[37  6] ; [5 1],[36.85714286  6.14285714] ; [5.14285714 0.85714286],0
b2,1,0.85916,0.031486,[24 70] ; [2 5],[24.1980198 69.8019802] ; [1.8019802 5.1980198],0
b3,1,0.85916,0.031486,[24 70] ; [2 5],[24.1980198 69.8019802] ; [1.8019802 5.1980198],0
d3,1,0.947109,0.004401,[ 43 112] ; [ 4 10],[ 43.10650888 111.89349112] ; [ 3.89349112 10.10650888],0
