Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,94.918077,[ 57 200] ; [210 127],[115.52020202 141.47979798] ; [151.47979798 185.52020202],1
v1,1,0.0,49.898995,[106 150] ; [237 100],[148.07419899 107.92580101] ; [194.92580101 142.07419899],1
p10,1,1.6e-05,18.673747,[198  62] ; [302  36],[217.39130435  42.60869565] ; [282.60869565  55.39130435],1
r3,1,1.9e-05,18.316885,[228  32] ; [330  11],[241.39767055  18.60232945] ; [316.60232945  24.39767055],1
p7,1,0.000197,13.855453,[147 111] ; [238  94],[168.3559322  89.6440678] ; [216.6440678 115.3559322],1
p9,1,0.000219,13.658267,[205  53] ; [304  33],[220.7092437  37.2907563] ; [288.2907563  48.7092437],1
p3,1,0.000345,12.809113,[119 141] ; [205 134],[140.63439065 119.36560935] ; [183.36560935 155.63439065],1
p11,1,0.000447,12.323942,[192  70] ; [291  52],[209.16694215  52.83305785] ; [273.83305785  69.16694215],1
d4,1,0.000498,12.122021,[195  65] ; [293  47],[211.46666667  48.53333333] ; [276.53333333  63.46666667],1
r4,1,0.002692,9.00548,[221  41] ; [316  27],[232.55206612  29.44793388] ; [304.44793388  38.55206612],0
r1,1,0.003815,8.369751,[197  64] ; [291  52],[210.87417219  50.12582781] ; [277.12582781  65.87417219],0
d1,1,0.004412,8.105929,[146 116] ; [230 113],[162.82975207  99.17024793] ; [213.17024793 129.82975207],0
s1,1,0.004732,7.979076,[ 16 242] ; [  6 330],[  9.55555556 248.44444444] ; [ 12.44444444 323.55555556],0
s8,1,0.004784,7.959509,[106 155] ; [176 161],[123.08026756 137.91973244] ; [158.91973244 178.08026756],0
a5,1,0.007511,7.146487,[188  74] ; [277  65],[201.70529801  60.29470199] ; [263.29470199  78.70529801],0
a7,1,0.008474,6.930414,[169  93] ; [253  87],[183.66112957  78.33887043] ; [238.33887043 101.66112957],0
p2,1,0.009907,6.651584,[205  55] ; [295  45],[216.66666667  43.33333333] ; [283.33333333  56.66666667],0
b1,1,0.010326,6.57776,[121 141] ; [123 220],[105.6661157 156.3338843] ; [138.3338843 204.6661157],0
n3,1,0.011091,6.450627,[39 26] ; [44 10],[45.33613445 19.66386555] ; [37.66386555 16.33613445],0
s7,1,0.013453,6.108553,[123 128] ; [190 130],[137.58844133 113.41155867] ; [175.41155867 144.58844133],0
d5,1,0.014886,5.929942,[202  58] ; [292  50],[213.35548173  46.64451827] ; [280.64451827  61.35548173],0
p4,1,0.016401,5.759314,[155 106] ; [232 105],[168.90802676  92.09197324] ; [218.09197324 118.90802676],0
d3,1,0.017218,5.67405,[162  99] ; [243  98],[175.589701  85.410299] ; [229.410299 111.589701],0
v4,1,0.028857,4.77611,[238  24] ; [325  16],[244.62023217  17.37976783] ; [318.37976783  22.62023217],0
p8,1,0.03951,4.238818,[131 129] ; [196 137],[143.37268128 116.62731872] ; [183.62731872 149.37268128],0
s2,1,0.044587,4.034189,[126 135] ; [190 146],[138.15075377 122.84924623] ; [177.84924623 158.15075377],0
a3,1,0.045166,4.012421,[181  78] ; [263  78],[191.66  67.34] ; [252.34  88.66],0
p6,1,0.05686,3.626675,[ 94 166] ; [147 188],[105.31092437 154.68907563] ; [135.68907563 199.31092437],0
s4,1,0.057683,3.602768,[ 46 210] ; [ 42 297],[ 37.86218487 218.13781513] ; [ 50.13781513 288.86218487],0
s5,1,0.071944,3.238103,[ 82 172] ; [130 199],[ 92.36363636 161.63636364] ; [119.63636364 209.36363636],0
p12,1,0.07409,3.189994,[ 18 242] ; [ 38 301],[ 24.30717863 235.69282137] ; [ 31.69282137 307.30717863],0
n6,1,0.074479,3.181432,[230  30] ; [317  25],[236.24584718  23.75415282] ; [310.75415282  31.24584718],0
d2,1,0.082713,3.010772,[127 132] ; [191 149],[137.49916528 121.50083472] ; [180.50083472 159.49916528],0
u1,1,0.117598,2.449019,[ 46 216] ; [ 78 265],[ 53.69917355 208.30082645] ; [ 70.30082645 272.69917355],0
s6,1,0.138701,2.192307,[169  86] ; [241  94],[177.20338983  77.79661017] ; [232.79661017 102.20338983],0
n2,1,0.18266,1.775845,[48 20] ; [43 10],[51.14049587 16.85950413] ; [39.85950413 13.14049587],0
u4,1,0.260277,1.267283,[  4 258] ; [ 10 333],[  6.06280992 255.93719008] ; [  7.93719008 335.06280992],0
a2,1,0.262207,1.257068,[ 62 200] ; [ 95 248],[ 67.99008264 194.00991736] ; [ 89.00991736 253.99008264],0
n1,1,0.265903,1.237762,[36 30] ; [23 29],[33. 33.] ; [26. 26.],0
p1,1,0.273713,1.198046,[ 30 231] ; [ 30 311],[ 26.01328904 234.98671096] ; [ 33.98671096 307.01328904],0
b4,1,0.298151,1.082444,[144 118] ; [203 140],[150.27107438 111.72892562] ; [196.72892562 146.27107438],0
a6,1,0.301814,1.066161,[170  91] ; [235 105],[175.88186356  85.11813644] ; [229.11813644 110.88186356],0
a8,1,0.302011,1.065294,[ 36 205] ; [ 55 246],[ 40.46309963 200.53690037] ; [ 50.53690037 250.46309963],0
u2,1,0.378626,0.775158,[39 42] ; [43 35],[41.77358491 39.22641509] ; [40.22641509 37.77358491],0
r2,1,0.550593,0.356256,[244  16] ; [321  17],[245.65217391  14.34782609] ; [319.34782609  18.65217391],0
u3,1,0.575561,0.313465,[42 39] ; [45 35],[43.77018634 37.22981366] ; [43.22981366 36.77018634],0
a4,1,0.599547,0.275679,[122 137] ; [168 173],[125.18333333 133.81666667] ; [164.81666667 176.18333333],0
a1,1,0.622393,0.242519,[ 15 247] ; [ 23 320],[ 16.45619835 245.54380165] ; [ 21.54380165 321.45619835],0
b5,1,0.705932,0.142375,[156 106] ; [199 144],[153.73553719 108.26446281] ; [201.26446281 141.73553719],0
p5,1,0.775426,0.081387,[ 40 218] ; [ 50 291],[ 38.76460768 219.23539232] ; [ 51.23539232 289.76460768],0
s3,1,0.916278,0.011051,[150 109] ; [192 142],[149.37268128 109.62731872] ; [192.62731872 141.37268128],0
b2,1,0.967569,0.001653,[ 66 100] ; [ 89 136],[ 65.8056266 100.1943734] ; [ 89.1943734 135.8056266],0
b3,1,0.967569,0.001653,[ 66 100] ; [ 89 136],[ 65.8056266 100.1943734] ; [ 89.1943734 135.8056266],0
