Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,4.2e-05,16.788754,[27 29] ; [284  96],[39.94495413 16.05504587] ; [271.05504587 108.94495413],1
a5,1,0.000385,12.605466,[33 23] ; [307  76],[43.37129841 12.62870159] ; [296.62870159  86.37129841],1
d1,1,0.001896,9.64717,[25 31] ; [253 130],[35.46241458 20.53758542] ; [242.53758542 140.46241458],0
d2,1,0.003812,8.371461,[17 39] ; [195 187],[27.10502283 28.89497717] ; [184.89497717 197.10502283],0
a2,1,0.004794,7.955566,[ 4 52] ; [ 91 292],[12.11845103 43.88154897] ; [ 82.88154897 300.11845103],0
u1,1,0.004961,7.893759,[ 2 54] ; [ 71 312],[ 9.31207289 46.68792711] ; [ 63.68792711 319.31207289],0
a4,1,0.007737,7.093319,[15 41] ; [174 207],[24.21967963 31.78032037] ; [164.78032037 216.21967963],0
a6,1,0.010503,6.547525,[29 27] ; [263 118],[37.4187643 18.5812357] ; [254.5812357 126.4187643],0
r2,1,0.031461,4.627616,[52  4] ; [372   8],[54.4587156  1.5412844] ; [369.5412844  10.4587156],0
b1,1,0.037359,4.333949,[14 42] ; [151 232],[21.04783599 34.95216401] ; [143.95216401 239.04783599],0
v2,1,0.03893,4.263923,[26 29] ; [229 141],[33. 22.] ; [222. 148.],0
d3,1,0.045754,3.990621,[34 22] ; [281 101],[40.2739726 15.7260274] ; [274.7260274 107.2739726],0
a7,1,0.050157,3.836215,[36 20] ; [292  90],[41.93607306 14.06392694] ; [286.06392694  95.93607306],0
d5,1,0.061426,3.49846,[41 15] ; [318  63],[46.00457666  9.99542334] ; [312.99542334  68.00457666],0
n4,1,0.07143,3.249845,[40 16] ; [312  70],[45.00456621 10.99543379] ; [306.99543379  75.00456621],0
u3,1,0.07288,3.216924,[12 17] ; [59 39],[16.21259843 12.78740157] ; [54.78740157 43.21259843],0
p2,1,0.076743,3.132565,[48  8] ; [354  28],[51.39726027  4.60273973] ; [350.60273973  31.39726027],0
d4,1,0.090606,2.863576,[43 13] ; [326  55],[47.28604119  8.71395881] ; [321.71395881  59.28604119],0
p4,1,0.096057,2.769817,[36 20] ; [285  96],[41.13501144 14.86498856] ; [279.86498856 101.13501144],0
n6,1,0.104209,2.639909,[53  3] ; [331  49],[49.32110092  6.67889908] ; [334.67889908  45.32110092],0
v1,1,0.106552,2.60463,[28 28] ; [230 145],[33.52204176 22.47795824] ; [224.47795824 150.52204176],0
s7,1,0.106663,2.60298,[22 30] ; [198 167],[27.43405276 24.56594724] ; [192.56594724 172.43405276],0
r3,1,0.145027,2.123797,[53  3] ; [374   8],[54.59360731  1.40639269] ; [372.40639269   9.59360731],0
s8,1,0.14704,2.102688,[23 33] ; [195 184],[28.06436782 27.93563218] ; [189.93563218 189.06436782],0
a1,1,0.150315,2.069053,[ 5 51] ; [ 17 366],[ 2.80637813 53.19362187] ; [ 19.19362187 363.80637813],0
n1,1,0.164742,1.930147,[3 9] ; [24 27],[5.14285714 6.85714286] ; [21.85714286 29.14285714],0
b4,1,0.182691,1.775599,[37 19] ; [217 166],[32.40091116 23.59908884] ; [221.59908884 161.40091116],0
s3,1,0.20335,1.618151,[28 28] ; [223 155],[32.38709677 23.61290323] ; [218.61290323 159.38709677],0
p7,1,0.250712,1.319332,[43 13] ; [314  64],[46.06451613  9.93548387] ; [310.93548387  67.06451613],0
p3,1,0.280923,1.162618,[32 24] ; [246 135],[35.62471396 20.37528604] ; [242.37528604 138.62471396],0
n2,1,0.286785,1.134652,[8 4] ; [42 10],[9.375 2.625] ; [40.625 11.375],0
a8,1,0.33411,0.9329,[ 6 48] ; [ 56 289],[ 8.39097744 45.60902256] ; [ 53.60902256 291.39097744],0
s5,1,0.359998,0.837901,[18 35] ; [150 220],[21.04964539 31.95035461] ; [146.95035461 223.04964539],0
s2,1,0.365861,0.817673,[26 30] ; [201 179],[29.1559633 26.8440367] ; [197.8440367 182.1559633],0
p5,1,0.383381,0.759834,[12 44] ; [ 64 319],[ 9.69476082 46.30523918] ; [ 66.30523918 316.69476082],0
n3,1,0.439996,0.596292,[10  2] ; [37 14],[8.95238095 3.04761905] ; [38.04761905 12.95238095],0
b5,1,0.450204,0.570139,[34 22] ; [212 171],[31.38041002 24.61958998] ; [214.61958998 168.38041002],0
b2,1,0.572537,0.318457,[11 22] ; [ 88 141],[12.46946565 20.53053435] ; [ 86.53053435 142.46946565],0
b3,1,0.572537,0.318457,[11 22] ; [ 88 141],[12.46946565 20.53053435] ; [ 86.53053435 142.46946565],0
p6,1,0.587374,0.294464,[29 26] ; [185 194],[27.11981567 27.88018433] ; [186.88018433 192.11981567],0
s1,1,0.592008,0.287219,[ 2 54] ; [  9 371],[ 1.41284404 54.58715596] ; [  9.58715596 370.41284404],0
n5,1,0.596955,0.279612,[43 13] ; [305  77],[44.49315068 11.50684932] ; [303.50684932  78.49315068],0
p12,1,0.606257,0.265661,[ 7 49] ; [ 39 342],[ 5.89473684 50.10526316] ; [ 40.10526316 340.89473684],0
u4,1,0.641443,0.21686,[ 1 55] ; [ 11 372],[ 1.53075171 54.46924829] ; [ 10.46924829 372.53075171],0
u2,1,0.644543,0.21285,[15 14] ; [56 43],[16.0859375 12.9140625] ; [54.9140625 44.0859375],0
p11,1,0.694171,0.154607,[47  9] ; [329  54],[47.96355353  8.03644647] ; [328.03644647  54.96355353],0
