Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.68908,[14 20] ; [73 12],[24.85714286  9.14285714] ; [62.14285714 22.85714286],1
r3,1,3e-06,21.992231,[21 13] ; [80  4],[29.10169492  4.89830508] ; [71.89830508 12.10169492],1
v4,1,9e-06,19.800605,[21 13] ; [80  5],[28.85714286  5.14285714] ; [72.14285714 12.85714286],1
p11,1,9e-06,19.649628,[ 8 26] ; [58 27],[18.85714286 15.14285714] ; [47.14285714 37.85714286],1
p4,1,2.4e-05,17.864175,[ 3 31] ; [43 42],[13.14285714 20.85714286] ; [32.85714286 52.14285714],1
r2,1,0.000148,14.392835,[23 11] ; [79  5],[29.38983051  4.61016949] ; [72.61016949 11.38983051],1
s8,1,0.000367,12.693333,[ 2 32] ; [33 52],[10. 24.] ; [25. 60.],1
s1,1,0.000719,11.438567,[ 6 28] ; [ 1 81],[ 2.05172414 31.94827586] ; [ 4.94827586 77.05172414],1
s6,1,0.001428,10.168785,[ 9 25] ; [50 35],[16.85714286 17.14285714] ; [42.14285714 42.85714286],0
p9,1,0.003919,8.320783,[17 17] ; [64 19],[23.53846154 10.46153846] ; [57.46153846 25.53846154],0
p10,1,0.005695,7.644272,[14 20] ; [57 26],[20.63247863 13.36752137] ; [50.36752137 32.63247863],0
p3,1,0.007351,7.185223,[ 5 28] ; [35 50],[11.18644068 21.81355932] ; [28.81355932 56.18644068],0
p7,1,0.026729,4.908201,[11 22] ; [45 35],[16.3539823 16.6460177] ; [39.6460177 40.3539823],0
a6,1,0.028887,4.774315,[22 11] ; [72 13],[26.28813559  6.71186441] ; [67.71186441 17.28813559],0
a1,1,0.03403,4.493215,[ 4 30] ; [ 2 83],[ 1.71428571 32.28571429] ; [ 4.28571429 80.71428571],0
v1,1,0.035215,4.434737,[ 8 26] ; [36 45],[13.00869565 20.99130435] ; [30.99130435 50.00869565],0
a4,1,0.042969,4.096605,[18 16] ; [28 57],[13.14285714 20.85714286] ; [32.85714286 52.14285714],0
d2,1,0.046445,3.965375,[17 16] ; [27 58],[12.30508475 20.69491525] ; [31.69491525 53.30508475],0
n3,1,0.051612,3.788308,[9 9] ; [16  4],[11.84210526  6.15789474] ; [13.15789474  6.84210526],0
p6,1,0.051831,3.781228,[ 3 30] ; [21 62],[ 6.82758621 26.17241379] ; [17.17241379 65.82758621],0
u3,1,0.0765,3.137735,[4 5] ; [22  7],[6.15789474 2.84210526] ; [19.84210526  9.15789474],0
a8,1,0.098002,2.737761,[ 7 27] ; [ 7 69],[ 4.32727273 29.67272727] ; [ 9.67272727 66.32727273],0
p8,1,0.098355,2.732024,[ 9 24] ; [36 46],[12.91304348 20.08695652] ; [32.08695652 49.91304348],0
r1,1,0.117211,2.454202,[22 12] ; [66 18],[25.3559322  8.6440678] ; [62.6440678 21.3559322],0
v2,1,0.1195,2.423863,[11 21] ; [40 39],[14.7027027 17.2972973] ; [36.2972973 42.7027027],0
s4,1,0.126125,2.339563,[ 2 32] ; [14 71],[ 4.57142857 29.42857143] ; [11.42857143 73.57142857],0
d4,1,0.133726,2.248712,[24  9] ; [72 13],[26.84745763  6.15254237] ; [69.15254237 15.84745763],0
d5,1,0.133726,2.248712,[24  9] ; [72 13],[26.84745763  6.15254237] ; [69.15254237 15.84745763],0
a2,1,0.154675,2.025532,[10 24] ; [15 70],[ 7.14285714 26.85714286] ; [17.85714286 67.14285714],0
d3,1,0.179579,1.801108,[22 11] ; [66 18],[24.82051282  8.17948718] ; [63.17948718 20.82051282],0
s5,1,0.18384,1.766308,[ 3 29] ; [16 65],[ 5.38053097 26.61946903] ; [13.61946903 67.38053097],0
n5,1,0.216755,1.525726,[18 16] ; [34 50],[14.98305085 19.01694915] ; [37.01694915 46.98305085],0
a3,1,0.248834,1.329839,[25  8] ; [55 30],[22.37288136 10.62711864] ; [57.62711864 27.37288136],0
s2,1,0.26031,1.267108,[10 24] ; [34 50],[12.6779661 21.3220339] ; [31.3220339 52.6779661],0
p1,1,0.281348,1.160569,[ 4 30] ; [ 5 79],[ 2.59322034 31.40677966] ; [ 6.40677966 77.59322034],0
u1,1,0.335698,0.926791,[ 2 32] ; [10 75],[ 3.42857143 30.57142857] ; [ 8.57142857 76.42857143],0
a5,1,0.35425,0.858173,[25  9] ; [55 30],[22.85714286 11.14285714] ; [57.14285714 27.85714286],0
b2,1,0.41656,0.66,[ 4 18] ; [12 32],[ 5.33333333 16.66666667] ; [10.66666667 33.33333333],0
b3,1,0.41656,0.66,[ 4 18] ; [12 32],[ 5.33333333 16.66666667] ; [10.66666667 33.33333333],0
s3,1,0.41854,0.654411,[14 20] ; [41 42],[15.98290598 18.01709402] ; [39.01709402 43.98290598],0
n2,1,0.432512,0.616068,[10  9] ; [13  7],[11.20512821  7.79487179] ; [11.79487179  8.20512821],0
s7,1,0.441955,0.591202,[ 8 23] ; [27 54],[ 9.6875 21.3125] ; [25.3125 55.6875],0
u2,1,0.458818,0.548777,[5 4] ; [20  9],[5.92105263 3.07894737] ; [19.07894737  9.92105263],0
n1,1,0.485188,0.487179,[ 7 12] ; [ 5 14],[ 6. 13.] ; [ 6. 13.],0
b5,1,0.583002,0.301407,[21 13] ; [57 28],[22.28571429 11.71428571] ; [55.71428571 29.28571429],0
b1,1,0.600771,0.273835,[17 17] ; [38 47],[15.71428571 18.28571429] ; [39.28571429 45.71428571],0
p5,1,0.676884,0.173655,[ 1 32] ; [ 4 80],[ 1.41025641 31.58974359] ; [ 3.58974359 80.41025641],0
n4,1,0.727934,0.121017,[16 18] ; [43 42],[16.85714286 17.14285714] ; [42.14285714 42.85714286],0
v3,1,0.940038,0.005658,[ 9 24] ; [21 58],[ 8.83928571 24.16071429] ; [21.16071429 57.83928571],0
b4,1,0.953489,0.003402,[19 15] ; [47 38],[18.85714286 15.14285714] ; [47.14285714 37.85714286],0
d1,1,0.953765,0.003362,[17 17] ; [43 42],[17.14285714 16.85714286] ; [42.85714286 42.14285714],0
