Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.032594,[74  7] ; [ 2 10],[66.19354839 14.80645161] ; [9.80645161 2.19354839],1
r3,1,0.0,28.572278,[77  4] ; [5 7],[71.41935484  9.58064516] ; [10.58064516  1.41935484],1
v4,1,0.0,25.290763,[77  3] ; [6 6],[72.17391304  7.82608696] ; [10.82608696  1.17391304],1
r1,1,5.8e-05,16.157706,[60 20] ; [ 2 10],[53.91304348 26.08695652] ; [8.08695652 3.91304348],1
n6,1,0.007693,7.103585,[57 22] ; [4 8],[52.95604396 26.04395604] ; [8.04395604 3.95604396],0
d4,1,0.026391,4.930233,[58 21] ; [5 7],[54.69230769 24.30769231] ; [8.30769231 3.69230769],0
a7,1,0.041489,4.155942,[52 29] ; [4 8],[48.77419355 32.22580645] ; [7.22580645 4.77419355],0
v2,1,0.049108,3.87166,[37 42] ; [ 2 10],[33.85714286 45.14285714] ; [5.14285714 6.85714286],0
n2,1,0.073654,3.199643,[21  4] ; [3 3],[19.35483871  5.64516129] ; [4.64516129 1.35483871],0
p12,1,0.113637,2.5029,[ 1 80] ; [ 1 11],[ 1.74193548 79.25806452] ; [ 0.25806452 11.74193548],0
s7,1,0.137584,2.204777,[26 53] ; [1 9],[23.96629213 55.03370787] ; [3.03370787 6.96629213],0
d2,1,0.166143,1.917404,[37 43] ; [3 9],[34.7826087 45.2173913] ; [5.2173913 6.7826087],0
a4,1,0.21571,1.532687,[28 53] ; [ 2 10],[26.12903226 54.87096774] ; [3.87096774 8.12903226],0
b1,1,0.263513,1.250206,[40 41] ; [8 4],[41.80645161 39.19354839] ; [6.19354839 5.80645161],0
d3,1,0.265626,1.239199,[47 33] ; [5 7],[45.2173913 34.7826087] ; [6.7826087 5.2173913],0
p8,1,0.296309,1.090732,[42 37] ; [4 7],[40.37777778 38.62222222] ; [5.62222222 5.37777778],0
u3,1,0.324463,0.97087,[19 20] ; [2 5],[17.80434783 21.19565217] ; [3.19565217 3.80434783],0
a5,1,0.325872,0.965232,[46 35] ; [5 7],[44.41935484 36.58064516] ; [6.58064516 5.41935484],0
p6,1,0.326749,0.96174,[31 47] ; [3 9],[29.46666667 48.53333333] ; [4.53333333 7.46666667],0
v1,1,0.357472,0.846755,[31 49] ; [3 9],[29.56521739 50.43478261] ; [4.43478261 7.56521739],0
d5,1,0.360258,0.836992,[51 29] ; [6 6],[49.56521739 30.43478261] ; [7.43478261 4.56521739],0
s2,1,0.372979,0.793716,[31 50] ; [3 9],[29.61290323 51.38709677] ; [4.38709677 7.61290323],0
p2,1,0.397964,0.714469,[63 18] ; [8 4],[61.83870968 19.16129032] ; [9.16129032 2.83870968],0
n4,1,0.408033,0.684524,[50 30] ; [6 6],[48.69565217 31.30434783] ; [7.30434783 4.69565217],0
u2,1,0.416103,0.661296,[15 22] ; [4 3],[15.97727273 21.02272727] ; [3.02272727 3.97727273],0
s3,1,0.447117,0.577949,[44 36] ; [8 4],[45.2173913 34.7826087] ; [6.7826087 5.2173913],0
v3,1,0.448259,0.575051,[21 57] ; [ 2 10],[19.93333333 58.06666667] ; [3.06666667 8.93333333],0
a1,1,0.46068,0.544242,[ 3 78] ; [ 1 11],[ 3.48387097 77.51612903] ; [ 0.51612903 11.48387097],0
a3,1,0.483889,0.490087,[42 38] ; [5 7],[40.86956522 39.13043478] ; [6.13043478 5.86956522],0
p4,1,0.535825,0.383333,[39 41] ; [7 5],[40. 40.] ; [6. 6.],0
s6,1,0.562705,0.335043,[40 39] ; [5 7],[39.06593407 39.93406593] ; [5.93406593 6.06593407],0
s5,1,0.571625,0.319972,[19 60] ; [ 2 10],[18.23076923 60.76923077] ; [2.76923077 9.23076923],0
n1,1,0.57615,0.3125,[ 9 15] ; [3 3],[ 9.6 14.4] ; [2.4 3.6],0
b4,1,0.600275,0.274581,[47 34] ; [6 6],[46.16129032 34.83870968] ; [6.83870968 5.16129032],0
n5,1,0.625041,0.238846,[46 34] ; [6 6],[45.2173913 34.7826087] ; [6.7826087 5.2173913],0
s1,1,0.63481,0.225594,[ 4 76] ; [ 1 11],[ 4.34782609 75.65217391] ; [ 0.65217391 11.34782609],0
p9,1,0.671528,0.17982,[31 47] ; [4 8],[30.33333333 47.66666667] ; [4.66666667 7.33333333],0
a8,1,0.678225,0.17213,[10 64] ; [2 9],[10.44705882 63.55294118] ; [1.55294118 9.44705882],0
a6,1,0.684601,0.164993,[45 35] ; [6 6],[44.34782609 35.65217391] ; [6.65217391 5.34782609],0
s4,1,0.689412,0.159722,[10 70] ; [ 2 10],[10.43478261 69.56521739] ; [ 1.56521739 10.43478261],0
n3,1,0.699638,0.148849,[19  6] ; [5 1],[19.35483871  5.64516129] ; [4.64516129 1.35483871],0
p11,1,0.718171,0.130252,[45 36] ; [6 6],[44.41935484 36.58064516] ; [6.58064516 5.41935484],0
b5,1,0.794076,0.068132,[57 24] ; [8 4],[56.61290323 24.38709677] ; [8.38709677 3.61290323],0
p5,1,0.843358,0.039046,[ 6 75] ; [ 1 10],[ 6.16304348 74.83695652] ; [ 0.83695652 10.16304348],0
p3,1,0.856466,0.032716,[36 45] ; [5 7],[35.70967742 45.29032258] ; [5.29032258 6.70967742],0
