Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,43.516607,[134  11] ; [21 22],[119.54787234  25.45212766] ; [35.45212766  7.54787234],1
n4,1,0.0,36.686573,[130  16] ; [20 23],[115.87301587  30.12698413] ; [34.12698413  8.87301587],1
p10,1,1e-06,24.749276,[122  21] ; [21 22],[109.94086022  33.05913978] ; [33.05913978  9.94086022],1
p9,1,3e-06,22.09394,[126  17] ; [24 19],[115.32258065  27.67741935] ; [34.67741935  8.32258065],1
p2,1,6.5e-05,15.963936,[118  24] ; [23 20],[108.22702703  33.77297297] ; [32.77297297 10.22702703],1
p11,1,9.1e-05,15.31309,[125  21] ; [25 18],[115.87301587  30.12698413] ; [34.12698413  8.87301587],1
s8,1,0.011415,6.399539,[81 65] ; [14 28],[73.77659574 72.22340426] ; [21.22340426 20.77659574],0
p5,1,0.032072,4.594652,[ 21 124] ; [ 1 41],[ 17.05882353 127.94117647] ; [ 4.94117647 37.05882353],0
a8,1,0.060095,3.534769,[ 18 122] ; [ 1 39],[ 14.77777778 125.22222222] ; [ 4.22222222 35.77777778],0
s1,1,0.061904,3.485613,[  4 141] ; [ 4 39],[  6.17021277 138.82978723] ; [ 1.82978723 41.17021277],0
b4,1,0.068081,3.328694,[72 74] ; [28 15],[77.24867725 68.75132275] ; [22.75132275 20.24867725],0
s7,1,0.082978,3.005583,[84 58] ; [17 22],[79.23756906 62.76243094] ; [21.76243094 17.23756906],0
d5,1,0.088998,2.892404,[124  21] ; [32 11],[120.31914894  24.68085106] ; [35.68085106  7.31914894],0
v4,1,0.109462,2.561975,[134  12] ; [35  7],[131.24468085  14.75531915] ; [37.75531915  4.24468085],0
p7,1,0.119954,2.417916,[92 51] ; [22 21],[87.64516129 55.35483871] ; [26.35483871 16.64516129],0
v1,1,0.121959,2.391975,[78 63] ; [18 25],[73.56521739 67.43478261] ; [22.43478261 20.56521739],0
p4,1,0.137044,2.210837,[81 64] ; [18 24],[76.76470588 68.23529412] ; [22.23529412 19.76470588],0
d3,1,0.143114,2.144151,[63 83] ; [24 19],[67.20634921 78.79365079] ; [19.79365079 23.20634921],0
p6,1,0.145004,2.124036,[52 90] ; [10 31],[48.10928962 93.89071038] ; [13.89071038 27.10928962],0
s4,1,0.145882,2.114789,[ 23 122] ; [11 32],[ 26.22340426 118.77659574] ; [ 7.77659574 35.22340426],0
v3,1,0.151125,2.060857,[66 79] ; [12 25],[62.14285714 82.85714286] ; [15.85714286 21.14285714],0
a3,1,0.174922,1.840244,[122  24] ; [32 11],[118.96296296  27.03703704] ; [35.03703704  7.96296296],0
u1,1,0.179554,1.801308,[ 12 134] ; [ 1 42],[ 10.04232804 135.95767196] ; [ 2.95767196 40.04232804],0
d2,1,0.205519,1.602716,[86 58] ; [21 22],[82.39572193 61.60427807] ; [24.60427807 18.39572193],0
p1,1,0.234378,1.414091,[  9 136] ; [ 5 38],[ 10.79787234 134.20212766] ; [ 3.20212766 39.79787234],0
