Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,54.498149,[ 3 37] ; [134  56],[23.82608696 16.17391304] ; [113.17391304  76.82608696],1
d5,1,2e-06,22.886513,[21 19] ; [163  27],[32.  8.] ; [152.  38.],1
d3,1,2e-05,18.144983,[17 23] ; [145  45],[28.17391304 11.82608696] ; [133.82608696  56.17391304],1
u1,1,0.001395,10.212494,[ 1 39] ; [ 48 142],[ 8.52173913 31.47826087] ; [ 40.47826087 149.52173913],0
a4,1,0.001657,9.895064,[ 9 31] ; [94 95],[17.99126638 22.00873362] ; [ 85.00873362 103.99126638],0
d2,1,0.005073,7.853185,[13 27] ; [108  82],[21.04347826 18.95652174] ; [99.95652174 90.04347826],0
n4,1,0.007633,7.117642,[27 13] ; [162  28],[32.86956522  7.13043478] ; [156.13043478  33.86956522],0
b4,1,0.018591,5.539599,[15 25] ; [110  80],[21.73913043 18.26086957] ; [103.26086957  86.73913043],0
v2,1,0.02393,5.099689,[16 24] ; [109  74],[22.42152466 17.57847534] ; [102.57847534  80.42152466],0
s4,1,0.0258,4.969348,[10 30] ; [ 22 168],[ 5.56521739 34.43478261] ; [ 26.43478261 163.56521739],0
r3,1,0.040096,4.213826,[35  5] ; [181   8],[37.72925764  2.27074236] ; [178.27074236  10.72925764],0
a2,1,0.041568,4.15269,[ 5 35] ; [ 53 137],[10.08695652 29.91304348] ; [ 47.91304348 142.08695652],0
b2,1,0.050917,3.811012,[ 8 24] ; [60 77],[12.87573964 19.12426036] ; [55.12426036 81.87573964],0
b3,1,0.050917,3.811012,[ 8 24] ; [60 77],[12.87573964 19.12426036] ; [55.12426036 81.87573964],0
v3,1,0.062781,3.462363,[12 28] ; [83 97],[17.27272727 22.72727273] ; [ 77.72727273 102.27272727],0
p11,1,0.067196,3.350213,[28 12] ; [157  33],[32.17391304  7.82608696] ; [152.82608696  37.17391304],0
u3,1,0.069126,3.303644,[6 7] ; [28 10],[8.66666667 4.33333333] ; [25.33333333 12.66666667],0
a3,1,0.072275,3.230575,[27 13] ; [152  37],[31.26637555  8.73362445] ; [147.73362445  41.26637555],0
r1,1,0.078606,3.093489,[29 11] ; [160  30],[32.86956522  7.13043478] ; [156.13043478  33.86956522],0
a7,1,0.079788,3.069208,[23 17] ; [136  54],[27.65217391 12.34782609] ; [131.34782609  58.65217391],0
a8,1,0.09464,2.793626,[ 3 35] ; [ 33 139],[ 6.51428571 31.48571429] ; [ 29.48571429 142.51428571],0
n3,1,0.159833,1.975806,[11  3] ; [20 15],[8.85714286 5.14285714] ; [22.14285714 12.85714286],0
u2,1,0.171208,1.872337,[6 7] ; [25 12],[8.06 4.94] ; [22.94 14.06],0
n6,1,0.18847,1.729538,[32  8] ; [166  23],[34.58515284  5.41484716] ; [163.41484716  25.58515284],0
p5,1,0.203516,1.616964,[ 2 38] ; [ 22 164],[ 4.24778761 35.75221239] ; [ 19.75221239 166.24778761],0
p12,1,0.249207,1.327745,[ 1 39] ; [ 14 173],[ 2.64317181 37.35682819] ; [ 12.35682819 174.64317181],0
p6,1,0.301093,1.069345,[12 28] ; [ 72 114],[14.86725664 25.13274336] ; [ 69.13274336 116.86725664],0
p9,1,0.326771,0.961652,[32  8] ; [161  26],[34.00881057  5.99118943] ; [158.99118943  28.00881057],0
v4,1,0.33329,0.93607,[35  3] ; [182   8],[36.16666667  1.83333333] ; [180.83333333   9.16666667],0
p1,1,0.353031,0.862533,[ 5 35] ; [ 15 174],[ 3.49344978 36.50655022] ; [ 16.50655022 172.49344978],0
p10,1,0.355669,0.853129,[35  5] ; [153  35],[32.98245614  7.01754386] ; [155.01754386  32.98245614],0
p8,1,0.37748,0.778891,[18 22] ; [98 88],[20.53097345 19.46902655] ; [95.46902655 90.53097345],0
n2,1,0.377681,0.778235,[11  3] ; [23 12],[9.71428571 4.28571429] ; [24.28571429 10.71428571],0
p3,1,0.391054,0.735661,[18 21] ; [102  88],[20.43668122 18.56331878] ; [99.56331878 90.43668122],0
n5,1,0.430486,0.621513,[29 10] ; [152  38],[30.82532751  8.17467249] ; [150.17467249  39.82532751],0
a6,1,0.448253,0.575065,[29 11] ; [126  64],[26.95652174 13.04347826] ; [128.04347826  61.95652174],0
r2,1,0.460602,0.544431,[36  3] ; [179   9],[36.93832599  2.06167401] ; [178.06167401   9.93832599],0
n1,1,0.497121,0.461077,[7 6] ; [15 20],[5.95833333 7.04166667] ; [16.04166667 18.95833333],0
p7,1,0.532528,0.389565,[24 16] ; [120  64],[25.71428571 14.28571429] ; [118.28571429  65.71428571],0
