Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3e-06,22.032363,[32 28] ; [ 71 232],[17.02479339 42.97520661] ; [ 85.97520661 217.02479339],1
s2,1,5e-06,20.798288,[48 16] ; [135 174],[31.39946381 32.60053619] ; [151.60053619 157.39946381],1
s6,1,0.001596,9.964196,[51 12] ; [184 123],[40.01351351 22.98648649] ; [194.98648649 112.01351351],0
n4,1,0.002652,9.032945,[36 30] ; [227  83],[46.16489362 19.83510638] ; [216.83510638  93.16489362],0
s3,1,0.008476,6.930118,[45 20] ; [156 148],[35.40650407 29.59349593] ; [165.59349593 138.40650407],0
b1,1,0.040074,4.214762,[13 53] ; [101 210],[19.95755968 46.04244032] ; [ 94.04244032 216.95755968],0
s8,1,0.045569,3.997468,[33 33] ; [114 196],[25.80319149 40.19680851] ; [121.19680851 188.80319149],0
b3,1,0.050475,3.825605,[ 6 25] ; [ 66 110],[10.7826087 20.2173913] ; [ 61.2173913 114.7826087],0
b2,1,0.050475,3.825605,[ 6 25] ; [ 66 110],[10.7826087 20.2173913] ; [ 61.2173913 114.7826087],0
a8,1,0.05235,3.764564,[ 4 56] ; [ 47 239],[ 8.84393064 51.15606936] ; [ 42.15606936 243.84393064],0
s7,1,0.06675,3.361179,[34 31] ; [121 182],[27.37771739 37.62228261] ; [127.62228261 175.37771739],0
v1,1,0.078228,3.10133,[25 40] ; [152 149],[31.43442623 33.56557377] ; [145.56557377 155.43442623],0
v4,1,0.094843,2.790194,[65  1] ; [285  21],[62.09677419  3.90322581] ; [287.90322581  18.09677419],0
v3,1,0.095004,2.787469,[15 48] ; [103 194],[20.65 42.35] ; [ 97.35 199.65],0
d3,1,0.095988,2.770962,[50 15] ; [205 104],[44.31818182 20.68181818] ; [210.68181818  98.31818182],0
n2,1,0.113278,2.507887,[19  2] ; [67 23],[16.27027027  4.72972973] ; [69.72972973 20.27027027],0
n3,1,0.115573,2.476308,[18  3] ; [61 28],[15.08181818  5.91818182] ; [63.91818182 25.08181818],0
r2,1,0.115723,2.47427,[63  2] ; [278  27],[59.90540541  5.09459459] ; [281.09459459  23.90540541],0
p2,1,0.119012,2.430279,[49 17] ; [255  54],[53.504 12.496] ; [250.496  58.504],0
a4,1,0.138586,2.193593,[22 44] ; [134 176],[27.38297872 38.61702128] ; [128.61702128 181.38297872],0
n1,1,0.183661,1.767752,[ 5 16] ; [35 54],[ 7.63636364 13.36363636] ; [32.36363636 56.63636364],0
r4,1,0.22257,1.487723,[60  6] ; [265  46],[56.89655172  9.10344828] ; [268.10344828  42.89655172],0
a2,1,0.234499,1.413365,[ 9 57] ; [ 62 249],[12.42970822 53.57029178] ; [ 58.57029178 252.42970822],0
n6,1,0.240934,1.37512,[56  9] ; [246  62],[52.62734584 12.37265416] ; [249.37265416  58.62734584],0
n5,1,0.24454,1.354228,[43 23] ; [222  85],[46.89008043 19.10991957] ; [218.10991957  88.89008043],0
p5,1,0.245066,1.351212,[ 2 64] ; [ 21 287],[ 4.05882353 61.94117647] ; [ 18.94117647 289.05882353],0
p10,1,0.264023,1.247539,[60  6] ; [265  44],[57.2  8.8] ; [267.8  41.2],0
a7,1,0.268614,1.223809,[50 15] ; [218  93],[46.32978723 18.67021277] ; [221.67021277  89.32978723],0
d2,1,0.287252,1.132458,[23 43] ; [130 180],[26.85638298 39.14361702] ; [126.14361702 183.85638298],0
d1,1,0.368814,0.807658,[31 35] ; [165 146],[34.31299735 31.68700265] ; [161.68700265 149.31299735],0
r1,1,0.376198,0.783089,[47 19] ; [236  73],[49.808 16.192] ; [233.192  75.808],0
p8,1,0.381371,0.766278,[22 41] ; [125 181],[25.09756098 37.90243902] ; [121.90243902 184.09756098],0
p11,1,0.384983,0.75473,[49 17] ; [246  65],[51.64456233 14.35543767] ; [243.35543767  67.64456233],0
d4,1,0.453703,0.561384,[51 15] ; [252  58],[53.18617021 12.81382979] ; [249.81382979  60.18617021],0
a5,1,0.475803,0.508469,[42 24] ; [212  99],[44.4668435 21.5331565] ; [209.5331565 101.4668435],0
a3,1,0.512211,0.429547,[41 25] ; [205 104],[43.296 22.704] ; [202.704 106.296],0
u3,1,0.531914,0.390733,[14 11] ; [51 53],[12.59689922 12.40310078] ; [52.40310078 51.59689922],0
b4,1,0.552516,0.352829,[36 30] ; [182 129],[38.16445623 27.83554377] ; [179.83554377 131.16445623],0
b5,1,0.591042,0.288719,[41 25] ; [204 107],[42.89124668 23.10875332] ; [202.10875332 108.89124668],0
s1,1,0.656719,0.197534,[ 2 63] ; [ 13 291],[ 2.64227642 62.35772358] ; [ 12.35772358 291.64227642],0
u2,1,0.660724,0.192645,[12 13] ; [55 49],[12.98449612 12.01550388] ; [54.01550388 49.98449612],0
p1,1,0.680706,0.169333,[ 4 62] ; [ 15 295],[ 3.33510638 62.66489362] ; [ 15.66489362 294.33510638],0
p4,1,0.693928,0.154865,[24 42] ; [120 188],[25.41176471 40.58823529] ; [118.58823529 189.41176471],0
d5,1,0.696276,0.152374,[48 17] ; [236  74],[49.22666667 15.77333333] ; [234.77333333  75.22666667],0
p6,1,0.702098,0.146299,[18 47] ; [ 78 229],[16.77419355 48.22580645] ; [ 79.22580645 227.77419355],0
v2,1,0.733099,0.116285,[31 31] ; [154 140],[32.21910112 29.78089888] ; [152.78089888 141.21910112],0
r3,1,0.753664,0.098478,[63  3] ; [292  17],[62.48  3.52] ; [292.52  16.48],0
p12,1,0.75773,0.095149,[ 3 63] ; [ 17 293],[ 3.5106383 62.4893617] ; [ 16.4893617 293.5106383],0
u1,1,0.821946,0.050644,[ 7 59] ; [ 36 275],[ 7.52785146 58.47214854] ; [ 35.47214854 275.52785146],0
