Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,1.6e-05,18.669462,[ 10 379] ; [3 9],[ 12.61097257 376.38902743] ; [ 0.38902743 11.61097257],1
p4,1,0.006089,7.523628,[276 116] ; [4 8],[271.68316832 120.31683168] ; [8.31683168 3.68316832],0
b1,1,0.027282,4.872847,[140 254] ; [8 4],[143.62561576 250.37438424] ; [4.37438424 7.62561576],0
p8,1,0.040488,4.197334,[242 145] ; [4 8],[238.60150376 148.39849624] ; [7.39849624 4.60150376],0
p11,1,0.060658,3.519314,[339  55] ; [8 4],[336.74384236  57.25615764] ; [10.25615764  1.74384236],0
p6,1,0.066311,3.372052,[179 209] ; [2 9],[176.01002506 211.98997494] ; [4.98997494 6.01002506],0
s6,1,0.071553,3.247032,[283 102] ; [6 6],[280.26448363 104.73551637] ; [8.73551637 3.26448363],0
d3,1,0.122089,2.390315,[278 115] ; [6 6],[275.58518519 117.41481481] ; [8.41481481 3.58518519],0
n6,1,0.123558,2.371635,[348  42] ; [9 3],[346.34328358  43.65671642] ; [10.65671642  1.34328358],0
a2,1,0.173432,1.853026,[101 293] ; [ 1 11],[ 98.98522167 295.01477833] ; [3.01477833 8.98522167],0
r4,1,0.193468,1.691006,[367  27] ; [10  2],[365.85714286  28.14285714] ; [11.14285714  0.85714286],0
p7,1,0.204446,1.610329,[275 108] ; [9 1],[276.7735369 106.2264631] ; [7.2264631 2.7735369],0
p3,1,0.224819,1.473342,[232 160] ; [5 7],[229.96039604 162.03960396] ; [7.03960396 4.96039604],0
b4,1,0.248954,1.329166,[230 164] ; [9 3],[231.93596059 162.06403941] ; [7.06403941 4.93596059],0
a7,1,0.260934,1.263797,[287 106] ; [7 5],[285.28888889 107.71111111] ; [8.71111111 3.28888889],0
v4,1,0.265503,1.239833,[379  12] ; [10  1],[378.35572139  12.64427861] ; [10.64427861  0.35572139],0
u1,1,0.298741,1.079805,[ 81 313] ; [ 1 11],[ 79.57635468 314.42364532] ; [2.42364532 9.57635468],0
n5,1,0.300545,1.071776,[336  56] ; [9 3],[334.75247525  57.24752475] ; [10.24752475  1.75247525],0
a5,1,0.357161,0.847852,[307  87] ; [8 4],[305.68965517  88.31034483] ; [9.31034483 2.68965517],0
n4,1,0.36752,0.812031,[321  73] ; [11  1],[322.18719212  71.81280788] ; [9.81280788 2.18719212],0
b5,1,0.371507,0.798618,[247 147] ; [6 6],[245.52216749 148.47783251] ; [7.47783251 4.52216749],0
b3,1,0.375425,0.785631,[110 139] ; [3 7],[108.63706564 140.36293436] ; [4.36293436 5.63706564],0
b2,1,0.375425,0.785631,[110 139] ; [3 7],[108.63706564 140.36293436] ; [4.36293436 5.63706564],0
a3,1,0.442719,0.589225,[299  93] ; [8 4],[297.88118812  94.11881188] ; [9.11881188 2.88118812],0
v2,1,0.443838,0.586339,[262 119] ; [7 5],[260.78625954 120.21374046] ; [8.21374046 3.78625954],0
p5,1,0.454139,0.5603,[ 64 326] ; [ 1 11],[ 63.05970149 326.94029851] ; [ 1.94029851 10.05970149],0
s4,1,0.454139,0.5603,[ 64 326] ; [ 1 11],[ 63.05970149 326.94029851] ; [ 1.94029851 10.05970149],0
r3,1,0.46829,0.526008,[377  16] ; [11  1],[376.5037037  16.4962963] ; [11.4962963  0.5037037],0
r2,1,0.473189,0.514518,[374  16] ; [11  1],[373.50746269  16.49253731] ; [11.49253731  0.50746269],0
s3,1,0.492229,0.47165,[220 168] ; [8 4],[221.16 166.84] ; [6.84 5.16],0
