Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,53.68179,[191  66] ; [41 77],[158.99733333  98.00266667] ; [73.00266667 44.99733333],1
a6,1,0.0,49.803337,[199  59] ; [47 71],[168.79787234  89.20212766] ; [77.20212766 40.79787234],1
a2,1,2e-06,22.427668,[ 67 192] ; [  6 112],[ 50.15119363 208.84880637] ; [22.84880637 95.15119363],1
r1,1,6e-06,20.583302,[203  55] ; [66 52],[184.57978723  73.42021277] ; [84.42021277 33.57978723],1
d4,1,6e-06,20.379971,[214  44] ; [72 45],[196.768  61.232] ; [89.232 27.768],1
r3,1,1.6e-05,18.587602,[241  16] ; [93 25],[228.90133333  28.09866667] ; [105.09866667  12.90133333],1
r4,1,2.7e-05,17.621632,[225  34] ; [81 37],[210.22281167  48.77718833] ; [95.77718833 22.22281167],1
d5,1,3.1e-05,17.381944,[211  47] ; [73 45],[194.87234043  63.12765957] ; [89.12765957 28.87234043],1
d1,1,7.8e-05,15.605629,[149 110] ; [42 76],[131.21750663 127.78249337] ; [59.78249337 58.21750663],1
p10,1,0.000907,11.007911,[189  65] ; [67 50],[175.26684636  78.73315364] ; [80.73315364 36.26684636],1
u1,1,0.001215,10.467018,[ 45 214] ; [  6 112],[ 35.03713528 223.96286472] ; [ 15.96286472 102.03713528],0
r2,1,0.003076,8.761944,[234  21] ; [95 22],[225.52419355  29.47580645] ; [103.47580645  13.52419355],0
v4,1,0.003627,8.461799,[233  23] ; [94 23],[224.42895442  31.57104558] ; [102.57104558  14.42895442],0
b1,1,0.005935,7.569803,[ 97 162] ; [62 56],[109.23342175 149.76657825] ; [49.76657825 68.23342175],0
a5,1,0.006508,7.403941,[182  77] ; [66 52],[170.37665782  88.62334218] ; [77.62334218 40.37665782],0
a3,1,0.00704,7.262734,[179  79] ; [65 53],[167.42553191  90.57446809] ; [76.57446809 41.42553191],0
p2,1,0.008611,6.901686,[197  61] ; [74 43],[186.448  71.552] ; [84.552 32.448],0
v2,1,0.010259,6.589317,[110 138] ; [34 79],[ 98.92520776 149.07479224] ; [45.07479224 67.92520776],0
