Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,38.318158,[148  23] ; [161 113],[118.73932584  52.26067416] ; [190.26067416  83.73932584],1
s2,1,0.0,37.160705,[126  45] ; [121 153],[94.91460674 76.08539326] ; [152.08539326 121.91460674],1
p5,1,0.0,26.231565,[ 37 135] ; [ 15 258],[ 20.0988764 151.9011236] ; [ 31.9011236 241.0988764],1
s3,1,4e-06,21.185088,[120  49] ; [133 140],[96.73529412 72.26470588] ; [156.26470588 116.73529412],1
s7,1,2e-05,18.149928,[111  54] ; [122 142],[89.61538462 75.38461538] ; [143.38461538 120.61538462],1
s8,1,2.8e-05,17.536502,[107  64] ; [116 159],[85.5 85.5] ; [137.5 137.5],1
s4,1,5.7e-05,16.202823,[ 43 125] ; [ 30 244],[ 27.74660633 140.25339367] ; [ 45.25339367 228.74660633],1
p4,1,0.000276,13.226331,[131  40] ; [164 110],[113.35955056  57.64044944] ; [181.64044944  92.35955056],1
p3,1,0.000319,12.952536,[111  61] ; [129 145],[92.55605381 79.44394619] ; [147.44394619 126.55605381],1
p7,1,0.000532,11.998978,[125  41] ; [160 111],[108.26086957  57.73913043] ; [176.73913043  94.26086957],1
p10,1,0.000656,11.611334,[158  14] ; [218  55],[145.33033708  26.66966292] ; [230.66966292  42.33033708],1
p6,1,0.001144,10.578285,[85 84] ; [ 95 179],[ 68.66817156 100.33182844] ; [111.33182844 162.66817156],0
v1,1,0.001151,10.567503,[115  57] ; [136 130],[98.56621005 73.43378995] ; [152.43378995 113.56621005],0
a5,1,0.006033,7.540464,[157  15] ; [226  50],[147.04464286  24.95535714] ; [235.95535714  40.04464286],0
p1,1,0.009007,6.821349,[ 24 148] ; [ 18 257],[ 16.16107383 155.83892617] ; [ 25.83892617 249.16107383],0
r4,1,0.013124,6.15233,[166   6] ; [249  27],[159.33035714  12.66964286] ; [255.66964286  20.33035714],0
a7,1,0.014321,5.998096,[121  50] ; [223  53],[131.59731544  39.40268456] ; [212.40268456  63.59731544],0
n1,1,0.016577,5.740588,[17 15] ; [19 48],[11.63636364 20.36363636] ; [24.36363636 42.63636364],0
a3,1,0.021841,5.25843,[148  23] ; [214  61],[138.79372197  32.20627803] ; [223.20627803  51.79372197],0
p9,1,0.024873,5.03268,[156  14] ; [228  42],[148.36363636  21.63636364] ; [235.63636364  34.36363636],0
p12,1,0.03427,4.48119,[ 22 149] ; [ 19 256],[ 15.71973094 155.28026906] ; [ 25.28026906 249.71973094],0
p8,1,0.037935,4.307954,[105  64] ; [141 130],[94.48636364 74.51363636] ; [151.51363636 119.48636364],0
a4,1,0.043733,4.066841,[112  60] ; [152 122],[101.81165919  70.18834081] ; [162.18834081 111.81165919],0
n2,1,0.062498,3.469812,[26  6] ; [42 25],[21.97979798 10.02020202] ; [46.02020202 20.97979798],0
n5,1,0.070455,3.272392,[148  24] ; [218  57],[140.83221477  31.16778523] ; [225.16778523  49.83221477],0
b5,1,0.078049,3.105073,[94 78] ; [174 102],[102.89285714  69.10714286] ; [165.10714286 110.89285714],0
a2,1,0.10628,2.608681,[ 69 103] ; [ 90 186],[ 61.04464286 110.95535714] ; [ 97.95535714 178.04464286],0
u3,1,0.112608,2.517236,[18  6] ; [35 27],[14.79069767  9.20930233] ; [38.20930233 23.79069767],0
u1,1,0.118571,2.436091,[ 56 116] ; [ 71 205],[ 48.75892857 123.24107143] ; [ 78.24107143 197.75892857],0
r2,1,0.126356,2.336716,[169   3] ; [258  12],[166.16289593   5.83710407] ; [260.83710407   9.16289593],0
p2,1,0.131271,2.277404,[151  21] ; [226  48],[145.39013453  26.60986547] ; [231.60986547  42.39013453],0
a8,1,0.138618,2.193235,[ 16 136] ; [ 39 208],[ 20.95238095 131.04761905] ; [ 34.04761905 212.95238095],0
v3,1,0.194968,1.679673,[83 86] ; [112 150],[76.46171694 92.53828306] ; [118.53828306 143.46171694],0
a6,1,0.245869,1.346626,[121  50] ; [209  67],[126.24161074  44.75838926] ; [203.75838926  72.24161074],0
n3,1,0.258951,1.274356,[24  7] ; [45 23],[21.60606061  9.39393939] ; [47.39393939 20.60606061],0
s1,1,0.261336,1.261665,[  6 164] ; [  5 269],[  4.21171171 165.78828829] ; [  6.78828829 267.21171171],0
r1,1,0.26866,1.223574,[151  21] ; [231  44],[146.98881432  25.01118568] ; [235.01118568  39.98881432],0
u4,1,0.342186,0.902223,[  4 168] ; [ 11 265],[  5.75892857 166.24107143] ; [  9.24107143 266.75892857],0
b2,1,0.3654,0.819248,[49 63] ; [ 64 103],[45.36200717 66.63799283] ; [67.63799283 99.36200717],0
b3,1,0.3654,0.819248,[49 63] ; [ 64 103],[45.36200717 66.63799283] ; [67.63799283 99.36200717],0
b4,1,0.415742,0.662321,[107  65] ; [161 115],[102.89285714  69.10714286] ; [165.10714286 110.89285714],0
v4,1,0.442665,0.589365,[168   4] ; [266  10],[166.625   5.375] ; [267.375   8.625],0
a1,1,0.553012,0.351949,[ 11 161] ; [ 14 262],[  9.59821429 162.40178571] ; [ 15.40178571 260.59821429],0
v2,1,0.613193,0.255551,[105  62] ; [162 106],[102.50344828  64.49655172] ; [164.49655172 103.50344828],0
d2,1,0.625678,0.237968,[126  44] ; [198  77],[123.7752809  46.2247191] ; [200.2247191  74.7752809],0
p11,1,0.663691,0.189071,[143  29] ; [225  51],[141.28571429  30.71428571] ; [226.71428571  49.28571429],0
b1,1,0.691377,0.157599,[ 63 109] ; [ 96 180],[ 61.04464286 110.95535714] ; [ 97.95535714 178.04464286],0
d3,1,0.712044,0.136244,[154  18] ; [244  32],[152.80357143  19.19642857] ; [245.19642857  30.80357143],0
u2,1,0.724537,0.124187,[12 11] ; [35 27],[12.71764706 10.28235294] ; [34.28235294 27.71764706],0
d5,1,0.758913,0.094192,[168   3] ; [270   6],[167.55704698   3.44295302] ; [270.44295302   5.55704698],0
d4,1,0.808096,0.058992,[168   2] ; [272   4],[167.71300448   2.28699552] ; [272.28699552   3.71300448],0
n4,1,0.894858,0.017466,[146  26] ; [233  43],[145.50892857  26.49107143] ; [233.49107143  42.50892857],0
r3,1,0.958753,0.002675,[164   6] ; [266  10],[163.90134529   6.09865471] ; [266.09865471   9.90134529],0
