Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6e-06,20.52015,[31 25] ; [52  4],[41.5 14.5] ; [41.5 14.5],1
p9,1,5.1e-05,16.419143,[15 38] ; [37 18],[25.51851852 27.48148148] ; [26.48148148 28.51851852],1
r4,1,0.001133,10.596316,[28 29] ; [44 12],[36.31858407 20.68141593] ; [35.68141593 20.31858407],0
n6,1,0.001231,10.443328,[31 25] ; [46  9],[38.84684685 17.15315315] ; [38.15315315 16.84684685],0
p10,1,0.00385,8.353064,[17 37] ; [33 23],[24.54545455 29.45454545] ; [25.45454545 30.54545455],0
v1,1,0.005288,7.778301,[ 8 49] ; [20 34],[14.37837838 42.62162162] ; [13.62162162 40.37837838],0
n2,1,0.006661,7.362293,[11 14] ; [16  3],[15.34090909  9.65909091] ; [11.65909091  7.34090909],0
p3,1,0.015329,5.87831,[ 9 48] ; [20 36],[14.62831858 42.37168142] ; [14.37168142 41.62831858],0
p4,1,0.037564,4.324675,[10 45] ; [20 36],[14.86486486 40.13513514] ; [15.13513514 40.86486486],0
d5,1,0.041659,4.14901,[42 15] ; [31 25],[36.82300885 20.17699115] ; [36.17699115 19.82300885],0
p8,1,0.046179,3.975041,[10 47] ; [19 37],[14.62831858 42.37168142] ; [14.37168142 41.62831858],0
n3,1,0.048969,3.87643,[10 13] ; [14  5],[13.14285714  9.85714286] ; [10.85714286  8.14285714],0
p7,1,0.052707,3.7532,[ 9 46] ; [18 38],[13.37837838 41.62162162] ; [13.62162162 42.37837838],0
n4,1,0.080359,3.057634,[30 26] ; [39 17],[34.5 21.5] ; [34.5 21.5],0
v4,1,0.080856,3.047619,[38 18] ; [46 10],[42. 14.] ; [42. 14.],0
p5,1,0.089038,2.891688,[ 1 56] ; [ 5 51],[ 3.02654867 53.97345133] ; [ 2.97345133 53.02654867],0
u2,1,0.105808,2.61574,[ 6 14] ; [14 12],[ 8.69565217 11.30434783] ; [11.30434783 14.69565217],0
p6,1,0.122663,2.382979,[ 6 50] ; [12 44],[ 9. 47.] ; [ 9. 47.],0
a3,1,0.124402,2.361001,[37 19] ; [29 27],[33. 23.] ; [33. 23.],0
a2,1,0.151197,2.060129,[13 44] ; [ 7 49],[10.08849558 46.91150442] ; [ 9.91150442 46.08849558],0
p12,1,0.163728,1.93945,[ 1 56] ; [ 4 52],[ 2.52212389 54.47787611] ; [ 2.47787611 53.52212389],0
n5,1,0.177286,1.820232,[30 26] ; [37 19],[33.5 22.5] ; [33.5 22.5],0
u3,1,0.191581,1.705421,[ 8 12] ; [16 11],[10.21276596  9.78723404] ; [13.78723404 13.21276596],0
s6,1,0.204531,1.609723,[16 40] ; [22 33],[19.17117117 36.82882883] ; [18.82882883 36.17117117],0
v2,1,0.220908,1.498461,[19 36] ; [24 28],[22.10280374 32.89719626] ; [20.89719626 31.10280374],0
a1,1,0.234443,1.413703,[ 8 49] ; [ 4 52],[ 6.05309735 50.94690265] ; [ 5.94690265 50.05309735],0
a8,1,0.251108,1.317126,[ 2 50] ; [ 5 48],[ 3.46666667 48.53333333] ; [ 3.53333333 49.46666667],0
s7,1,0.25834,1.27763,[ 7 44] ; [12 42],[ 9.22857143 41.77142857] ; [ 9.77142857 44.22857143],0
a6,1,0.381597,0.76555,[31 26] ; [35 21],[33.2920354 23.7079646] ; [32.7079646 23.2920354],0
b1,1,0.389831,0.739469,[28 29] ; [23 33],[25.72566372 31.27433628] ; [25.27433628 30.72566372],0
s5,1,0.396869,0.717792,[ 8 47] ; [11 42],[ 9.67592593 45.32407407] ; [ 9.32407407 43.67592593],0
s1,1,0.463071,0.538462,[ 5 51] ; [ 3 53],[ 4. 52.] ; [ 4. 52.],0
b4,1,0.500421,0.454043,[30 27] ; [33 23],[31.77876106 25.22123894] ; [31.22123894 24.77876106],0
b5,1,0.514097,0.425719,[33 24] ; [29 27],[31.27433628 25.72566372] ; [30.72566372 25.27433628],0
a7,1,0.565688,0.329951,[34 22] ; [31 25],[32.5 23.5] ; [32.5 23.5],0
r2,1,0.576471,0.311975,[44 10] ; [47  8],[45.08256881  8.91743119] ; [45.91743119  9.08256881],0
s2,1,0.617019,0.25008,[ 8 49] ; [ 6 49],[ 7.125 49.875] ; [ 6.875 48.125],0
s8,1,0.634309,0.226263,[10 46] ; [12 44],[11. 45.] ; [11. 45.],0
s4,1,0.671738,0.179576,[ 9 48] ; [ 7 47],[ 8.21621622 48.78378378] ; [ 7.78378378 46.21621622],0
a4,1,0.69627,0.152381,[22 34] ; [20 36],[21. 35.] ; [21. 35.],0
r1,1,0.702549,0.145833,[31 25] ; [33 23],[32. 24.] ; [32. 24.],0
p1,1,0.707552,0.140734,[ 4 53] ; [ 5 51],[ 4.53982301 52.46017699] ; [ 4.46017699 51.53982301],0
d4,1,0.727451,0.121465,[39 18] ; [40 16],[39.84955752 17.15044248] ; [39.15044248 16.84955752],0
u1,1,0.742338,0.108082,[ 6 51] ; [ 7 49],[ 6.55752212 50.44247788] ; [ 6.44247788 49.55752212],0
d2,1,0.76752,0.087392,[26 30] ; [24 31],[25.22522523 30.77477477] ; [24.77477477 30.22522523],0
b2,1,0.788353,0.072065,[17 23] ; [13 20],[16.43835616 23.56164384] ; [13.56164384 19.43835616],0
b3,1,0.788353,0.072065,[17 23] ; [13 20],[16.43835616 23.56164384] ; [13.56164384 19.43835616],0
v3,1,0.893703,0.017854,[18 36] ; [19 36],[18.33027523 35.66972477] ; [18.66972477 36.33027523],0
n1,1,0.902962,0.014865,[ 8 16] ; [ 6 13],[ 7.81395349 16.18604651] ; [ 6.18604651 12.81395349],0
d1,1,0.917387,0.010759,[26 31] ; [25 31],[25.72566372 31.27433628] ; [25.27433628 30.72566372],0
d3,1,0.923038,0.009333,[29 28] ; [29 27],[29.25663717 27.74336283] ; [28.74336283 27.25663717],0
a5,1,0.940116,0.005644,[35 22] ; [34 22],[34.80530973 22.19469027] ; [34.19469027 21.80530973],0
