Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.6e-05,17.08061,[20 25] ; [ 4 47],[11.25 33.75] ; [12.75 38.25],1
v4,1,4.8e-05,16.508139,[43  1] ; [32 18],[35.10638298  8.89361702] ; [39.89361702 10.10638298],1
r3,1,0.000392,12.568148,[43  2] ; [34 17],[36.09375  8.90625] ; [40.90625 10.09375],1
s2,1,0.001345,10.27943,[22 23] ; [ 9 41],[14.68421053 30.31578947] ; [16.31578947 33.68421053],0
s3,1,0.001355,10.266413,[29 15] ; [16 33],[21.29032258 22.70967742] ; [23.70967742 25.29032258],0
p9,1,0.001595,9.965614,[35  9] ; [24 26],[27.61702128 16.38297872] ; [31.38297872 18.61702128],0
p7,1,0.0026,9.068727,[28 14] ; [18 33],[20.77419355 21.22580645] ; [25.22580645 25.77419355],0
p2,1,0.004835,7.939998,[37  8] ; [27 22],[30.63829787 14.36170213] ; [33.36170213 15.63829787],0
s7,1,0.005664,7.654137,[21 23] ; [ 9 36],[14.83146067 29.16853933] ; [15.16853933 29.83146067],0
u2,1,0.007932,7.048661,[13  2] ; [5 8],[9.64285714 5.35714286] ; [8.35714286 4.64285714],0
p10,1,0.008224,6.983928,[30 14] ; [20 29],[23.65591398 20.34408602] ; [26.34408602 22.65591398],0
b5,1,0.01506,5.909427,[33 12] ; [25 26],[27.1875 17.8125] ; [30.8125 20.1875],0
p4,1,0.021081,5.320079,[23 22] ; [14 36],[17.52631579 27.47368421] ; [19.47368421 30.52631579],0
u3,1,0.024305,5.072768,[11  4] ; [4 9],[8.03571429 6.96428571] ; [6.96428571 6.03571429],0
r4,1,0.025495,4.989947,[36  9] ; [30 21],[30.9375 14.0625] ; [35.0625 15.9375],0
u1,1,0.032464,4.573846,[ 6 39] ; [ 1 50],[ 3.28125 41.71875] ; [ 3.71875 47.28125],0
v2,1,0.054506,3.697141,[23 19] ; [17 32],[18.46153846 23.53846154] ; [21.53846154 27.46153846],0
v1,1,0.058406,3.582091,[23 20] ; [17 33],[18.49462366 24.50537634] ; [21.50537634 28.49462366],0
p1,1,0.068548,3.31746,[ 1 44] ; [ 6 44],[ 3.31578947 41.68421053] ; [ 3.68421053 46.31578947],0
p11,1,0.07461,3.178577,[31 14] ; [26 25],[26.71875 18.28125] ; [30.28125 20.71875],0
p8,1,0.078428,3.097172,[17 27] ; [11 39],[13.10638298 30.89361702] ; [14.89361702 35.10638298],0
d1,1,0.113906,2.499177,[24 21] ; [19 32],[20.15625 24.84375] ; [22.84375 28.15625],0
a8,1,0.125685,2.345011,[ 9 32] ; [ 5 44],[ 6.37777778 34.62222222] ; [ 7.62222222 41.37777778],0
s5,1,0.133387,2.252633,[10 31] ; [ 6 43],[ 7.28888889 33.71111111] ; [ 8.71111111 40.28888889],0
n3,1,0.154044,2.031746,[11  5] ; [7 9],[9. 7.] ; [9. 7.],0
s4,1,0.157802,1.995163,[ 9 36] ; [ 5 46],[ 6.5625 38.4375] ; [ 7.4375 43.5625],0
a4,1,0.171806,1.867111,[15 30] ; [24 27],[18.28125 26.71875] ; [20.71875 30.28125],0
a1,1,0.195323,1.677005,[ 2 43] ; [ 6 45],[ 3.75 41.25] ; [ 4.25 46.75],0
r1,1,0.226928,1.460011,[35 10] ; [34 17],[32.34375 12.65625] ; [36.65625 14.34375],0
p5,1,0.239791,1.381823,[ 3 41] ; [ 1 50],[ 1.85263158 42.14736842] ; [ 2.14736842 48.85263158],0
s1,1,0.256886,1.28546,[ 3 41] ; [ 1 48],[ 1.89247312 42.10752688] ; [ 2.10752688 46.89247312],0
b2,1,0.258822,1.275049,[ 7 23] ; [10 17],[ 8.94736842 21.05263158] ; [ 8.05263158 18.94736842],0
b3,1,0.258822,1.275049,[ 7 23] ; [10 17],[ 8.94736842 21.05263158] ; [ 8.05263158 18.94736842],0
p6,1,0.27391,1.19706,[11 32] ; [ 8 41],[ 8.88043478 34.11956522] ; [10.11956522 38.88043478],0
a3,1,0.313908,1.014161,[30 15] ; [38 12],[32.21052632 12.78947368] ; [35.78947368 14.21052632],0
n5,1,0.324665,0.970063,[30 15] ; [29 22],[27.65625 17.34375] ; [31.34375 19.65625],0
n1,1,0.373301,0.792647,[ 6 10] ; [9 8],[7.27272727 8.72727273] ; [7.72727273 9.27272727],0
a2,1,0.412928,0.670354,[10 35] ; [ 8 43],[ 8.4375 36.5625] ; [ 9.5625 41.4375],0
p12,1,0.494897,0.465863,[ 2 42] ; [ 1 48],[ 1.41935484 42.58064516] ; [ 1.58064516 47.41935484],0
a6,1,0.590824,0.289059,[27 17] ; [34 17],[28.25263158 15.74736842] ; [32.74736842 18.25263158],0
d3,1,0.631449,0.230101,[28 16] ; [30 21],[26.86315789 17.13684211] ; [31.13684211 19.86315789],0
b1,1,0.728575,0.120424,[24 21] ; [29 22],[24.84375 20.15625] ; [28.15625 22.84375],0
r2,1,0.733691,0.115749,[38  5] ; [43  7],[37.4516129  5.5483871] ; [43.5483871  6.4516129],0
b4,1,0.776837,0.08034,[26 19] ; [28 23],[25.3125 19.6875] ; [28.6875 22.3125],0
a7,1,0.782719,0.076053,[27 18] ; [32 19],[27.65625 17.34375] ; [31.34375 19.65625],0
a5,1,0.791415,0.069946,[32 13] ; [35 16],[31.40625 13.59375] ; [35.59375 15.40625],0
d2,1,0.797745,0.065672,[21 23] ; [23 28],[20.37894737 23.62105263] ; [23.62105263 27.37894737],0
d4,1,0.81771,0.053126,[32 12] ; [36 15],[31.49473684 12.50526316] ; [36.50526316 14.49473684],0
d5,1,0.844031,0.038706,[32 12] ; [38 13],[32.42105263 11.57894737] ; [37.57894737 13.42105263],0
v3,1,0.932011,0.007279,[12 28] ; [14 34],[11.81818182 28.18181818] ; [14.18181818 33.81818182],0
p3,1,0.964012,0.002036,[16 29] ; [18 32],[16.10526316 28.89473684] ; [17.89473684 32.10526316],0
